condition,condition_label,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,configuration_mae_10,population_sd_fpr_10,mean_fpr_05,configuration_mae_05,population_sd_fpr_05,mean_fpr_01,configuration_mae_01,population_sd_fpr_01
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,5,1.0,0.188,0.088,0.039147158262126766,0.149,0.099,0.044497190922573975,0.11299999999999999,0.10299999999999998,0.04147288270665544
ultra_imbalanced,Ultra-sparsity with imbalance,simple_welch,Simple Welch,5,1.0,0.184,0.08399999999999999,0.0348926926447358,0.146,0.096,0.04601630145937415,0.11299999999999999,0.10299999999999998,0.04147288270665544
ultra_imbalanced,Ultra-sparsity with imbalance,expanded_welch,Expanded Welch,5,0.99,0.1424924331167986,0.04249243311679859,0.03257296769524741,0.1142065007750287,0.0642065007750287,0.03502843745305757,0.08601318534821073,0.07601318534821074,0.04004064594220146
ultra_imbalanced,Ultra-sparsity with imbalance,constrained_lrt,Constrained LRT,5,1.0,0.14500000000000002,0.045,0.0049999999999999906,0.067,0.017,0.01857417562100671,0.008,0.006,0.007582875444051551
