method,method_label,configurations,mean_valid_rate,mean_fpr_10,configuration_mae_10,wins_vs_normal_10,mean_fpr_05,configuration_mae_05,wins_vs_normal_05,mean_fpr_01,configuration_mae_01,wins_vs_normal_01
normal_wald,Normal Wald,1,1.0,0.188,0.088,0,0.149,0.09899999999999999,0,0.11299999999999999,0.103,0
simple_welch,Simple Welch,1,1.0,0.184,0.08399999999999999,1,0.146,0.09599999999999999,1,0.11299999999999999,0.103,0
expanded_welch,Expanded Welch,1,0.99,0.1424924331167986,0.042492433116798595,1,0.1142065007750287,0.0642065007750287,1,0.08601318534821073,0.07601318534821074,1
constrained_lrt,Constrained LRT,1,1.0,0.14500000000000002,0.04500000000000001,1,0.067,0.017,1,0.008,0.002,1
