configuration_id,experiment,block,stream,method,method_label,replicates,valid_count,valid_rate,reject_count_05,rejection_rate_valid_05,unconditional_rejection_rate_05
C1_N3_n200,C1,1,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,56,0.028,0.028
C1_N3_n200,C1,2,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,61,0.0305,0.0305
C1_N3_n200,C1,2,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,60,0.03,0.03
C1_N3_n200,C1,2,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,43,0.0215,0.0215
C1_N3_n200,C1,3,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,63,0.0315,0.0315
C1_N3_n200,C1,3,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,62,0.031,0.031
C1_N3_n200,C1,3,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,41,0.0205,0.0205
C1_N3_n200,C1,4,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,82,0.041,0.041
C1_N3_n200,C1,4,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,77,0.0385,0.0385
C1_N3_n200,C1,4,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,46,0.023,0.023
C1_N3_n500,C1,0,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,86,0.043,0.043
C1_N3_n500,C1,0,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,86,0.043,0.043
C1_N3_n500,C1,0,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,71,0.0355,0.0355
C1_N3_n500,C1,1,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,74,0.037,0.037
C1_N3_n500,C1,1,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,74,0.037,0.037
C1_N3_n500,C1,1,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,62,0.031,0.031
C1_N3_n500,C1,2,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,78,0.039,0.039
C1_N3_n500,C1,2,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,78,0.039,0.039
C1_N3_n500,C1,2,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,64,0.032,0.032
C1_N3_n500,C1,3,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,115,0.0575,0.0575
C1_N3_n500,C1,3,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,113,0.0565,0.0565
C1_N3_n500,C1,3,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,93,0.0465,0.0465
C1_N3_n500,C1,4,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,97,0.0485,0.0485
C1_N3_n500,C1,4,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,97,0.0485,0.0485
C1_N3_n500,C1,4,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,83,0.0415,0.0415
C1_N3_n1000,C1,0,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,81,0.0405,0.0405
C1_N3_n1000,C1,0,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,81,0.0405,0.0405
C1_N3_n1000,C1,0,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,71,0.0355,0.0355
