method,method_label,valid_count,valid_rate,p_value_threshold_for_five_percent,calibration_key,configuration_id,power_family,n_p,n_q,replicates
expanded_welch,Expanded Welch,9956,0.9956,0.04727328447568248,balanced_mild_np20_nq200,PCAL_PCAL_balanced_mild_np20_nq200_balanced_mild_np20_nq200,balanced_mild,20,200,10000
normal_wald,Normal Wald,10000,1.0,0.05883502042294912,balanced_mild_np50_nq100,PCAL_PCAL_balanced_mild_np50_nq100_balanced_mild_np50_nq100,balanced_mild,50,100,10000
simple_welch,Simple Welch,10000,1.0,0.06175751212961873,balanced_mild_np50_nq100,PCAL_PCAL_balanced_mild_np50_nq100_balanced_mild_np50_nq100,balanced_mild,50,100,10000
expanded_welch,Expanded Welch,9994,0.9994,0.08957976125392714,balanced_mild_np50_nq100,PCAL_PCAL_balanced_mild_np50_nq100_balanced_mild_np50_nq100,balanced_mild,50,100,10000
normal_wald,Normal Wald,10000,1.0,0.013874340458425886,balanced_mild_np50_nq250,PCAL_PCAL_balanced_mild_np50_nq250_balanced_mild_np50_nq250,balanced_mild,50,250,10000
simple_welch,Simple Welch,10000,1.0,0.014711669194520723,balanced_mild_np50_nq250,PCAL_PCAL_balanced_mild_np50_nq250_balanced_mild_np50_nq250,balanced_mild,50,250,10000
expanded_welch,Expanded Welch,9988,0.9988,0.07277001934473704,balanced_mild_np50_nq250,PCAL_PCAL_balanced_mild_np50_nq250_balanced_mild_np50_nq250,balanced_mild,50,250,10000
normal_wald,Normal Wald,10000,1.0,0.0030537275259632617,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,10000
simple_welch,Simple Welch,10000,1.0,0.0034209901043003622,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,10000
expanded_welch,Expanded Welch,9999,0.9999,0.11603366976674333,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,10000
normal_wald,Normal Wald,10000,1.0,0.04848018639593724,balanced_mild_np100_nq200,PCAL_PCAL_balanced_mild_np100_nq200_balanced_mild_np100_nq200,balanced_mild,100,200,10000
simple_welch,Simple Welch,10000,1.0,0.04969879674226715,balanced_mild_np100_nq200,PCAL_PCAL_balanced_mild_np100_nq200_balanced_mild_np100_nq200,balanced_mild,100,200,10000
expanded_welch,Expanded Welch,10000,1.0,0.06940044874779312,balanced_mild_np100_nq200,PCAL_PCAL_balanced_mild_np100_nq200_balanced_mild_np100_nq200,balanced_mild,100,200,10000
normal_wald,Normal Wald,10000,1.0,0.023864904744805997,balanced_mild_np100_nq500,PCAL_PCAL_balanced_mild_np100_nq500_balanced_mild_np100_nq500,balanced_mild,100,500,10000
simple_welch,Simple Welch,10000,1.0,0.024586754236590885,balanced_mild_np100_nq500,PCAL_PCAL_balanced_mild_np100_nq500_balanced_mild_np100_nq500,balanced_mild,100,500,10000
expanded_welch,Expanded Welch,9999,0.9999,0.06669023485135946,balanced_mild_np100_nq500,PCAL_PCAL_balanced_mild_np100_nq500_balanced_mild_np100_nq500,balanced_mild,100,500,10000
normal_wald,Normal Wald,10000,1.0,0.014566089148868285,balanced_mild_np100_nq1000,PCAL_PCAL_balanced_mild_np100_nq1000_balanced_mild_np100_nq1000,balanced_mild,100,1000,10000
simple_welch,Simple Welch,10000,1.0,0.015459622729244659,balanced_mild_np100_nq1000,PCAL_PCAL_balanced_mild_np100_nq1000_balanced_mild_np100_nq1000,balanced_mild,100,1000,10000
expanded_welch,Expanded Welch,10000,1.0,0.08868557323672979,balanced_mild_np100_nq1000,PCAL_PCAL_balanced_mild_np100_nq1000_balanced_mild_np100_nq1000,balanced_mild,100,1000,10000
normal_wald,Normal Wald,6563,0.6563,0.11886692465464027,sparse_np10_nq10,PCAL_PCAL_sparse_np10_nq10_sparse_np10_nq10,sparse,10,10,10000
simple_welch,Simple Welch,6563,0.6563,0.1532976346969361,sparse_np10_nq10,PCAL_PCAL_sparse_np10_nq10_sparse_np10_nq10,sparse,10,10,10000
expanded_welch,Expanded Welch,1692,0.1692,0.1351427283097387,sparse_np10_nq10,PCAL_PCAL_sparse_np10_nq10_sparse_np10_nq10,sparse,10,10,10000
normal_wald,Normal Wald,9160,0.916,0.1313121494004631,sparse_np20_nq20,PCAL_PCAL_sparse_np20_nq20_sparse_np20_nq20,sparse,20,20,10000
simple_welch,Simple Welch,9160,0.916,0.1474958434491166,sparse_np20_nq20,PCAL_PCAL_sparse_np20_nq20_sparse_np20_nq20,sparse,20,20,10000
expanded_welch,Expanded Welch,4918,0.4918,0.18577942043264795,sparse_np20_nq20,PCAL_PCAL_sparse_np20_nq20_sparse_np20_nq20,sparse,20,20,10000
normal_wald,Normal Wald,9814,0.9814,0.13975782759837624,sparse_np30_nq30,PCAL_PCAL_sparse_np30_nq30_sparse_np30_nq30,sparse,30,30,10000
simple_welch,Simple Welch,9814,0.9814,0.15030633674043317,sparse_np30_nq30,PCAL_PCAL_sparse_np30_nq30_sparse_np30_nq30,sparse,30,30,10000
expanded_welch,Expanded Welch,7172,0.7172,0.19864136954022762,sparse_np30_nq30,PCAL_PCAL_sparse_np30_nq30_sparse_np30_nq30,sparse,30,30,10000
normal_wald,Normal Wald,9990,0.999,0.14447767535415357,sparse_np50_nq50,PCAL_PCAL_sparse_np50_nq50_sparse_np50_nq50,sparse,50,50,10000
simple_welch,Simple Welch,9990,0.999,0.15012042242980775,sparse_np50_nq50,PCAL_PCAL_sparse_np50_nq50_sparse_np50_nq50,sparse,50,50,10000
expanded_welch,Expanded Welch,9125,0.9125,0.21456667129396578,sparse_np50_nq50,PCAL_PCAL_sparse_np50_nq50_sparse_np50_nq50,sparse,50,50,10000
normal_wald,Normal Wald,10000,1.0,0.1317944107853365,sparse_np100_nq100,PCAL_PCAL_sparse_np100_nq100_sparse_np100_nq100,sparse,100,100,10000
simple_welch,Simple Welch,10000,1.0,0.1342478175148105,sparse_np100_nq100,PCAL_PCAL_sparse_np100_nq100_sparse_np100_nq100,sparse,100,100,10000
expanded_welch,Expanded Welch,9935,0.9935,0.19254618599742235,sparse_np100_nq100,PCAL_PCAL_sparse_np100_nq100_sparse_np100_nq100,sparse,100,100,10000
normal_wald,Normal Wald,10000,1.0,0.12458846488233391,sparse_np200_nq200,PCAL_PCAL_sparse_np200_nq200_sparse_np200_nq200,sparse,200,200,10000
simple_welch,Simple Welch,10000,1.0,0.1259287117164521,sparse_np200_nq200,PCAL_PCAL_sparse_np200_nq200_sparse_np200_nq200,sparse,200,200,10000
expanded_welch,Expanded Welch,10000,1.0,0.17372108121448293,sparse_np200_nq200,PCAL_PCAL_sparse_np200_nq200_sparse_np200_nq200,sparse,200,200,10000
normal_wald,Normal Wald,10000,1.0,0.07910458464116243,sparse_np500_nq500,PCAL_PCAL_sparse_np500_nq500_sparse_np500_nq500,sparse,500,500,10000
simple_welch,Simple Welch,10000,1.0,0.07966074331022438,sparse_np500_nq500,PCAL_PCAL_sparse_np500_nq500_sparse_np500_nq500,sparse,500,500,10000
expanded_welch,Expanded Welch,10000,1.0,0.11001825320834795,sparse_np500_nq500,PCAL_PCAL_sparse_np500_nq500_sparse_np500_nq500,sparse,500,500,10000
normal_wald,Normal Wald,10000,1.0,0.06777519407139229,sparse_np1000_nq1000,PCAL_PCAL_sparse_np1000_nq1000_sparse_np1000_nq1000,sparse,1000,1000,10000
simple_welch,Simple Welch,10000,1.0,0.0679809025509924,sparse_np1000_nq1000,PCAL_PCAL_sparse_np1000_nq1000_sparse_np1000_nq1000,sparse,1000,1000,10000
expanded_welch,Expanded Welch,10000,1.0,0.08504360448951985,sparse_np1000_nq1000,PCAL_PCAL_sparse_np1000_nq1000_sparse_np1000_nq1000,sparse,1000,1000,10000
normal_wald,Normal Wald,9693,0.9693,0.005744436033081664,sparse_np20_nq40,PCAL_PCAL_sparse_np20_nq40_sparse_np20_nq40,sparse,20,40,10000
simple_welch,Simple Welch,9693,0.9693,0.008715723945066613,sparse_np20_nq40,PCAL_PCAL_sparse_np20_nq40_sparse_np20_nq40,sparse,20,40,10000
expanded_welch,Expanded Welch,6737,0.6737,0.149920886771776,sparse_np20_nq40,PCAL_PCAL_sparse_np20_nq40_sparse_np20_nq40,sparse,20,40,10000
normal_wald,Normal Wald,9971,0.9971,5.816966321746125e-06,sparse_np20_nq100,PCAL_PCAL_sparse_np20_nq100_sparse_np20_nq100,sparse,20,100,10000
simple_welch,Simple Welch,9971,0.9971,4.0766568894265445e-05,sparse_np20_nq100,PCAL_PCAL_sparse_np20_nq100_sparse_np20_nq100,sparse,20,100,10000
expanded_welch,Expanded Welch,7740,0.774,0.12129866540858816,sparse_np20_nq100,PCAL_PCAL_sparse_np20_nq100_sparse_np20_nq100,sparse,20,100,10000
normal_wald,Normal Wald,9999,0.9999,1.6708242891720869e-06,sparse_np20_nq200,PCAL_PCAL_sparse_np20_nq200_sparse_np20_nq200,sparse,20,200,10000
simple_welch,Simple Welch,9999,0.9999,2.4731340208784563e-05,sparse_np20_nq200,PCAL_PCAL_sparse_np20_nq200_sparse_np20_nq200,sparse,20,200,10000
expanded_welch,Expanded Welch,7737,0.7737,0.06210156814235793,sparse_np20_nq200,PCAL_PCAL_sparse_np20_nq200_sparse_np20_nq200,sparse,20,200,10000
normal_wald,Normal Wald,9999,0.9999,0.1254379534125832,sparse_np50_nq100,PCAL_PCAL_sparse_np50_nq100_sparse_np50_nq100,sparse,50,100,10000
simple_welch,Simple Welch,9999,0.9999,0.1296625886137728,sparse_np50_nq100,PCAL_PCAL_sparse_np50_nq100_sparse_np50_nq100,sparse,50,100,10000
expanded_welch,Expanded Welch,9830,0.983,0.19784637892603843,sparse_np50_nq100,PCAL_PCAL_sparse_np50_nq100_sparse_np50_nq100,sparse,50,100,10000
normal_wald,Normal Wald,10000,1.0,0.0523914850639412,sparse_np50_nq250,PCAL_PCAL_sparse_np50_nq250_sparse_np50_nq250,sparse,50,250,10000
simple_welch,Simple Welch,10000,1.0,0.05387441317006766,sparse_np50_nq250,PCAL_PCAL_sparse_np50_nq250_sparse_np50_nq250,sparse,50,250,10000
expanded_welch,Expanded Welch,9901,0.9901,0.13673620961124547,sparse_np50_nq250,PCAL_PCAL_sparse_np50_nq250_sparse_np50_nq250,sparse,50,250,10000
normal_wald,Normal Wald,10000,1.0,0.008623426251065842,sparse_np50_nq500,PCAL_PCAL_sparse_np50_nq500_sparse_np50_nq500,sparse,50,500,10000
simple_welch,Simple Welch,10000,1.0,0.00888086236142529,sparse_np50_nq500,PCAL_PCAL_sparse_np50_nq500_sparse_np50_nq500,sparse,50,500,10000
expanded_welch,Expanded Welch,9919,0.9919,0.05341544134013444,sparse_np50_nq500,PCAL_PCAL_sparse_np50_nq500_sparse_np50_nq500,sparse,50,500,10000
normal_wald,Normal Wald,10000,1.0,0.11764062046835683,sparse_np100_nq200,PCAL_PCAL_sparse_np100_nq200_sparse_np100_nq200,sparse,100,200,10000
simple_welch,Simple Welch,10000,1.0,0.11951882652084726,sparse_np100_nq200,PCAL_PCAL_sparse_np100_nq200_sparse_np100_nq200,sparse,100,200,10000
expanded_welch,Expanded Welch,9999,0.9999,0.17879970449205662,sparse_np100_nq200,PCAL_PCAL_sparse_np100_nq200_sparse_np100_nq200,sparse,100,200,10000
normal_wald,Normal Wald,10000,1.0,0.035525221041312345,sparse_np100_nq500,PCAL_PCAL_sparse_np100_nq500_sparse_np100_nq500,sparse,100,500,10000
simple_welch,Simple Welch,10000,1.0,0.03607742697589104,sparse_np100_nq500,PCAL_PCAL_sparse_np100_nq500_sparse_np100_nq500,sparse,100,500,10000
expanded_welch,Expanded Welch,10000,1.0,0.10873407182471502,sparse_np100_nq500,PCAL_PCAL_sparse_np100_nq500_sparse_np100_nq500,sparse,100,500,10000
normal_wald,Normal Wald,10000,1.0,0.004090694856194581,sparse_np100_nq1000,PCAL_PCAL_sparse_np100_nq1000_sparse_np100_nq1000,sparse,100,1000,10000
simple_welch,Simple Welch,10000,1.0,0.004170408589460648,sparse_np100_nq1000,PCAL_PCAL_sparse_np100_nq1000_sparse_np100_nq1000,sparse,100,1000,10000
expanded_welch,Expanded Welch,9999,0.9999,0.06450068240908545,sparse_np100_nq1000,PCAL_PCAL_sparse_np100_nq1000_sparse_np100_nq1000,sparse,100,1000,10000
normal_wald,Normal Wald,851,0.0851,0.11886692465464027,extreme_rare_np10_nq10,PCAL_PCAL_extreme_rare_np10_nq10_extreme_rare_np10_nq10,extreme_rare,10,10,10000
simple_welch,Simple Welch,851,0.0851,0.1532976346969361,extreme_rare_np10_nq10,PCAL_PCAL_extreme_rare_np10_nq10_extreme_rare_np10_nq10,extreme_rare,10,10,10000
expanded_welch,Expanded Welch,19,0.0019,0.1351427283097387,extreme_rare_np10_nq10,PCAL_PCAL_extreme_rare_np10_nq10_extreme_rare_np10_nq10,extreme_rare,10,10,10000
normal_wald,Normal Wald,2301,0.2301,0.16653080626642458,extreme_rare_np20_nq20,PCAL_PCAL_extreme_rare_np20_nq20_extreme_rare_np20_nq20,extreme_rare,20,20,10000
simple_welch,Simple Welch,2301,0.2301,0.18257136228965432,extreme_rare_np20_nq20,PCAL_PCAL_extreme_rare_np20_nq20_extreme_rare_np20_nq20,extreme_rare,20,20,10000
expanded_welch,Expanded Welch,159,0.0159,0.18017693558118375,extreme_rare_np20_nq20,PCAL_PCAL_extreme_rare_np20_nq20_extreme_rare_np20_nq20,extreme_rare,20,20,10000
normal_wald,Normal Wald,3767,0.3767,0.1854050113796225,extreme_rare_np30_nq30,PCAL_PCAL_extreme_rare_np30_nq30_extreme_rare_np30_nq30,extreme_rare,30,30,10000
simple_welch,Simple Welch,3767,0.3767,0.1957480201707054,extreme_rare_np30_nq30,PCAL_PCAL_extreme_rare_np30_nq30_extreme_rare_np30_nq30,extreme_rare,30,30,10000
expanded_welch,Expanded Welch,428,0.0428,0.2102560584802356,extreme_rare_np30_nq30,PCAL_PCAL_extreme_rare_np30_nq30_extreme_rare_np30_nq30,extreme_rare,30,30,10000
normal_wald,Normal Wald,6309,0.6309,0.23495687068614612,extreme_rare_np50_nq50,PCAL_PCAL_extreme_rare_np50_nq50_extreme_rare_np50_nq50,extreme_rare,50,50,10000
simple_welch,Simple Welch,6309,0.6309,0.24068229916565598,extreme_rare_np50_nq50,PCAL_PCAL_extreme_rare_np50_nq50_extreme_rare_np50_nq50,extreme_rare,50,50,10000
expanded_welch,Expanded Welch,1457,0.1457,0.3523281050582527,extreme_rare_np50_nq50,PCAL_PCAL_extreme_rare_np50_nq50_extreme_rare_np50_nq50,extreme_rare,50,50,10000
normal_wald,Normal Wald,9084,0.9084,0.2049797491029136,extreme_rare_np100_nq100,PCAL_PCAL_extreme_rare_np100_nq100_extreme_rare_np100_nq100,extreme_rare,100,100,10000
