q,group,model,n,median_ratio,mean_abs_log_error,within_05pct,within_10pct,p05,p95
0.95,all,standard,56,0.9506327187858505,0.05861405290419208,0.42857142857142855,0.8571428571428571,0.8804450977187229,1.034033193320842
0.95,all,true_mm,56,1.0010168432697637,0.0032539989903005613,1.0,1.0,0.9946599327813148,1.0074770356198537
0.95,all,stage12,56,0.9968190384862148,0.026233021795592913,0.8571428571428571,0.9464285714285714,0.9400633554382994,1.0421685726496166
0.99,all,standard,56,0.9502538742433411,0.056430748747373874,0.42857142857142855,0.8571428571428571,0.8801319575844471,1.05044906193592
0.99,all,true_mm,56,1.001052099932625,0.005996591303641608,1.0,1.0,0.992246367503174,1.0158593917239738
0.99,all,stage12,56,0.9980070420010336,0.0261477802891343,0.8571428571428571,0.9642857142857143,0.9417326419670904,1.0405585200073042
