scenario_seed,scenario_id,rows,columns,n_p,n_q,target_mi,replicates,invalid_rate,fallback_rate,clipped_rate,median_root_iterations,median_saddlepoint_ms,p95_saddlepoint_ms,wald_analytic_valid_n,wald_analytic_fpr_10,wald_analytic_fpr_05,influence_saddlepoint_valid_n,influence_saddlepoint_fpr_10,influence_saddlepoint_fpr_05,route_lugannani_rice_rate,route_normal_near_mean_rate,route_normal_numerical_fallback_rate
2026072501,random_4x6_d1,4,6,1200,2400,0.07,2000,0.0,0.0,0.0,5.0,0.6624165107496083,0.7483086141292006,2000,0.095,0.0475,2000,0.095,0.0475,1.0,0.0,0.0
2026072501,random_4x6_d2,4,6,600,2400,0.15,2000,0.0,0.0,0.0,5.0,0.6588750402443111,0.7685104792471975,2000,0.109,0.058,2000,0.1085,0.0575,1.0,0.0,0.0
2026072501,random_4x6_d3,4,6,4800,4800,0.03,2000,0.0,0.0,0.0,5.0,0.6633754819631577,0.7689312507864087,2000,0.092,0.0445,2000,0.092,0.0445,1.0,0.0,0.0
2026072501,random_4x6_d4,4,6,480,960,0.07,2000,0.0,0.0,0.0,5.0,0.6522290059365332,0.7557541423011571,2000,0.0915,0.0465,2000,0.092,0.0455,1.0,0.0,0.0
2026072501,random_4x6_d5,4,6,240,960,0.15,2000,0.0,0.0,0.0,5.0,0.664771010633558,0.7721847505308688,2000,0.1215,0.063,2000,0.124,0.0635,1.0,0.0,0.0
2026072501,random_5x5_d0,5,5,2500,2500,0.03,2000,0.0,0.0,0.0,5.0,0.6603329675272107,0.7377952628303319,2000,0.0975,0.054,2000,0.0975,0.054,1.0,0.0,0.0
2026072501,random_5x5_d1,5,5,1250,2500,0.07,2000,0.0,0.0,0.0,5.0,0.658332952298224,0.7440731860697269,2000,0.091,0.0515,2000,0.0925,0.0525,1.0,0.0,0.0
2026072501,random_5x5_d2,5,5,625,2500,0.15,2000,0.0,0.0,0.0,5.0,0.6599790067411959,0.7551037881057708,2000,0.0955,0.047,2000,0.0945,0.048,1.0,0.0,0.0
2026072501,random_5x5_d3,5,5,5000,5000,0.03,2000,0.0,0.0,0.0,5.0,0.6658544298261404,0.7749683863949031,2000,0.091,0.0415,2000,0.091,0.0415,1.0,0.0,0.0
2026072501,random_5x5_d4,5,5,500,1000,0.07,2000,0.0,0.0,0.0,5.0,0.6413955125026405,0.7612444518599659,2000,0.097,0.048,2000,0.0975,0.0475,1.0,0.0,0.0
2026072501,random_5x5_d5,5,5,250,1000,0.15,2000,0.0,0.0,0.0,5.0,0.6596249877475202,0.7471711898688227,2000,0.1115,0.0555,2000,0.112,0.0565,1.0,0.0,0.0
2026072501,random_5x10_d0,5,10,5000,5000,0.03,2000,0.0,0.0,0.0,5.0,0.6672290037386119,0.7407582947053015,2000,0.097,0.047,2000,0.097,0.047,1.0,0.0,0.0
2026072501,random_5x10_d1,5,10,2500,5000,0.07,2000,0.0,0.0,0.0,5.0,0.6598335457965732,0.7353350578341633,2000,0.096,0.0435,2000,0.096,0.0435,1.0,0.0,0.0
2026072501,random_5x10_d2,5,10,1250,5000,0.15,2000,0.0,0.0,0.0,5.0,0.6564374780282378,0.7528413261752576,2000,0.0975,0.053,2000,0.097,0.053,1.0,0.0,0.0
2026072501,random_5x10_d3,5,10,10000,10000,0.03,2000,0.0,0.0,0.0,5.0,0.6703955586999655,0.7864264538511634,2000,0.094,0.0425,2000,0.094,0.0425,1.0,0.0,0.0
2026072501,random_5x10_d4,5,10,1000,2000,0.07,2000,0.0,0.0,0.0,5.0,0.6586244562640786,0.743249902734533,2000,0.098,0.049,2000,0.0975,0.049,1.0,0.0,0.0
