method,scenarios,mean_absolute_fpr_error_05,median_absolute_fpr_error_05,within_035_065,minimum_fpr_05,maximum_fpr_05
wald_analytic,144,0.005614583333333333,0.004500000000000004,0.9652777777777778,0.035,0.077
influence_saddlepoint,144,0.005708333333333333,0.004500000000000004,0.9652777777777778,0.035,0.08
