target,formula,equation,alpha,random_cv_r2,group_cv_r2,features,coefficients
log_mu_ratio,hybrid_moment,"log_mu_ratio_hat = clip(sum(beta_j * feature_j), +/-4.0); mu_hat = mu_bartlett * exp(log_mu_ratio_hat); sigma2_hat = sigma2_bartlett * exp(log_sigma2_ratio_hat); nu_norm floor=0.05; a floor=0.05",1e-06,0.9837092456192987,0.9738794914610344,"inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_0p5,frac_cells_lt_1,frac_cells_lt_5,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0,inv_lambda_simpson,expected_zero_frac,expected_singleton_frac,expected_le1_frac,expected_zero_norm_nu0,expected_singleton_norm_nu0,zero_pressure_min,birthday_inverse,tp_x_expected_cv,tp_x_one_minus_cell_simpson_n,tp_x_asym_min_p","{""birthday_inverse"": 0.11465365498497687, ""expected_le1_frac"": 0.05830089387963337, ""expected_singleton_frac"": 0.48477680608327395, ""expected_singleton_norm_nu0"": 0.6247508782029612, ""expected_zero_frac"": -0.0613474001326093, ""expected_zero_norm_nu0"": -0.9110016382281462, ""frac_cells_lt_0p5"": -0.001454205385910376, ""frac_cells_lt_1"": -0.5220567564030143, ""frac_cells_lt_5"": -0.04436692220784377, ""inv_lam_min_x_frac_lt1"": 0.06648257126194115, ""inv_lam_min_x_n_lt1_norm_nu0"": -0.006176921299743902, ""inv_lam_sqrt_harm"": -0.011981195402267001, ""inv_lam_tp"": 0.00046452336308618335, ""inv_lambda_simpson"": -0.04411612149534263, ""inv_sqrt_lam_min_x_frac_lt1"": -0.0657861415130822, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": -0.38894121588584185, ""inv_sqrt_lam_tp"": 0.0004554421256891563, ""n_lt1_norm_nu0"": 0.5432232377342748, ""n_lt5_norm_nu0"": -0.02225372651614758, ""tp_x_asym_min_p"": -6.334663329533177e-05, ""tp_x_expected_cv"": -1.5857947252377005e-05, ""tp_x_one_minus_cell_simpson_n"": -0.0005291006271637404, ""zero_pressure_min"": 1.1267554155783162}"
log_sigma2_ratio,hybrid_moment,"log_sigma2_ratio_hat = clip(sum(beta_j * feature_j), +/-4.0); mu_hat = mu_bartlett * exp(log_mu_ratio_hat); sigma2_hat = sigma2_bartlett * exp(log_sigma2_ratio_hat); nu_norm floor=0.05; a floor=0.05",0.0,0.9937252838034593,0.9926874423718368,"inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_0p5,frac_cells_lt_1,frac_cells_lt_5,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0,inv_lambda_simpson,expected_zero_frac,expected_singleton_frac,expected_le1_frac,expected_zero_norm_nu0,expected_singleton_norm_nu0,zero_pressure_min,birthday_inverse,tp_x_expected_cv,tp_x_one_minus_cell_simpson_n,tp_x_asym_min_p","{""birthday_inverse"": 2.151436392811273, ""expected_le1_frac"": -0.28431207089188243, ""expected_singleton_frac"": 0.681570501624435, ""expected_singleton_norm_nu0"": 0.7325698434226298, ""expected_zero_frac"": -1.0099643495906492, ""expected_zero_norm_nu0"": -1.52561591023579, ""frac_cells_lt_0p5"": -0.024045107535325398, ""frac_cells_lt_1"": 0.6797066607619844, ""frac_cells_lt_5"": 0.13753514806095277, ""inv_lam_min_x_frac_lt1"": 0.2260282299030673, ""inv_lam_min_x_n_lt1_norm_nu0"": -0.2218149483001742, ""inv_lam_sqrt_harm"": 0.007835555095821274, ""inv_lam_tp"": -0.00017401369825815858, ""inv_lambda_simpson"": -0.34355770591735774, ""inv_sqrt_lam_min_x_frac_lt1"": -0.9617936595983175, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": 0.9373637007003323, ""inv_sqrt_lam_tp"": 0.002356263694082869, ""n_lt1_norm_nu0"": -0.7017317646404524, ""n_lt5_norm_nu0"": -0.07923800071961083, ""tp_x_asym_min_p"": 1.1643664386443781e-05, ""tp_x_expected_cv"": 2.6931453549827656e-05, ""tp_x_one_minus_cell_simpson_n"": -0.00018357608400155326, ""zero_pressure_min"": -0.0013792776139998936}"
