scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_2x2_d2_p00,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,0,0.1,3875519215,200,1.0,0.0,14.0,9.642461828995863e-11,0.007037685828981921,10,0.0,0.0
config_2x2_d2_p01,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,1,0.1,2786888119,200,1.0,0.0,15.0,9.597853067866424e-11,0.006007587915519252,10,0.0039546661203360145,0.0003954666200854717
config_2x2_d2_p02,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,2,0.1,4287286767,200,1.0,0.0,16.0,3.877190235535011e-11,0.006843264416093006,10,9.210054940922419e-11,9.210054940922419e-12
config_2x2_d2_p03,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,3,0.1,2851230002,200,1.0,0.0,13.5,6.481044867445718e-11,0.005726810635533184,10,1.3434942047751974e-10,2.0867219063802624e-11
config_2x2_d2_p04,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,4,0.1,1014955703,200,1.0,0.0,16.0,5.7636118100390377e-11,0.006406871650833637,10,1.9326762412674725e-12,1.9326762412674725e-13
config_2x2_d2_p05,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,5,0.1,1303512339,200,1.0,0.0,17.0,9.910336440377421e-11,0.005887503941776231,10,3.935838321922347e-10,5.5295856782322515e-11
config_2x2_d2_p06,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,6,0.1,3155669485,200,1.0,0.0,14.0,3.90235344038814e-11,0.007235907264985144,10,0.00020547564449202582,2.0547625901201627e-05
config_2x2_d2_p07,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,7,0.1,3915028103,200,1.0,0.0,12.0,5.623473908755727e-11,0.004843124139588326,10,4.8046899792097975e-11,7.349854058702477e-12
config_2x2_d2_p08,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,8,0.1,1035720000,200,1.0,0.0,17.0,3.6397718172764826e-11,0.005858178185299039,10,2.90754087473033e-10,4.034674816466577e-11
config_2x2_d2_p09,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,9,0.1,127500412,200,1.0,0.0,15.0,8.502301640511689e-11,0.005090547273866832,10,6.090772330935579e-11,9.198686257150256e-12
