reference,model,n,mean_error,median_abs_error,mean_abs_error,max_abs_error
product,standard,9,-0.013893868662130743,0.014173227563644253,0.016758127118556093,0.04783889473462022
product,stage12,9,-0.010582371114440617,0.02012468004948409,0.027721428416481248,0.08343137893022168
permutation,standard,9,-0.21194314769521302,0.22273151590597584,0.21194314769521302,0.531942889850683
permutation,stage12,9,-0.20863165014752288,0.23535317587806504,0.20863165014752288,0.6119256800699937
product,permutation_empirical,9,0.19804927903308228,0.2085582883423316,0.19804927903308228,0.528494301139772
