config,N,kx,ky,nu0,T_obs,I_obs_nats,lam_min,lam_tp,frac_cells_lt_1,expected_zero_frac,expected_singleton_frac,product_mu,product_sigma2,permutation_mu,permutation_sigma2,standard_p_obs,stage12_p_obs,product_emp_p_obs,permutation_emp_p_obs,stage12_mu,stage12_sigma2,stage12_a,stage12_nu,stage12_nu_norm,stage12_log_mu_ratio,stage12_log_sigma2_ratio,product_q95,permutation_q95,standard_q95,stage12_q95,standard_to_product_q95,stage12_to_product_q95,standard_to_permutation_q95,stage12_to_permutation_q95,permutation_to_product_q95,product_q99,permutation_q99,standard_q99,stage12_q99,standard_to_product_q99,stage12_to_product_q99,standard_to_permutation_q99,stage12_to_permutation_q99,permutation_to_product_q99
"p=0.50, N=20",20,2,2,1.0,0.805420542027555,0.020135513550688874,5.0,1.25,0.0,0.006737946999085467,0.03368973499542734,1.1214988640133203,2.546698630157748,1.058004599360939,2.2414572405463193,0.28105606618756285,0.39719185664317735,0.41731653669266144,0.6594,1.1605134805331534,2.848261370669426,1.2271556593038893,0.9456937852460062,0.9456937852460062,0.07654190122757402,0.2137996398129123,4.460684589724231,3.2913151402020713,2.662696350801252,4.547383807807921,0.596925493664161,1.0194363031816716,0.8090068065125404,1.3816312367854064,0.7378497793329852,7.799039748757056,7.709790280870298,4.598959872304641,7.938542099884042,0.5896828353820845,1.0178871188788619,0.5965090754434245,1.0296703036892363,0.9885563517097111
"p=0.50, N=50",50,2,2,1.0,0.7217380307572487,0.007217380307572487,12.5,3.125,0.0,3.726653172078671e-06,4.658316465098338e-05,1.0131127993433204,2.110984552685215,1.0020571244426382,1.9926747995012446,0.3075314260700054,0.3942356284599553,0.40951809638072384,0.5718,1.0296645508123479,2.2538667089696576,1.094466497458557,0.9407912925642907,0.9407912925642907,-0.00032573186782855154,0.061231189856643685,3.895711211921561,3.972898576624353,2.662696350801252,4.042095067505855,0.6834942853702639,1.0375756434759162,0.6702150330411055,1.0174171299737271,1.0198134205807106,6.7190100668268915,6.627772298751906,4.598959872304641,7.063546328786841,0.684469858887492,1.0512778308907431,0.6938922559501152,1.0657496984495072,0.9864209508294317
"p=0.50, N=200",200,2,2,1.0,0.3200853879935255,0.0008002134699838137,50.0,12.5,0.0,1.9287498479639178e-22,9.643749239819589e-21,1.0064769983619986,2.0401665934711226,0.9529773935010372,1.662946417494633,0.4967906500613649,0.5694814744217291,0.5742851429714058,0.6708,1.0074505799711664,2.0619351931650978,1.0233430970004063,0.9844700012382713,0.9844700012382713,-4.905334089574193e-05,0.015609162932277638,3.928321204753513,3.9329067943117204,2.662696350801252,3.891704152315522,0.6778204255749819,0.9906787020384986,0.677030117940346,0.9895236159535254,1.0011673153286595,7.037990738128372,6.515453529997824,4.598959872304641,6.741689828588812,0.6534478437702025,0.9578997869470973,0.7058541437108794,1.0347230315663172,0.9257547746831069
"p=0.10, N=50",50,2,2,1.0,1.113408713271946,0.01113408713271946,0.5000000000000001,0.4050000000000001,0.25,0.1571871631972795,0.10081157467512439,1.0419347021056917,1.3689591333464572,1.0973722324955308,0.8412984918192445,0.20501138772133054,0.2908539161871597,0.3165366926614677,0.6446,0.9569381718397142,1.5252574428333847,0.7969467034119229,1.200755543303999,1.200755543303999,-0.33726944187780633,-0.7907081552466204,2.966022736561977,3.7344782575350686,2.662696350801252,3.4426210630909884,0.8977329532839923,1.160685999016128,0.7130035756477417,0.9218479331469667,1.2590861868657945,5.984826318204324,3.7344782575350686,4.598959872304641,5.750193272308515,0.7684366475791905,0.960795345859559,1.231486583976036,1.5397581337383157,0.623991083279348
"p=0.10, N=100",100,2,2,1.0,-4.440892098500625e-15,-2.2204460492503126e-17,1.0000000000000002,0.8100000000000002,0.0,0.0920315651949039,0.09252520441125063,1.155646637058682,1.5783965358173526,1.1885771524045934,1.4476754699060914,1.0,1.0,1.0,1.0,1.0715148851026786,1.810346276234461,0.8447602088425414,1.2684249019858875,1.2684249019858875,-0.08826440763462536,-0.3928819867769166,3.443193879316163,3.6038509587536867,2.662696350801252,3.7793748957792626,0.7733216438367038,1.0976363888431013,0.7388475220745776,1.0487045493929852,1.0466593183737394,5.782852528355116,3.6038509587536867,4.598959872304641,6.252278471393593,0.7952753160753308,1.0811754995889549,1.2761237700837358,1.7348881912574452,0.6231960682176988
"p=0.10, N=500",500,2,2,1.0,0.2614415962666096,0.0002614415962666096,5.000000000000001,4.050000000000001,0.0,0.0016844867497713652,0.008422433748856827,1.0462190688720885,2.1999873809233224,1.0820881014328572,2.5319246793758,0.539116064038617,0.6230378951585497,0.6190761847630474,0.6464,1.0543927207258172,2.1820389686063453,1.0347373069420875,1.0189955592128175,1.0189955592128175,0.019454589523790426,0.021178414084198342,4.08877623871177,5.0791338314651675,2.662696350801252,4.023320948251363,0.6512208532204184,0.9839914716191391,0.5242422112026037,0.7921273748147651,1.2422136930304175,7.095593819870429,7.110783474398391,4.598959872304641,6.924377293620152,0.6481430573753757,0.9758700215095734,0.6467585307389403,0.9737854230199282,1.0021407164662421
"p=0.05, N=100",100,2,2,1.0,1.5292001047157304,0.007646000523578652,0.25000000000000006,0.22562500000000005,0.25,0.19902604336941154,0.06922282504937433,0.7825464833248434,0.9340057927151381,0.8641210603353294,0.9146957431584762,0.13745961956026465,0.16385505765654274,0.11977604479104179,0.2302,0.7856303916273892,1.4730747654948173,0.9375113165132434,0.8379956356679258,0.8379956356679258,-0.7542002750326314,-1.1561000981079605,2.5438944452141072,1.5292001047157304,2.662696350801252,3.212075394558791,1.0467007999528635,1.2626606424656295,1.741234742654057,2.100493836387683,0.6011256117928372,5.322427088231314,6.33709450401127,4.598959872304641,5.743410009798116,0.8640719348647597,1.0790960429495893,0.7257205757928306,0.9063159790599049,1.1906399841575168
"p=0.05, N=500",500,2,2,1.0,2.0240635847227604,0.0020240635847227602,1.2500000000000002,1.1281250000000003,0.0,0.07162619923928436,0.08953274959443444,1.1695150076253855,1.8473967898557495,1.1886735976227047,1.920489956964743,0.0874820900725618,0.17441972956512422,0.26194761047790444,0.3888,1.1090387450460422,1.9353541421160707,0.8725367579631872,1.2710510301421973,1.2710510301421973,-0.022289315924578876,-0.2703545058559715,3.437944146955389,2.6327952443023603,2.662696350801252,3.908809342089255,0.7745025041082505,1.1369612695863194,1.011357171266395,1.4846613501556265,0.7658051241565221,5.257125129599566,4.484883748824029,4.598959872304641,6.464082572502569,0.8748050995421033,1.2295850703852158,1.0254356923990555,1.4413043758820951,0.8531057637514597
"pX=0.20, pY=0.05, N=500",500,2,2,1.0,0.2519062142368648,0.00025190621423686483,5.000000000000001,3.8000000000000003,0.0,0.001684487265059771,0.00842244405462494,1.0300756663014836,2.1974423308933635,1.0406799197776473,2.145411329804989,0.5466108406409971,0.6296729250293405,0.6194761047790442,0.8066,1.0554010599705868,2.186602208648773,1.035910561199224,1.018814847054749,1.018814847054749,0.019430432969266068,0.02137086251490005,3.9335883664883733,3.6523605390345866,2.662696350801252,4.0274234297692,0.6769128090487814,1.0238548252990174,0.7290343662252663,1.1026905440265633,0.9285060353926035,7.214739344815232,5.740918474419552,4.598959872304641,6.9316690495915445,0.6374395043959026,0.9607650004116765,0.8010843374273188,1.207414646363252,0.7957208431299989
