anchor_configuration_id,configuration_label,configuration_id,sample_scale,baseline_n_p,baseline_n_q,n_p,n_q,mi_p,mi_q,true_delta_p_minus_q,mi_difference,minimum_expected_count,mean_delta_corrected,mean_delta_error,sd_delta_corrected,mean_standard_error,rms_standard_error,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,rejection_wilson_low,rejection_wilson_high,median_degrees_of_freedom,p_any_zero_cell_rate,q_any_zero_cell_rate,p_empty_margin_rate,q_empty_margin_rate
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.09999999999999987,0.0,0.0,0.7005134345964761,-0.0019635391353432477,-0.0019635391353432477,0.3011945101391732,0.19501252162213678,0.20694985158077245,normal_wald,Normal Wald,50000,49387,0.98774,8744,0.17705064085690567,0.1737093079837933,0.1804422096291311,,0.84672,0.85054,0.11242,0.11062
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.09999999999999987,0.0,0.0,0.7005134345964761,-0.0019635391353432477,-0.0019635391353432477,0.3011945101391732,0.19501252162213678,0.20694985158077245,simple_welch,Simple Welch,50000,49387,0.98774,5658,0.11456456152428776,0.11178552992435904,0.11740354895089235,6.066603444217714,0.84672,0.85054,0.11242,0.11062
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.09999999999999987,0.0,0.0,0.7005134345964761,-0.0019635391353432477,-0.0019635391353432477,0.3011945101391732,0.19501252162213678,0.20694985158077245,expanded_welch,Expanded Welch,50000,39461,0.78922,0,0.0,0.0,9.733876226773818e-05,2.4481776184557096,0.84672,0.85054,0.11242,0.11062
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di1em05_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,0.7004869366515848,0.0005653065189513564,0.0005753065189509778,0.30162518869348065,0.19471394390903082,0.2067363399940896,normal_wald,Normal Wald,50000,49346,0.98692,8802,0.17837312041502856,0.17502047113663807,0.18177584144145434,,0.84804,0.8474,0.11422,0.11508
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di1em05_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,0.7004869366515848,0.0005653065189513564,0.0005753065189509778,0.30162518869348065,0.19471394390903082,0.2067363399940896,simple_welch,Simple Welch,50000,49346,0.98692,5652,0.11453815912130669,0.11175826961159839,0.11737805837957392,6.066603444217714,0.84804,0.8474,0.11422,0.11508
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di1em05_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,0.7004869366515848,0.0005653065189513564,0.0005753065189509778,0.30162518869348065,0.19471394390903082,0.2067363399940896,expanded_welch,Expanded Welch,50000,39189,0.78378,0,0.0,0.0,9.801429745098443e-05,2.4481776184557096,0.84804,0.8474,0.11422,0.11508
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p0001_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,0.7002485215357845,0.001830926339677143,0.001930926339677132,0.3008741554733006,0.19496571070626603,0.20693732701913867,normal_wald,Normal Wald,50000,49338,0.98676,8802,0.17840204304998175,0.17504890739307913,0.1818052540697779,,0.84856,0.8498,0.11376,0.1125
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p0001_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,0.7002485215357845,0.001830926339677143,0.001930926339677132,0.3008741554733006,0.19496571070626603,0.20693732701913867,simple_welch,Simple Welch,50000,49338,0.98676,5695,0.11542827029875552,0.11263861060842997,0.11827781086987402,6.066603444217714,0.84856,0.8498,0.11376,0.1125
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p0001_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,0.7002485215357845,0.001830926339677143,0.001930926339677132,0.3008741554733006,0.19496571070626603,0.20693732701913867,expanded_welch,Expanded Welch,50000,39349,0.78698,0,0.0,0.0,9.76157928701e-05,2.4481776184557096,0.84856,0.8498,0.11376,0.1125
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p001_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,0.697870911462384,-0.0014097244686461982,-0.0004097244686458643,0.302022870608161,0.19387833806875454,0.20601616144831347,normal_wald,Normal Wald,50000,49308,0.98616,8950,0.18151212784943618,0.1781348705748631,0.18493900639182492,,0.84596,0.84644,0.117,0.1138
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p001_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,0.697870911462384,-0.0014097244686461982,-0.0004097244686458643,0.302022870608161,0.19387833806875454,0.20601616144831347,simple_welch,Simple Welch,50000,49308,0.98616,5735,0.11630972661637057,0.11350982298128878,0.11916941022889793,6.066603444217714,0.84596,0.84644,0.117,0.1138
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p001_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,0.697870911462384,-0.0014097244686461982,-0.0004097244686458643,0.302022870608161,0.19387833806875454,0.20601616144831347,expanded_welch,Expanded Welch,50000,39152,0.78304,0,0.0,0.0,9.810691527939962e-05,2.448177618455709,0.84596,0.84644,0.117,0.1138
