anchor_configuration_id,configuration_label,configuration_id,sample_scale,baseline_n_p,baseline_n_q,n_p,n_q,mi_p,mi_q,true_delta_p_minus_q,mi_difference,minimum_expected_count
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p1_scale2,2.0,10,10,20,20,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,1.948271627701847
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p2_scale2,2.0,10,10,20,20,0.09999999999999987,0.30000000000001115,-0.20000000000001128,0.2,1.3358602535325192
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p5_scale2,2.0,10,10,20,20,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,0.18753421882469923
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.09999999999999987,0.0,0.0,3.502567172982381
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di1em05_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,3.502434683257924
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p0001_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,3.5012426076789227
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p001_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,3.4893545573119202
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,3.437221534747829
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p01_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,3.3735971109070784
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p02_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,3.251078937652168
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p05_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,2.9153471967647624
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p1_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,2.4353395346273086
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p2_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.30000000000001115,-0.20000000000001128,0.2,1.6698253169156492
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p5_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,0.23441777353087404
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale1,1.0,50,50,50,50,0.09999999999999987,0.09999999999999987,0.0,0.0,7.005134345964762
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di1em05_scale1,1.0,50,50,50,50,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,7.004869366515848
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p0001_scale1,1.0,50,50,50,50,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,7.002485215357845
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p001_scale1,1.0,50,50,50,50,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,6.9787091146238405
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p005_scale1,1.0,50,50,50,50,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,6.874443069495658
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p01_scale1,1.0,50,50,50,50,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,6.747194221814157
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p02_scale1,1.0,50,50,50,50,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,6.502157875304336
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p05_scale1,1.0,50,50,50,50,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,5.830694393529525
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p1_scale1,1.0,50,50,50,50,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,4.870679069254617
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p2_scale1,1.0,50,50,50,50,0.09999999999999987,0.30000000000001115,-0.20000000000001128,0.2,3.3396506338312983
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p5_scale1,1.0,50,50,50,50,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,0.46883554706174807
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale2,2.0,50,50,100,100,0.09999999999999987,0.09999999999999987,0.0,0.0,14.010268691929523
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di1em05_scale2,2.0,50,50,100,100,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,14.009738733031696
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p0001_scale2,2.0,50,50,100,100,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,14.00497043071569
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p001_scale2,2.0,50,50,100,100,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,13.957418229247681
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p005_scale2,2.0,50,50,100,100,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,13.748886138991317
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p01_scale2,2.0,50,50,100,100,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,13.494388443628313
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p02_scale2,2.0,50,50,100,100,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,13.004315750608672
