scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,stage,population_seed,scenario_key,probability_p_json,probability_q_json,family,margin_p,margin_q,target_mi_p,target_mi_q,regular,pattern_p,pattern_q,min_expected_p,min_expected_q,different_distributions_l1,simulation_seed
random_2x2_d0,0.0,0.0,2,2,400,400,0.03,50.0,50.0,0.2500806292817346,0.24897135103902707,2.0,0.030000000000000027,0.03000000000000036,-3.3306690738754696e-16,0.06415415171034669,0.0582367368114482,0.05817458946134716,0.030164819597228387,0.058503713493947236,0.1735937762109028,0.17739511073050573,69.43751048436113,70.95804429220229,0.0,0.0,0.0,0.0,True,broad,91370211.0,broad:91370211:random_2x2_d0,"[[0.1735937762109028, 0.27502874330657895], [0.3483882834869506, 0.20298919699556767]]","[[0.17739511073050573, 0.3033044846421494], [0.3182803242965564, 0.20102008033078855]]",,,,,,,,,,,,
random_2x2_d1,0.0,1.0,2,2,200,400,0.07,20.0,5.0,0.38859677597699976,0.40160839632688566,1.0,0.07000000000000006,0.06999999999999995,1.1102230246251565e-16,0.3011430266916362,0.13005266982323985,0.13088229546593333,0.07204225268403597,0.13386221244347113,0.14971731733949073,0.12023967569705973,29.943463467898145,48.095870278823895,0.0,0.0,0.0,0.0,False,broad,91370211.0,broad:91370211:random_2x2_d1,"[[0.3259624840545885, 0.16521657830643702], [0.14971731733949073, 0.35910362029948384]]","[[0.4401103553934489, 0.12023967569705973], [0.18614095934644842, 0.25350900956304306]]",,,,,,,,,,,,
random_2x2_d2,0.0,2.0,2,2,120,480,0.15,5.0,1.2,0.5960338197982151,0.6285348358629981,1.0,0.1499999999999453,0.14999999999998648,-4.118927421359331e-14,1.111454431062871,0.2530813346357267,0.2611554533328925,0.05158311000644089,0.09927767713381397,0.10632000123141117,0.09648024769046863,12.75840014776934,46.31051889142494,0.0,0.0,0.0,0.0,True,broad,91370211.0,broad:91370211:random_2x2_d2,"[[0.3915279038039207, 0.1272480370587512], [0.10632000123141117, 0.37490405790591685]]","[[0.09648024769046863, 0.534572322519174], [0.2547229313024239, 0.11422449848793352]]",,,,,,,,,,,,
random_2x2_d3,0.0,3.0,2,2,800,800,0.03,1.0,0.5,0.3335155333356089,0.8355006609533893,1.0,0.02999999999999836,0.030000000000000138,-1.7763568394002505e-15,0.3711415747451122,0.06215525227741885,0.04147254539991483,0.018808362590195138,0.03782858282632029,0.07563654476150308,0.0022126370458264823,60.509235809202465,1.770109636661186,0.0,0.0,0.0,0.0,False,broad,91370211.0,broad:91370211:random_2x2_d3,"[[0.09737362069445844, 0.07563654476150308], [0.20942062442574952, 0.6175692101182889]]","[[0.04424324569136482, 0.0022126370458264823], [0.39499141179830566, 0.5585527054645031]]",,,,,,,,,,,,
random_2x2_d4,0.0,4.0,2,2,120,240,0.07,10.0,0.8,0.40027407405276555,0.9845622288065704,1.0,0.06999999999999984,0.06999999999999995,-1.1102230246251565e-16,0.7645965644123305,0.13054318356526637,0.09053161760857269,0.0016533415159666331,0.0033077604860172493,0.11937374304860458,0.0029301314748725505,14.32484916583255,0.7032315539694121,0.0,0.0,0.0,0.0,False,broad,91370211.0,broad:91370211:random_2x2_d4,"[[0.4301562889557716, 0.18958885842072207], [0.11937374304860458, 0.26088110957490185]]","[[0.33664817263249674, 0.5718871406268873], [0.08853455526574358, 0.0029301314748725505]]",,,,,,,,,,,,
random_2x2_d5,0.0,5.0,2,2,120,480,0.15,2.0,20.0,0.7526009778796402,0.7596292571664978,2.0,0.1499999999999999,0.14999999999999858,1.3322676295501878e-15,0.059804394011863715,0.21434373065938775,0.2097554851277751,0.15011727049008172,0.21077045924508306,0.02381299236456751,0.022318632286285993,2.857559083748101,10.712943497417276,0.0,0.0,0.0,0.0,False,broad,91370211.0,broad:91370211:random_2x2_d5,"[[0.2563588679985055, 0.2848128952940607], [0.43501524434286637, 0.02381299236456751]]","[[0.2661374385603652, 0.30493652173813285], [0.40660740741521606, 0.022318632286285993]]",,,,,,,,,,,,
random_2x5_d0,1.0,0.0,2,5,1000,1000,0.03,50.0,50.0,0.24779171243978282,0.24701479872700424,1.0,0.030000000000019345,0.029999999999999805,1.9539925233402755e-14,0.32854964168753026,0.057413819707529914,0.05800875791484256,0.013356888917715803,0.02619324455730652,0.0654831790279414,0.06546468921559428,65.4831790279414,65.46468921559429,0.0,0.0,0.0,0.0,False,broad,91370211.0,broad:91370211:random_2x5_d0,"[[0.10995713860136701, 0.15970557893453316, 0.11148428198376113, 0.06752280273401116, 0.08132896888974772], [0.14397214149644338, 0.0654831790279414, 0.0656940125246411, 0.09339440012352412, 0.10145749568402981]]","[[0.1511964406952199, 0.07405669229896351, 0.12697523060296784, 0.08717126945755944, 0.07054047843887255], [0.0847247752353814, 0.11908176943203702, 0.06546468921559428, 0.1276919131265858, 0.0930967414968183]]",,,,,,,,,,,,
random_2x5_d1,1.0,1.0,2,5,500,1000,0.07,20.0,5.0,0.39337007750652964,0.453644028517717,1.0,0.07000000000007,0.06999999999999917,7.083222897108499e-14,0.6415284484672606,0.12304263718300658,0.12054694284706369,0.02647952224085781,0.047720631069020386,0.031838701243493445,0.021329573259631075,15.919350621746723,21.329573259631076,0.0,0.0,0.0,0.0,True,broad,91370211.0,broad:91370211:random_2x5_d1,"[[0.08898972260000561, 0.19169253352545032, 0.10466976813001623, 0.13137353780332856, 0.08700139023492631], [0.04405757800624394, 0.031838701243493445, 0.0460797746531312, 0.12340415261207698, 0.1508928411913275]]","[[0.10414248727035502, 0.10455950061401882, 0.20584873598306846, 0.0940540551586589, 0.20364938966627502], [0.07599759291330141, 0.08768317861531588, 0.021329573259631075, 0.07241273169025553, 0.0303227548291198]]",,,,,,,,,,,,
random_2x5_d2,1.0,2.0,2,5,250,1000,0.15,5.0,1.2,0.6621820776352786,1.0090344702234744,1.0,0.15000000000001812,0.15000000000003588,-1.7763568394002505e-14,0.826420079802319,0.23224798849766357,0.2190221089351947,0.10747753584801312,0.17972975631581198,0.01354229216043644,0.0009543726678706969,3.3855730401091098,0.9543726678706969,0.0,0.0,0.0,0.0,False,broad,91370211.0,broad:91370211:random_2x5_d2,"[[0.04584617788597505, 0.13510104139447393, 0.01354229216043644, 0.03562546429604196, 0.11828605691183156], [0.0645003033762319, 0.05692965708782045, 0.21858942780311463, 0.21040272959206935, 0.10117684949200466]]","[[0.006339765002957837, 0.09111695269802841, 0.1141445050174022, 0.2726970587570483, 0.015382291628404135], [0.11103275063629563, 0.012368906029397385, 0.24759321312623828, 0.12837018443635703, 0.0009543726678706969]]",,,,,,,,,,,,
random_2x5_d3,1.0,3.0,2,5,2000,2000,0.03,1.0,0.5,0.2974153990407037,0.2813872702956479,2.0,0.02999999999999914,0.030000000000000027,-8.881784197001252e-16,1.3921064794608042,0.05763361738386837,0.053713247929659286,0.031845576937379105,0.06066465855405284,0.012545394808052402,0.0005798086255321645,25.090789616104804,1.159617251064329,0.0,0.0,0.0,0.4,False,broad,91370211.0,broad:91370211:random_2x5_d3,"[[0.11757578250649256, 0.0656746225380958, 0.012545394808052402, 0.11768682288203122, 0.10646741352070677], [0.2749895619437676, 0.030739888330245633, 0.028871313831297648, 0.1228631414221608, 0.12258605821714956]]","[[0.001342494756250967, 0.40314636493731093, 0.003353720705089367, 0.19343910431710037, 0.03233590596341684], [0.0007286172033064763, 0.31356910422636347, 0.0005798086255321645, 0.0420418618400176, 0.009463017425611897]]",,,,,,,,,,,,
