stage,population_seed,scenario_id,scenario_key,replicates,base_valid_n,edgeworth_valid_n,invalid_n,invalid_rate,invalid_raw_cdf_below_zero_n,invalid_raw_cdf_above_one_n,invalid_nonpositive_density_n,invalid_nonfinite_n,invalid_median_abs_statistic,invalid_normal_rejection_rate_05,invalid_normal_rejection_rate_10,candidate_valid_only_fpr_10,candidate_invalid_nonreject_fpr_10,candidate_invalid_reject_fpr_10,candidate_normal_fallback_fpr_10,candidate_left_rejections_10,candidate_right_rejections_10,normal_left_rejections_10,normal_right_rejections_10,candidate_valid_only_fpr_05,candidate_invalid_nonreject_fpr_05,candidate_invalid_reject_fpr_05,candidate_normal_fallback_fpr_05,candidate_left_rejections_05,candidate_right_rejections_05,normal_left_rejections_05,normal_right_rejections_05
broad,47628903,random_8x8_d2,broad:47628903:random_8x8_d2,5000,5000,4999,1,0.0002,0,1,1,0,3.913731364217245,1.0,1.0,0.09761952390478096,0.0976,0.0978,0.0978,226,262,258,229,0.05181036207241448,0.0518,0.052,0.052,112,147,145,124
broad,47628903,random_8x8_d3,broad:47628903:random_8x8_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.101,0.101,0.101,0.101,271,234,268,231,0.05,0.05,0.05,0.05,130,120,128,117
broad,47628903,random_8x8_d4,broad:47628903:random_8x8_d4,5000,5000,4997,3,0.0006,0,3,1,0,3.310180650190257,1.0,1.0,0.09445667400440264,0.0944,0.095,0.095,205,267,239,235,0.04622773664198519,0.0462,0.0468,0.0468,90,141,114,108
broad,47628903,random_8x8_d5,broad:47628903:random_8x8_d5,5000,5000,4993,7,0.0014,0,7,2,0,3.1476059277913557,1.0,1.0,0.10294412177047867,0.1028,0.1042,0.1042,181,333,227,278,0.05407570598838374,0.054,0.0554,0.0554,82,188,110,148
broad,47628903,random_8x12_d0,broad:47628903:random_8x12_d0,5000,5000,5000,0,0.0,0,0,0,0,,,,0.1006,0.1006,0.1006,0.1006,264,239,263,235,0.0472,0.0472,0.0472,0.0472,121,115,118,108
broad,47628903,random_8x12_d1,broad:47628903:random_8x12_d1,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0944,0.0944,0.0944,0.0944,233,239,253,225,0.0488,0.0488,0.0488,0.0488,121,123,135,108
broad,47628903,random_8x12_d2,broad:47628903:random_8x12_d2,5000,5000,4999,1,0.0002,0,1,1,0,3.853690726098421,1.0,1.0,0.09761952390478096,0.0976,0.0978,0.0978,210,278,248,243,0.046409281856371276,0.0464,0.0466,0.0466,96,136,119,107
broad,47628903,random_8x12_d3,broad:47628903:random_8x12_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0972,0.0972,0.0972,0.0972,250,236,249,234,0.046,0.046,0.046,0.046,119,111,119,111
broad,47628903,random_8x12_d4,broad:47628903:random_8x12_d4,5000,5000,5000,0,0.0,0,0,0,0,,,,0.092,0.092,0.092,0.092,197,263,224,235,0.0466,0.0466,0.0466,0.0466,86,147,112,115
broad,47628903,random_8x12_d5,broad:47628903:random_8x12_d5,5000,5000,4995,5,0.001,0,5,0,0,3.217432939876183,1.0,1.0,0.11191191191191191,0.1118,0.1128,0.1128,202,357,236,316,0.05425425425425425,0.0542,0.0552,0.0552,93,178,131,138
broad,47628903,random_10x10_d0,broad:47628903:random_10x10_d0,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0904,0.0904,0.0904,0.0904,217,235,215,234,0.049,0.049,0.049,0.049,123,122,119,120
broad,47628903,random_10x10_d1,broad:47628903:random_10x10_d1,5000,5000,5000,0,0.0,0,0,0,0,,,,0.1026,0.1026,0.1026,0.1026,258,255,283,235,0.0536,0.0536,0.0536,0.0536,130,138,141,116
broad,47628903,random_10x10_d2,broad:47628903:random_10x10_d2,5000,5000,4999,1,0.0002,0,1,1,0,3.8225910344197356,1.0,1.0,0.10282056411282256,0.1028,0.103,0.103,228,286,261,265,0.05401080216043209,0.054,0.0542,0.0542,113,157,138,134
broad,47628903,random_10x10_d3,broad:47628903:random_10x10_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0982,0.0982,0.0982,0.0982,217,274,217,269,0.0524,0.0524,0.0524,0.0524,105,157,105,155
broad,47628903,random_10x10_d4,broad:47628903:random_10x10_d4,5000,5000,5000,0,0.0,0,0,0,0,,,,0.089,0.089,0.089,0.089,215,230,235,207,0.0466,0.0466,0.0466,0.0466,100,133,117,107
broad,47628903,random_10x10_d5,broad:47628903:random_10x10_d5,5000,5000,4990,10,0.002,0,10,3,0,3.3423474583887063,1.0,1.0,0.10841683366733466,0.1082,0.1102,0.1102,174,367,207,311,0.05470941883767535,0.0546,0.0566,0.0566,86,187,125,155
broad,47628903,random_10x15_d0,broad:47628903:random_10x15_d0,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0876,0.0876,0.0876,0.0876,220,218,218,218,0.0432,0.0432,0.0432,0.0432,111,105,109,104
broad,47628903,random_10x15_d1,broad:47628903:random_10x15_d1,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0966,0.0966,0.0966,0.0966,232,251,243,237,0.0504,0.0504,0.0504,0.0504,129,123,137,105
broad,47628903,random_10x15_d2,broad:47628903:random_10x15_d2,5000,5000,4999,1,0.0002,0,1,1,0,4.453118243690605,1.0,1.0,0.11142228445689138,0.1114,0.1116,0.1116,252,305,278,284,0.05901180236047209,0.059,0.0592,0.0592,125,170,145,145
broad,47628903,random_10x15_d3,broad:47628903:random_10x15_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0966,0.0966,0.0966,0.0966,205,278,205,277,0.0494,0.0494,0.0494,0.0494,105,142,105,140
broad,47628903,random_10x15_d4,broad:47628903:random_10x15_d4,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0918,0.0918,0.0918,0.0918,186,273,208,246,0.0424,0.0424,0.0424,0.0424,89,123,102,101
broad,47628903,random_10x15_d5,broad:47628903:random_10x15_d5,5000,5000,4998,2,0.0004,0,2,2,0,3.9300593050251265,1.0,1.0,0.10364145658263306,0.1036,0.104,0.104,167,351,188,312,0.05622248899559824,0.0562,0.0566,0.0566,89,192,105,162
broad,47628903,random_20x20_d0,broad:47628903:random_20x20_d0,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0904,0.0904,0.0904,0.0904,225,227,224,227,0.0444,0.0444,0.0444,0.0444,110,112,110,112
broad,47628903,random_20x20_d1,broad:47628903:random_20x20_d1,5000,5000,5000,0,0.0,0,0,0,0,,,,0.1018,0.1018,0.1018,0.1018,243,266,253,256,0.0512,0.0512,0.0512,0.0512,129,127,135,118
broad,47628903,random_20x20_d2,broad:47628903:random_20x20_d2,5000,5000,5000,0,0.0,0,0,0,0,,,,0.1012,0.1012,0.1012,0.1012,236,270,254,258,0.0504,0.0504,0.0504,0.0504,112,140,123,125
broad,47628903,random_20x20_d3,broad:47628903:random_20x20_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.098,0.098,0.098,0.098,235,255,235,253,0.0456,0.0456,0.0456,0.0456,99,129,99,129
broad,47628903,random_20x20_d4,broad:47628903:random_20x20_d4,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0912,0.0912,0.0912,0.0912,178,278,189,257,0.0446,0.0446,0.0446,0.0446,87,136,95,114
broad,47628903,random_20x20_d5,broad:47628903:random_20x20_d5,5000,5000,5000,0,0.0,0,0,0,0,,,,0.1182,0.1182,0.1182,0.1182,149,442,168,407,0.0646,0.0646,0.0646,0.0646,62,261,71,241
hard,91370211,random_2x2_d5,hard:91370211:random_2x2_d5,20000,20000,19804,196,0.0098,0,196,91,0,2.853125771776119,1.0,1.0,0.0987679256715815,0.0978,0.1076,0.1076,766,1190,1280,1115,0.05236315895778631,0.05185,0.06165,0.06165,351,686,710,635
hard,91370211,random_2x5_d5,hard:91370211:random_2x5_d5,20000,20000,19806,194,0.0097,0,194,68,0,2.7010319106485934,1.0,1.0,0.10491770170655357,0.1039,0.1136,0.1136,796,1282,1285,1061,0.055740684641017876,0.0552,0.0649,0.0649,382,722,748,579
hard,91370211,random_3x7_d5,hard:91370211:random_3x7_d5,20000,20000,19959,41,0.00205,0,41,15,0,3.0896815956213395,1.0,1.0,0.10696928703842878,0.10675,0.1088,0.1088,1048,1087,1492,879,0.05736760358735408,0.05725,0.0593,0.0593,524,621,857,449
hard,91370211,random_4x6_d5,hard:91370211:random_4x6_d5,20000,20000,19904,96,0.0048,0,96,36,0,2.934737347940267,1.0,1.0,0.10626004823151125,0.10575,0.11055,0.11055,766,1349,1058,1138,0.056119372990353696,0.05585,0.06065,0.06065,345,772,556,610
hard,91370211,random_5x5_d5,hard:91370211:random_5x5_d5,20000,20000,19932,68,0.0034,0,68,17,0,2.931957781518527,1.0,1.0,0.10375275938189846,0.1034,0.1068,0.1068,839,1229,1126,1032,0.0537828617298816,0.0536,0.057,0.057,387,685,601,521
hard,91370211,random_5x10_d5,hard:91370211:random_5x10_d5,20000,20000,19926,74,0.0037,0,74,30,0,3.0613104162009055,1.0,1.0,0.11567800863193817,0.11525,0.11895,0.11895,933,1372,1179,1185,0.06167820937468634,0.06145,0.06515,0.06515,449,780,602,629
hard,47628903,random_2x2_d5,hard:47628903:random_2x2_d5,20000,20000,20000,0,0.0,0,0,0,0,,,,0.10095,0.10095,0.10095,0.10095,877,1142,1523,913,0.05435,0.05435,0.05435,0.05435,466,621,903,445
hard,47628903,random_2x5_d5,hard:47628903:random_2x5_d5,20000,20000,19930,70,0.0035,0,70,19,0,2.897202284713371,1.0,1.0,0.11695935775213247,0.11655,0.12005,0.12005,956,1375,1404,1183,0.06442548921224285,0.0642,0.0677,0.0677,472,812,809,628
hard,47628903,random_3x7_d5,hard:47628903:random_3x7_d5,20000,20000,19921,79,0.00395,0,79,30,0,2.8801414680202577,1.0,1.0,0.10175192008433312,0.10135,0.1053,0.1053,728,1299,1041,1063,0.051553636865619194,0.05135,0.0553,0.0553,310,717,561,525
hard,47628903,random_4x6_d5,hard:47628903:random_4x6_d5,20000,20000,19884,116,0.0058,0,116,44,0,2.9011022954052716,1.0,1.0,0.11134580567290284,0.1107,0.1165,0.1165,824,1390,1172,1167,0.05637698652182659,0.05605,0.06185,0.06185,369,752,631,577
hard,47628903,random_5x5_d5,hard:47628903:random_5x5_d5,20000,20000,19942,58,0.0029,0,58,18,0,3.0083962804505617,1.0,1.0,0.10946745562130178,0.10915,0.11205,0.11205,789,1394,1111,1159,0.05867014341590613,0.0585,0.0614,0.0614,370,800,600,604
hard,47628903,random_5x10_d5,hard:47628903:random_5x10_d5,20000,20000,19971,29,0.00145,0,29,11,0,3.1102232297318717,1.0,1.0,0.10875769866306144,0.1086,0.11005,0.11005,872,1300,1132,1099,0.059285964648740676,0.0592,0.06065,0.06065,428,756,601,570
strong,91370211,strong_random_2x2_d0,strong:91370211:strong_random_2x2_d0,5000,5000,4913,87,0.0174,42,45,24,0,2.4016955641656366,0.9655172413793104,1.0,0.10787706085894565,0.106,0.1234,0.1234,276,254,233,226,0.060451862405862,0.0594,0.0768,0.0762,150,147,105,104
strong,91370211,strong_random_2x2_d1,strong:91370211:strong_random_2x2_d1,5000,5000,4965,35,0.007,1,34,9,0,2.4622507387569934,1.0,1.0,0.10070493454179255,0.1,0.107,0.107,249,251,323,193,0.05337361530715005,0.053,0.06,0.06,121,144,158,77
strong,91370211,strong_random_2x2_d2,strong:91370211:strong_random_2x2_d2,5000,5000,4971,29,0.0058,0,29,10,0,2.7660557320004546,1.0,1.0,0.09474954737477369,0.0942,0.1,0.1,207,264,331,200,0.04787769060551197,0.0476,0.0534,0.0534,100,138,201,96
strong,91370211,strong_random_2x2_d3,strong:91370211:strong_random_2x2_d3,5000,5000,4971,29,0.0058,12,17,11,0,2.8249841933593474,1.0,1.0,0.11426272379802857,0.1136,0.1194,0.1194,285,283,253,255,0.06517803258901629,0.0648,0.0706,0.0706,164,160,125,127
strong,91370211,strong_random_2x2_d4,strong:91370211:strong_random_2x2_d4,5000,5000,4928,72,0.0144,16,56,25,0,2.3580463907213636,0.9861111111111112,1.0,0.09862012987012987,0.0972,0.1116,0.1116,247,239,317,154,0.052353896103896104,0.0516,0.066,0.0658,134,124,175,66
strong,91370211,strong_random_2x2_d5,strong:91370211:strong_random_2x2_d5,5000,5000,4951,49,0.0098,0,49,23,0,2.851049618895982,1.0,1.0,0.1017976166431024,0.1008,0.1106,0.1106,213,291,351,276,0.05776610785699859,0.0572,0.067,0.067,109,177,198,153
strong,91370211,strong_random_2x5_d0,strong:91370211:strong_random_2x5_d0,5000,5000,4982,18,0.0036,12,6,12,0,3.1388665887741074,1.0,1.0,0.10638297872340426,0.106,0.1096,0.1096,254,276,244,258,0.05700521878763549,0.0568,0.0604,0.0604,130,154,107,130
strong,91370211,strong_random_2x5_d1,strong:91370211:strong_random_2x5_d1,5000,5000,4990,10,0.002,0,10,4,0,2.997341316584407,1.0,1.0,0.10380761523046092,0.1036,0.1056,0.1056,233,285,283,222,0.05050100200400802,0.0504,0.0524,0.0524,116,136,161,108
strong,91370211,strong_random_2x5_d2,strong:91370211:strong_random_2x5_d2,5000,5000,4989,11,0.0022,0,11,5,0,3.0415718045183193,1.0,1.0,0.09941872118661055,0.0992,0.1014,0.1014,229,267,298,233,0.05111244738424534,0.051,0.0532,0.0532,100,155,173,113
strong,91370211,strong_random_2x5_d3,strong:91370211:strong_random_2x5_d3,5000,5000,4998,2,0.0004,0,2,1,0,3.5675515157981215,1.0,1.0,0.09863945578231292,0.0986,0.099,0.099,250,243,236,232,0.04801920768307323,0.048,0.0484,0.0484,124,116,113,104
strong,91370211,strong_random_2x5_d4,strong:91370211:strong_random_2x5_d4,5000,5000,4966,34,0.0068,0,34,9,0,2.650557809997844,1.0,1.0,0.09585179218687072,0.0952,0.102,0.102,216,260,290,219,0.04853000402738623,0.0482,0.055,0.055,103,138,157,106
strong,91370211,strong_random_2x5_d5,strong:91370211:strong_random_2x5_d5,5000,5000,4948,52,0.0104,0,52,21,0,2.788598258652355,1.0,1.0,0.10428455941794665,0.1032,0.1136,0.1136,206,310,315,268,0.05355699272433306,0.053,0.0634,0.0634,89,176,187,150
strong,91370211,strong_random_3x3_d0,strong:91370211:strong_random_3x3_d0,5000,5000,4985,15,0.003,6,9,6,0,3.106192179884928,1.0,1.0,0.10912738214643931,0.1088,0.1118,0.1118,269,275,235,252,0.05917753259779338,0.059,0.062,0.062,151,144,124,116
strong,91370211,strong_random_3x3_d1,strong:91370211:strong_random_3x3_d1,5000,5000,4987,13,0.0026,0,13,5,0,2.775348478894776,1.0,1.0,0.09163825947463405,0.0914,0.094,0.094,221,236,271,195,0.0481251253258472,0.048,0.0506,0.0506,100,140,135,89
strong,91370211,strong_random_3x3_d2,strong:91370211:strong_random_3x3_d2,5000,5000,4994,6,0.0012,0,6,1,0,3.1856579273276644,1.0,1.0,0.1001201441730076,0.1,0.1012,0.1012,206,294,287,231,0.04905887064477373,0.049,0.0502,0.0502,91,154,163,112
strong,91370211,strong_random_3x3_d3,strong:91370211:strong_random_3x3_d3,5000,5000,4998,2,0.0004,0,2,0,0,3.4994521521560156,1.0,1.0,0.10064025610244097,0.1006,0.101,0.101,242,261,222,253,0.05302120848339336,0.053,0.0534,0.0534,132,133,110,120
strong,91370211,strong_random_3x3_d4,strong:91370211:strong_random_3x3_d4,5000,5000,4968,32,0.0064,0,32,11,0,2.623242228384713,1.0,1.0,0.1034621578099839,0.1028,0.1092,0.1092,252,262,319,203,0.055152979066022546,0.0548,0.0612,0.0612,124,150,181,101
strong,91370211,strong_random_3x3_d5,strong:91370211:strong_random_3x3_d5,5000,5000,4967,33,0.0066,0,33,7,0,2.6959853819807433,1.0,1.0,0.12220656331789813,0.1214,0.128,0.128,277,330,385,290,0.06361989128246426,0.0632,0.0698,0.0698,115,201,235,163
strong,91370211,strong_random_3x7_d0,strong:91370211:strong_random_3x7_d0,5000,5000,4999,1,0.0002,1,0,1,0,4.132340693941551,1.0,1.0,0.09941988397679535,0.0994,0.0996,0.0996,261,236,252,214,0.052410482096419284,0.0524,0.0526,0.0526,135,127,122,110
strong,91370211,strong_random_3x7_d1,strong:91370211:strong_random_3x7_d1,5000,5000,4997,3,0.0006,0,3,2,0,3.593620542994472,1.0,1.0,0.0910546327796678,0.091,0.0916,0.0916,227,228,260,194,0.04302581548929357,0.043,0.0436,0.0436,100,115,129,90
strong,91370211,strong_random_3x7_d2,strong:91370211:strong_random_3x7_d2,5000,5000,4991,9,0.0018,0,9,5,0,3.40215293101078,1.0,1.0,0.11019835704267682,0.11,0.1118,0.1118,236,314,284,265,0.0546984572230014,0.0546,0.0564,0.0564,103,170,153,124
strong,91370211,strong_random_3x7_d3,strong:91370211:strong_random_3x7_d3,5000,5000,4999,1,0.0002,0,1,0,0,4.233325695213075,1.0,1.0,0.09621924384876976,0.0962,0.0964,0.0964,239,242,230,234,0.046409281856371276,0.0464,0.0466,0.0466,111,121,107,114
strong,91370211,strong_random_3x7_d4,strong:91370211:strong_random_3x7_d4,5000,5000,4990,10,0.002,0,10,3,0,2.764015612326836,1.0,1.0,0.09759519038076152,0.0974,0.0994,0.0994,197,290,257,215,0.0468937875751503,0.0468,0.0488,0.0488,81,153,125,102
strong,91370211,strong_random_3x7_d5,strong:91370211:strong_random_3x7_d5,5000,5000,4992,8,0.0016,0,8,3,0,3.0757095577468236,1.0,1.0,0.11778846153846154,0.1176,0.1192,0.1192,298,290,417,231,0.06229967948717949,0.0622,0.0638,0.0638,157,154,249,108
strong,91370211,strong_random_4x6_d0,strong:91370211:strong_random_4x6_d0,5000,5000,4999,1,0.0002,0,1,0,0,3.616971512096722,1.0,1.0,0.09701940388077615,0.097,0.0972,0.0972,245,240,226,232,0.048009601920384073,0.048,0.0482,0.0482,113,127,105,115
strong,91370211,strong_random_4x6_d1,strong:91370211:strong_random_4x6_d1,5000,5000,4996,4,0.0008,0,4,0,0,3.228874886813064,1.0,1.0,0.10028022417934347,0.1002,0.101,0.101,244,257,276,223,0.05244195356285028,0.0524,0.0532,0.0532,132,130,156,104
strong,91370211,strong_random_4x6_d2,strong:91370211:strong_random_4x6_d2,5000,5000,4994,6,0.0012,0,6,2,0,3.2202576127984006,1.0,1.0,0.09711653984781739,0.097,0.0982,0.0982,215,270,275,230,0.053464156988386066,0.0534,0.0546,0.0546,111,156,145,114
strong,91370211,strong_random_4x6_d3,strong:91370211:strong_random_4x6_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.103,0.103,0.103,0.103,249,266,244,261,0.0492,0.0492,0.0492,0.0492,118,128,111,122
strong,91370211,strong_random_4x6_d4,strong:91370211:strong_random_4x6_d4,5000,5000,4985,15,0.003,0,15,3,0,2.6680207286182025,1.0,1.0,0.09769307923771314,0.0974,0.1004,0.1004,232,255,273,202,0.04994984954864594,0.0498,0.0528,0.0528,112,137,145,94
strong,91370211,strong_random_4x6_d5,strong:91370211:strong_random_4x6_d5,5000,5000,4976,24,0.0048,0,24,6,0,2.9059178787637276,1.0,1.0,0.10651125401929261,0.106,0.1108,0.1108,199,331,279,278,0.05627009646302251,0.056,0.0608,0.0608,94,186,155,144
strong,91370211,strong_random_5x5_d0,strong:91370211:strong_random_5x5_d0,5000,5000,4997,3,0.0006,1,2,1,0,3.772447589599842,1.0,1.0,0.09405643386031619,0.094,0.0946,0.0946,234,236,227,229,0.04962977786672003,0.0496,0.0502,0.0502,119,129,112,116
strong,91370211,strong_random_5x5_d1,strong:91370211:strong_random_5x5_d1,5000,5000,4997,3,0.0006,0,3,1,0,3.1731751435034856,1.0,1.0,0.09905943566139684,0.099,0.0996,0.0996,253,242,288,211,0.05003001801080648,0.05,0.0506,0.0506,130,120,157,99
strong,91370211,strong_random_5x5_d2,strong:91370211:strong_random_5x5_d2,5000,5000,4994,6,0.0012,0,6,4,0,3.425340212626914,1.0,1.0,0.10272326792150581,0.1026,0.1038,0.1038,213,300,265,260,0.04985983179815779,0.0498,0.051,0.051,97,152,145,125
strong,91370211,strong_random_5x5_d3,strong:91370211:strong_random_5x5_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0956,0.0956,0.0956,0.0956,260,218,254,214,0.0486,0.0486,0.0486,0.0486,131,112,129,109
strong,91370211,strong_random_5x5_d4,strong:91370211:strong_random_5x5_d4,5000,5000,4989,11,0.0022,0,11,5,0,2.967118074152859,1.0,1.0,0.09400681499298456,0.0938,0.096,0.096,240,229,290,196,0.05131288835437964,0.0512,0.0534,0.0534,122,134,150,98
strong,91370211,strong_random_5x5_d5,strong:91370211:strong_random_5x5_d5,5000,5000,4982,18,0.0036,0,18,6,0,2.8913718339259065,1.0,1.0,0.1011641910879165,0.1008,0.1044,0.1044,218,286,315,233,0.05098354074668808,0.0508,0.0544,0.0544,105,149,170,104
strong,91370211,strong_random_5x10_d0,strong:91370211:strong_random_5x10_d0,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0912,0.0912,0.0912,0.0912,233,223,230,220,0.0446,0.0446,0.0446,0.0446,128,95,121,91
strong,91370211,strong_random_5x10_d1,strong:91370211:strong_random_5x10_d1,5000,5000,4999,1,0.0002,0,1,0,0,3.729119442846928,1.0,1.0,0.08761752350470094,0.0876,0.0878,0.0878,201,237,221,209,0.04420884176835367,0.0442,0.0444,0.0444,86,135,104,115
strong,91370211,strong_random_5x10_d2,strong:91370211:strong_random_5x10_d2,5000,5000,4997,3,0.0006,0,3,2,0,3.5942253073924304,1.0,1.0,0.09965979587752652,0.0996,0.1002,0.1002,217,281,268,242,0.04922953772263358,0.0492,0.0498,0.0498,99,147,131,115
strong,91370211,strong_random_5x10_d3,strong:91370211:strong_random_5x10_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0956,0.0956,0.0956,0.0956,231,247,228,245,0.047,0.047,0.047,0.047,118,117,116,115
strong,91370211,strong_random_5x10_d4,strong:91370211:strong_random_5x10_d4,5000,5000,4998,2,0.0004,0,2,0,0,2.9553657998678142,1.0,1.0,0.09503801520608243,0.095,0.0954,0.0954,209,266,237,214,0.04581832733093237,0.0458,0.0462,0.0462,91,138,120,99
strong,91370211,strong_random_5x10_d5,strong:91370211:strong_random_5x10_d5,5000,5000,4977,23,0.0046,0,23,7,0,2.961287427196558,1.0,1.0,0.12176009644364075,0.1212,0.1258,0.1258,260,346,324,297,0.06570223025919228,0.0654,0.07,0.07,130,197,178,149
strong,91370211,strong_random_8x8_d0,strong:91370211:strong_random_8x8_d0,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0964,0.0964,0.0964,0.0964,249,233,242,224,0.0516,0.0516,0.0516,0.0516,125,133,121,126
strong,91370211,strong_random_8x8_d1,strong:91370211:strong_random_8x8_d1,5000,5000,4998,2,0.0004,0,2,0,0,3.6868488350553346,1.0,1.0,0.10124049619847938,0.1012,0.1016,0.1016,259,247,280,226,0.0470188075230092,0.047,0.0474,0.0474,112,123,128,104
strong,91370211,strong_random_8x8_d2,strong:91370211:strong_random_8x8_d2,5000,5000,5000,0,0.0,0,0,0,0,,,,0.108,0.108,0.108,0.108,226,314,273,268,0.05,0.05,0.05,0.05,99,151,128,126
strong,91370211,strong_random_8x8_d3,strong:91370211:strong_random_8x8_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.089,0.089,0.089,0.089,227,218,225,214,0.0474,0.0474,0.0474,0.0474,123,114,118,111
strong,91370211,strong_random_8x8_d4,strong:91370211:strong_random_8x8_d4,5000,5000,4999,1,0.0002,0,1,0,0,3.101182321762815,1.0,1.0,0.08961792358471694,0.0896,0.0898,0.0898,199,249,233,213,0.042008401680336066,0.042,0.0422,0.0422,83,127,111,95
strong,91370211,strong_random_8x8_d5,strong:91370211:strong_random_8x8_d5,5000,5000,4992,8,0.0016,0,8,3,0,3.2386675553276696,1.0,1.0,0.09915865384615384,0.099,0.1006,0.1006,212,283,261,225,0.04707532051282051,0.047,0.0486,0.0486,100,135,154,103
strong,91370211,strong_random_8x12_d0,strong:91370211:strong_random_8x12_d0,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0892,0.0892,0.0892,0.0892,216,230,214,229,0.045,0.045,0.045,0.045,109,116,105,114
strong,91370211,strong_random_8x12_d1,strong:91370211:strong_random_8x12_d1,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0914,0.0914,0.0914,0.0914,213,244,225,225,0.0478,0.0478,0.0478,0.0478,107,132,120,116
strong,91370211,strong_random_8x12_d2,strong:91370211:strong_random_8x12_d2,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0914,0.0914,0.0914,0.0914,205,252,231,229,0.0466,0.0466,0.0466,0.0466,86,147,109,122
strong,91370211,strong_random_8x12_d3,strong:91370211:strong_random_8x12_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.1048,0.1048,0.1048,0.1048,257,267,257,267,0.0544,0.0544,0.0544,0.0544,135,137,134,132
strong,91370211,strong_random_8x12_d4,strong:91370211:strong_random_8x12_d4,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0932,0.0932,0.0932,0.0932,226,240,253,209,0.0476,0.0476,0.0476,0.0476,106,132,127,112
strong,91370211,strong_random_8x12_d5,strong:91370211:strong_random_8x12_d5,5000,5000,4997,3,0.0006,0,3,2,0,3.6084854132463913,1.0,1.0,0.11126676005603361,0.1112,0.1118,0.1118,239,317,290,270,0.056433860316189716,0.0564,0.057,0.057,108,174,141,143
strong,91370211,strong_random_10x10_d0,strong:91370211:strong_random_10x10_d0,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0884,0.0884,0.0884,0.0884,220,222,213,213,0.0434,0.0434,0.0434,0.0434,97,120,95,114
strong,91370211,strong_random_10x10_d1,strong:91370211:strong_random_10x10_d1,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0984,0.0984,0.0984,0.0984,237,255,255,230,0.0492,0.0492,0.0492,0.0492,116,130,131,116
strong,91370211,strong_random_10x10_d2,strong:91370211:strong_random_10x10_d2,5000,5000,4999,1,0.0002,0,1,0,0,3.6896401998014268,1.0,1.0,0.10362072414482897,0.1036,0.1038,0.1038,218,300,249,278,0.051010202040408084,0.051,0.0512,0.0512,99,156,129,142
strong,91370211,strong_random_10x10_d3,strong:91370211:strong_random_10x10_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.092,0.092,0.092,0.092,247,213,246,210,0.0492,0.0492,0.0492,0.0492,128,118,127,116
strong,91370211,strong_random_10x10_d4,strong:91370211:strong_random_10x10_d4,5000,5000,4999,1,0.0002,0,1,0,0,3.339292940229277,1.0,1.0,0.08781756351270253,0.0878,0.088,0.088,184,255,215,228,0.04300860172034407,0.043,0.0432,0.0432,83,132,97,105
strong,91370211,strong_random_10x10_d5,strong:91370211:strong_random_10x10_d5,5000,5000,4997,3,0.0006,0,3,0,0,3.3526691277997522,1.0,1.0,0.10006003602161297,0.1,0.1006,0.1006,169,331,212,280,0.047828697218330996,0.0478,0.0484,0.0484,74,165,108,124
strong,91370211,strong_random_10x15_d0,strong:91370211:strong_random_10x15_d0,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0886,0.0886,0.0886,0.0886,226,217,224,216,0.0424,0.0424,0.0424,0.0424,107,105,105,100
strong,91370211,strong_random_10x15_d1,strong:91370211:strong_random_10x15_d1,5000,5000,5000,0,0.0,0,0,0,0,,,,0.102,0.102,0.102,0.102,252,258,264,245,0.0492,0.0492,0.0492,0.0492,113,133,124,121
strong,91370211,strong_random_10x15_d2,strong:91370211:strong_random_10x15_d2,5000,5000,5000,0,0.0,0,0,0,0,,,,0.094,0.094,0.094,0.094,217,253,238,231,0.047,0.047,0.047,0.047,99,136,112,114
strong,91370211,strong_random_10x15_d3,strong:91370211:strong_random_10x15_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.0954,0.0954,0.0954,0.0954,248,229,247,229,0.0466,0.0466,0.0466,0.0466,131,102,131,101
