scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,2766434811,200,1.0,0.0,12.0,7.167266780072623e-11,0.008989824820309878,10,0.0,0.0
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,3202765758,200,1.0,0.0,13.0,9.394465760870219e-11,0.007386924135498702,10,3.126388037344441e-12,3.126388037344441e-13
config_2x2_d3_p02,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,2,0.1,2867895330,200,1.0,0.0,12.0,3.5331654268944135e-11,0.01115184607799165,10,7.810285751475021e-11,1.3295675671542995e-11
config_2x2_d3_p03,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,3,0.1,4085902826,200,1.0,0.0,11.0,5.442302164482271e-11,0.004019640001934022,10,8.361666914424859e-11,1.6200374375330284e-11
config_2x2_d3_p04,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,4,0.1,3741159399,200,1.0,0.0,12.0,2.550859523609006e-11,0.006636956087313592,10,8.162714948412031e-11,1.6399326341343112e-11
config_2x2_d3_p05,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,5,0.1,2377483062,200,1.0,0.0,12.0,3.7887637471811786e-11,0.0047683733433950696,10,5.212541509536095e-11,7.827338777133263e-12
config_2x2_d3_p06,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,6,0.1,980052219,200,1.0,0.005,12.0,5.265243796515051e-11,0.01617487377487123,10,2.9558577807620168e-12,2.955857780762017e-13
config_2x2_d3_p07,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,7,0.1,1246660382,200,1.0,0.0,13.0,6.485004200307287e-11,0.010311383345397189,10,8.611777957412414e-11,1.0112444215337746e-11
config_2x2_d3_p08,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,8,0.1,3343794369,200,1.0,0.0,13.0,3.734576536906786e-11,0.013923819964984431,10,0.0,0.0
config_2x2_d3_p09,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,9,0.1,318345911,200,1.0,0.0,12.0,4.157404975835277e-11,0.00827913852990605,10,9.36211108637508e-11,9.36211108637508e-12
