q,model,n,median_ratio,mean_abs_log_error,median_abs_log_error,within_10pct,within_20pct,p01,p05,p95,p99
0.95,standard_chi2,10670,0.9813326857190843,0.055048432935498375,0.027776918459204193,0.8360824742268042,0.9583880037488285,0.8611814494894846,0.8878328632960265,1.1242753558528769,1.6547165436855271
0.95,true_moment_matched,10670,1.0007193184209475,0.004990139138312943,0.002261937414820861,0.9963448922211808,0.9991565135895033,0.9732684957823095,0.9931158274833399,1.012689253788506,1.0329011022135206
0.95,predicted_formula,10670,1.0032394371979612,0.030208587385850364,0.011739434887422899,0.93514526710403,0.9802249297094658,0.8748468023057474,0.9505323179318226,1.095082459532631,1.271303647915209
0.99,standard_chi2,10670,0.9832710112937763,0.054055547489022374,0.026646808356391126,0.8638238050609185,0.9553889409559513,0.8795538734799598,0.9021172240767625,1.1696235731830222,1.7015379416777014
0.99,true_moment_matched,10670,1.0022305405456806,0.009736088585263078,0.005024636550691241,0.9942830365510777,0.9991565135895033,0.970049570421562,0.9880146191881745,1.0312951893321245,1.0739018486025613
0.99,predicted_formula,10670,1.0046996021127481,0.03128316856802326,0.013992575039180631,0.9337394564198688,0.9802249297094658,0.8878775335976142,0.9541668047203625,1.099697829878644,1.2846096212839806
