target,feature_set,n,n_features,alpha,train_r2,random_cv_r2,group_cv_r2,features,coefficients
a,lambda_tp,10670,1,1e-08,0.4471316715787569,0.44659197068793866,0.4417604422838387,inv_lam_tp,"{""inv_lam_tp"": -0.0006751157315912571}"
a,lambda_min_power,10670,3,0.0001,0.44046705677698006,0.4400509878058848,0.4153259274347554,"inv_lam_min,inv_sqrt_lam_min,inv_lam_min_sq","{""inv_lam_min"": -0.16798355212651198, ""inv_lam_min_sq"": 0.01044747416095256, ""inv_sqrt_lam_min"": 0.11194122163628686}"
a,lambda_min,10670,1,1e-08,0.3553010812381461,0.35518880995031976,0.33604067307421615,inv_lam_min,"{""inv_lam_min"": -0.04310387790494923}"
nu_norm,hybrid_weighted_sparsity,10670,11,0.0001,0.7701371345812285,0.7677076757827138,0.7418112784226578,"inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0","{""frac_cells_lt_1"": -3.102267990497195, ""frac_cells_lt_5"": 0.0432108253060746, ""inv_lam_min_x_frac_lt1"": -1.139783318042576, ""inv_lam_min_x_n_lt1_norm_nu0"": 0.7324304070833608, ""inv_lam_sqrt_harm"": 0.004342893243918028, ""inv_lam_tp"": -4.479975421888051e-05, ""inv_sqrt_lam_min_x_frac_lt1"": 5.057426156909578, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": -3.659667058957414, ""inv_sqrt_lam_tp"": 0.002436439916372977, ""n_lt1_norm_nu0"": 3.244258463630633, ""n_lt5_norm_nu0"": 0.05121083407336678}"
nu_norm,weighted_frac_sparsity,10670,8,0.0,0.747083252328629,0.7460240365976386,0.7207456857213691,"inv_lam_tp,inv_sqrt_lam_tp,frac_cells_lt_1,frac_cells_lt_5,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_frac_lt5,inv_sqrt_lam_min_x_frac_lt5","{""frac_cells_lt_1"": 1.2434109375490703, ""frac_cells_lt_5"": -0.0677434355649753, ""inv_lam_min_x_frac_lt1"": -0.060645181886319656, ""inv_lam_min_x_frac_lt5"": -0.1213518391364607, ""inv_lam_tp"": 0.0003350496950998956, ""inv_sqrt_lam_min_x_frac_lt1"": -0.02137223339127686, ""inv_sqrt_lam_min_x_frac_lt5"": 0.3114182253660172, ""inv_sqrt_lam_tp"": 0.004396881074350564}"
nu_norm,mixed_sparsity,10670,7,0.0,0.7198354015045437,0.7188058016528212,0.6859320217284182,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5","{""frac_cells_lt_1"": 1.0694105266421468, ""frac_cells_lt_5"": 0.14304803224463086, ""inv_lam_min"": -0.06331155890337808, ""inv_lam_sqrt_harm"": -0.004638255708107304, ""inv_lam_tp"": 0.00016627865241552006, ""inv_sqrt_lam_min"": 0.020996110614323316, ""inv_sqrt_lam_tp"": 0.013525540348590975}"
nu_norm,weighted_count_sparsity,10670,8,0.01,0.7019673108388269,0.6999497643103214,0.6737120971235848,"inv_lam_tp,inv_sqrt_lam_tp,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0,inv_lam_min_x_n_lt5_norm_nu0,inv_sqrt_lam_min_x_n_lt5_norm_nu0","{""inv_lam_min_x_n_lt1_norm_nu0"": -0.109132578052523, ""inv_lam_min_x_n_lt5_norm_nu0"": -0.08208355002921641, ""inv_lam_tp"": 0.00024167698577816225, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": 0.3024502104315863, ""inv_sqrt_lam_min_x_n_lt5_norm_nu0"": 0.17138909170446448, ""inv_sqrt_lam_tp"": 0.016584958482869172, ""n_lt1_norm_nu0"": 0.4877835991683456, ""n_lt5_norm_nu0"": -0.0569745446126405}"
nu_norm,rich_interactions,10670,20,1e-06,0.6827678530743582,0.6790730847512045,0.6209344360298725,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,tp_x_log_nu0,tp_x_log_k_cells,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_min"": 0.011202255621403416, ""inv_lam_sqrt_harm"": 0.0634784916191444, ""inv_lam_tp"": -0.009135433103490782, ""inv_sqrt_lam_min"": -0.06923730763779896, ""inv_sqrt_lam_tp"": 0.08733323227757929, ""tp_x_asym_H_norm"": -0.007879512631322335, ""tp_x_asym_min_p"": 0.0008904555249388283, ""tp_x_expected_cv"": -0.0012294810469163087, ""tp_x_frac_cells_lt_0p5"": -0.0014494378534922084, ""tp_x_frac_cells_lt_1"": 0.003959442973350456, ""tp_x_frac_cells_lt_5"": 0.007997562854184107, ""tp_x_log_k_cells"": 0.00016416346966250053, ""tp_x_log_nu0"": 0.002479654327938977, ""tp_x_mean_H_norm"": -0.009624925638590177, ""tp_x_mean_k_min_p"": -0.004147427368683114, ""tp_x_min_H_norm"": -0.009941742706500504, ""tp_x_min_k_min_p"": 0.0026651646342262672, ""tp_x_one_minus_H_cell_norm"": -0.001197477273418216, ""tp_x_one_minus_cell_perp_n"": 0.004959797877563486, ""tp_x_one_minus_cell_simpson_n"": -0.0027426751946509516}"
nu_norm,tp_sparsity,10670,5,1e-08,0.46027362947589257,0.4576979749354886,0.43267105249928517,"inv_lam_tp,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv","{""inv_lam_tp"": 0.0015348015535445322, ""tp_x_expected_cv"": -0.0007394107240382153, ""tp_x_frac_cells_lt_0p5"": -0.0035245860110128817, ""tp_x_frac_cells_lt_1"": 0.0017949937783966197, ""tp_x_frac_cells_lt_5"": 0.0011732486086332128}"
nu_norm,lambda_tp_power,10670,2,1e-06,0.4328609248774875,0.4326788918729527,0.4078240551232475,"inv_lam_tp,inv_sqrt_lam_tp","{""inv_lam_tp"": -0.00015700311553816217, ""inv_sqrt_lam_tp"": 0.03865090931904515}"
nu_norm,tp_size,10670,3,0.0001,0.3164608600431894,0.3118260068750943,0.29736970781363514,"inv_lam_tp,tp_x_log_nu0,tp_x_log_k_cells","{""inv_lam_tp"": -0.015744050177922284, ""tp_x_log_k_cells"": 0.03970915730469892, ""tp_x_log_nu0"": -0.037552016927585495}"
nu_norm,lambda_min_power,10670,3,1e-08,0.2938984484778925,0.29356740345468213,0.26383984687509143,"inv_lam_min,inv_sqrt_lam_min,inv_lam_min_sq","{""inv_lam_min"": 0.241603177216794, ""inv_lam_min_sq"": -0.01970911128896699, ""inv_sqrt_lam_min"": -0.04104056206783856}"
nu_norm,tp_shape_asymmetry,10670,7,1e-08,0.295848684922952,0.2923217619601338,0.2441467239035211,"inv_lam_tp,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_tp"": -0.007285624176771862, ""tp_x_asym_H_norm"": 0.0013180602189461284, ""tp_x_asym_min_p"": -5.744317313811056e-06, ""tp_x_mean_H_norm"": 0.0056128309586639625, ""tp_x_mean_k_min_p"": -0.0030805611720718822, ""tp_x_min_H_norm"": 0.005820263109789747, ""tp_x_min_k_min_p"": -0.00024190741583729271}"
nu_norm,tp_entropy,10670,4,1e-06,0.25602150977245275,0.2517130847907272,0.21651228279705792,"inv_lam_tp,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n","{""inv_lam_tp"": 0.0013608235948377066, ""tp_x_one_minus_H_cell_norm"": 0.029105620817771433, ""tp_x_one_minus_cell_perp_n"": -0.013718665971459886, ""tp_x_one_minus_cell_simpson_n"": 0.0035896988501035836}"
nu_norm,lambda_tp,10670,1,1.0,0.2365229585492572,0.23619125117321915,0.22023291532681677,inv_lam_tp,"{""inv_lam_tp"": 0.0012271721970097322}"
nu_norm,lambda_min,10670,1,0.0001,0.1361141460271007,0.1359403710456133,0.11787200145036014,inv_lam_min,"{""inv_lam_min"": 0.07518655069909026}"
