scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_5x5_d1_p00,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,0,0.1,2411834051,200,1.0,0.0,58.0,9.294870428888657e-12,0.011635499857366085,10,6.983612820476992e-06,6.983612820476992e-07
config_5x5_d1_p01,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,1,0.1,1646146907,200,1.0,0.0,60.0,5.5439153268110886e-11,0.01143111129058525,10,1.3738571851718007e-05,2.562921940807428e-06
config_5x5_d1_p02,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,2,0.1,580191369,200,1.0,0.0,61.0,5.743713837880193e-11,0.012179670153418556,10,8.727643489692127e-06,1.0436401908009429e-06
config_5x5_d1_p03,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,3,0.1,2742270206,200,1.0,0.0,58.0,1.0049544529877608e-11,0.011425438325386495,10,3.855493332594051e-06,3.861085360767902e-07
config_5x5_d1_p04,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,4,0.1,1368083900,200,1.0,0.0,60.0,7.33798022345411e-11,0.011497980409767478,10,7.452191516676976e-05,7.528274159085413e-06
config_5x5_d1_p05,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,5,0.1,186163868,200,1.0,0.0,59.0,1.632161072961935e-11,0.00996551504242234,10,0.00789041789039402,0.0007963028434232911
config_5x5_d1_p06,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,6,0.1,4167625544,200,1.0,0.0,60.0,9.714817839068246e-11,0.011486440836451948,10,7.788670700392686e-06,7.788670700392686e-07
config_5x5_d1_p07,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,7,0.1,3401443439,200,1.0,0.0,58.0,9.275386014806486e-12,0.013422285617562011,10,3.639518854470225e-05,3.970409534304054e-06
config_5x5_d1_p08,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,8,0.1,2020052833,200,1.0,0.0,58.0,1.7361861948117507e-11,0.011012183933053166,10,5.81186532144784e-06,1.0891688816627721e-06
config_5x5_d1_p09,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,9,0.1,3798690564,200,1.0,0.0,58.0,2.086485151320261e-11,0.009891128252493218,10,6.657594212811091e-06,1.5910754882497713e-06
