method,method_label,configurations,mean_valid_rate,mean_fpr_10,configuration_mae_10,wins_vs_normal_10,mean_fpr_05,configuration_mae_05,wins_vs_normal_05,mean_fpr_01,configuration_mae_01,wins_vs_normal_01
normal_wald,Normal Wald,1,1.0,0.0995,0.0005000000000000004,0,0.0485,0.0015000000000000013,0,0.009,0.0010000000000000009,0
simple_welch,Simple Welch,1,1.0,0.098,0.0020000000000000018,0,0.048,0.0020000000000000018,0,0.009,0.0010000000000000009,0
expanded_welch,Expanded Welch,1,1.0,0.094,0.006000000000000005,0,0.045,0.0050000000000000044,0,0.0075,0.0025000000000000005,0
constrained_lrt,Constrained LRT,1,1.0,0.097,0.0030000000000000027,0,0.0485,0.0015000000000000013,0,0.0085,0.0014999999999999996,0
