stage,method,scenarios,mean_valid_rate,mean_coverage_95,mean_fpr_10,mean_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,mean_fpr_05,mean_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,within_035_065
broad,wald_normal,144,1.0,0.9502263888888888,0.09946527777777778,0.007490277777777778,0.0796,0.1244,0.049773611111111116,0.005143055555555557,0.0376,0.0718,0.9722222222222222
broad,welch_reference,144,1.0,0.9504875,0.09915277777777777,0.007294444444444446,0.0796,0.1224,0.049512499999999994,0.005040277777777778,0.0376,0.0702,0.9791666666666666
broad,welch_unbiased,144,1.0,0.9506708333333334,0.09890277777777778,0.00725,0.0796,0.1218,0.04932916666666667,0.004973611111111113,0.0376,0.0692,0.9791666666666666
hard,wald_normal,12,1.0,0.9382291666666666,0.11632083333333333,0.01632083333333333,0.10935,0.12825,0.06177083333333334,0.011770833333333333,0.05545,0.07405,0.75
hard,welch_reference,12,1.0,0.9391625000000001,0.11521250000000001,0.015212499999999999,0.10825,0.1269,0.06083750000000001,0.010837499999999998,0.055,0.0727,0.9166666666666666
hard,welch_unbiased,12,1.0,0.9397000000000001,0.11432500000000001,0.01432499999999999,0.10775,0.1252,0.0603,0.010299999999999997,0.0546,0.07185,0.9166666666666666
stress,wald_normal,26,0.9998692307692308,0.9341994254233529,0.11398419827172687,0.04326195557442698,0.039111733520056015,0.1862,0.06580057457664702,0.031799425423352984,0.0157015701570157,0.1244,0.19230769230769232
stress,welch_reference,26,0.9998692307692308,0.9372422926385985,0.11043360108230169,0.041981783533082906,0.03491047314194258,0.1802,0.06275770736140143,0.0303653695616755,0.013801380138013802,0.119,0.15384615384615385
stress,welch_unbiased,26,0.9998692307692308,0.9388733117989976,0.10792553220799259,0.04092062163816127,0.032709812943883164,0.1756,0.061126688201002456,0.02948869641438216,0.012401240124012402,0.1155,0.19230769230769232
