stage,scenario_seed,scenario_id,scenario_key,replicates,batch_seconds,batch_microseconds_per_pair
broad,2026072501,random_8x12_d1,broad:2026072501:random_8x12_d1,5000,0.013543416978791356,2.708683395758271
broad,2026072501,random_8x12_d2,broad:2026072501:random_8x12_d2,5000,0.012544292025268078,2.5088584050536156
broad,2026072501,random_8x12_d3,broad:2026072501:random_8x12_d3,5000,0.013485874980688095,2.697174996137619
broad,2026072501,random_8x12_d4,broad:2026072501:random_8x12_d4,5000,0.01356733392458409,2.713466784916818
broad,2026072501,random_8x12_d5,broad:2026072501:random_8x12_d5,5000,0.013187207980081439,2.637441596016288
broad,2026072501,random_10x10_d0,broad:2026072501:random_10x10_d0,5000,0.014843625016510487,2.9687250033020973
broad,2026072501,random_10x10_d1,broad:2026072501:random_10x10_d1,5000,0.013832709053531289,2.766541810706258
broad,2026072501,random_10x10_d2,broad:2026072501:random_10x10_d2,5000,0.01393074996303767,2.786149992607534
broad,2026072501,random_10x10_d3,broad:2026072501:random_10x10_d3,5000,0.014006708981469274,2.8013417962938547
broad,2026072501,random_10x10_d4,broad:2026072501:random_10x10_d4,5000,0.013931917026638985,2.786383405327797
broad,2026072501,random_10x10_d5,broad:2026072501:random_10x10_d5,5000,0.013718332978896797,2.7436665957793593
broad,2026072501,random_10x15_d0,broad:2026072501:random_10x15_d0,5000,0.02093562507070601,4.187125014141202
broad,2026072501,random_10x15_d1,broad:2026072501:random_10x15_d1,5000,0.01769212505314499,3.5384250106289983
broad,2026072501,random_10x15_d2,broad:2026072501:random_10x15_d2,5000,0.01824087498243898,3.6481749964877963
broad,2026072501,random_10x15_d3,broad:2026072501:random_10x15_d3,5000,0.019357500015757978,3.8715000031515956
broad,2026072501,random_10x15_d4,broad:2026072501:random_10x15_d4,5000,0.018881583004258573,3.7763166008517146
broad,2026072501,random_10x15_d5,broad:2026072501:random_10x15_d5,5000,0.01877445902209729,3.754891804419458
broad,2026072501,random_20x20_d0,broad:2026072501:random_20x20_d0,5000,0.056039500050246716,11.207900010049343
broad,2026072501,random_20x20_d1,broad:2026072501:random_20x20_d1,5000,0.04318104207050055,8.63620841410011
broad,2026072501,random_20x20_d2,broad:2026072501:random_20x20_d2,5000,0.04281708400230855,8.56341680046171
broad,2026072501,random_20x20_d3,broad:2026072501:random_20x20_d3,5000,0.044269499951042235,8.853899990208447
broad,2026072501,random_20x20_d4,broad:2026072501:random_20x20_d4,5000,0.04653358401264995,9.30671680252999
broad,2026072501,random_20x20_d5,broad:2026072501:random_20x20_d5,5000,0.045444375020451844,9.088875004090369
broad,2026072601,random_2x2_d0,broad:2026072601:random_2x2_d0,5000,0.002680624951608479,0.5361249903216958
broad,2026072601,random_2x2_d1,broad:2026072601:random_2x2_d1,5000,0.002761834068223834,0.5523668136447668
broad,2026072601,random_2x2_d2,broad:2026072601:random_2x2_d2,5000,0.0027764160186052322,0.5552832037210464
broad,2026072601,random_2x2_d3,broad:2026072601:random_2x2_d3,5000,0.0027476249961182475,0.5495249992236495
broad,2026072601,random_2x2_d4,broad:2026072601:random_2x2_d4,5000,0.0026196249527856708,0.5239249905571342
broad,2026072601,random_2x2_d5,broad:2026072601:random_2x2_d5,5000,0.0027793749468401074,0.5558749893680215
broad,2026072601,random_2x5_d0,broad:2026072601:random_2x5_d0,5000,0.0035163330612704158,0.7032666122540832
broad,2026072601,random_2x5_d1,broad:2026072601:random_2x5_d1,5000,0.0034299999242648482,0.6859999848529696
broad,2026072601,random_2x5_d2,broad:2026072601:random_2x5_d2,5000,0.003472291980870068,0.6944583961740136
broad,2026072601,random_2x5_d3,broad:2026072601:random_2x5_d3,5000,0.0034508330281823874,0.6901666056364775
broad,2026072601,random_2x5_d4,broad:2026072601:random_2x5_d4,5000,0.003426583018153906,0.6853166036307812
broad,2026072601,random_2x5_d5,broad:2026072601:random_2x5_d5,5000,0.003438750049099326,0.6877500098198652
broad,2026072601,random_3x3_d0,broad:2026072601:random_3x3_d0,5000,0.0034310841001570225,0.6862168200314045
broad,2026072601,random_3x3_d1,broad:2026072601:random_3x3_d1,5000,0.003560375072993338,0.7120750145986676
broad,2026072601,random_3x3_d2,broad:2026072601:random_3x3_d2,5000,0.003457500017248094,0.6915000034496188
broad,2026072601,random_3x3_d3,broad:2026072601:random_3x3_d3,5000,0.0035802919883280993,0.7160583976656199
broad,2026072601,random_3x3_d4,broad:2026072601:random_3x3_d4,5000,0.00351387495175004,0.702774990350008
broad,2026072601,random_3x3_d5,broad:2026072601:random_3x3_d5,5000,0.00357054197229445,0.71410839445889
broad,2026072601,random_3x7_d0,broad:2026072601:random_3x7_d0,5000,0.004940291051752865,0.9880582103505731
broad,2026072601,random_3x7_d1,broad:2026072601:random_3x7_d1,5000,0.004854416940361261,0.9708833880722523
broad,2026072601,random_3x7_d2,broad:2026072601:random_3x7_d2,5000,0.004848708980716765,0.969741796143353
broad,2026072601,random_3x7_d3,broad:2026072601:random_3x7_d3,5000,0.004718333017081022,0.9436666034162045
broad,2026072601,random_3x7_d4,broad:2026072601:random_3x7_d4,5000,0.004803334013558924,0.9606668027117848
broad,2026072601,random_3x7_d5,broad:2026072601:random_3x7_d5,5000,0.004893542034551501,0.9787084069103003
broad,2026072601,random_4x6_d0,broad:2026072601:random_4x6_d0,5000,0.005224541993811727,1.0449083987623453
broad,2026072601,random_4x6_d1,broad:2026072601:random_4x6_d1,5000,0.005190707975998521,1.0381415951997042
broad,2026072601,random_4x6_d2,broad:2026072601:random_4x6_d2,5000,0.00515837490092963,1.031674980185926
broad,2026072601,random_4x6_d3,broad:2026072601:random_4x6_d3,5000,0.004958958947099745,0.991791789419949
broad,2026072601,random_4x6_d4,broad:2026072601:random_4x6_d4,5000,0.005207832902669907,1.0415665805339813
broad,2026072601,random_4x6_d5,broad:2026072601:random_4x6_d5,5000,0.005278458003886044,1.0556916007772088
broad,2026072601,random_5x5_d0,broad:2026072601:random_5x5_d0,5000,0.005617500049993396,1.1235000099986792
broad,2026072601,random_5x5_d1,broad:2026072601:random_5x5_d1,5000,0.005403541959822178,1.0807083919644356
broad,2026072601,random_5x5_d2,broad:2026072601:random_5x5_d2,5000,0.006690624984912574,1.3381249969825149
broad,2026072601,random_5x5_d3,broad:2026072601:random_5x5_d3,5000,0.005856957985088229,1.1713915970176458
broad,2026072601,random_5x5_d4,broad:2026072601:random_5x5_d4,5000,0.005606124992482364,1.1212249984964728
broad,2026072601,random_5x5_d5,broad:2026072601:random_5x5_d5,5000,0.005694707971997559,1.1389415943995118
broad,2026072601,random_5x10_d0,broad:2026072601:random_5x10_d0,5000,0.008611917030066252,1.7223834060132504
broad,2026072601,random_5x10_d1,broad:2026072601:random_5x10_d1,5000,0.00809166592080146,1.6183331841602921
broad,2026072601,random_5x10_d2,broad:2026072601:random_5x10_d2,5000,0.00814675004221499,1.629350008442998
broad,2026072601,random_5x10_d3,broad:2026072601:random_5x10_d3,5000,0.007915499969385564,1.5830999938771129
broad,2026072601,random_5x10_d4,broad:2026072601:random_5x10_d4,5000,0.008464084006845951,1.6928168013691902
broad,2026072601,random_5x10_d5,broad:2026072601:random_5x10_d5,5000,0.007952292100526392,1.5904584201052785
broad,2026072601,random_8x8_d0,broad:2026072601:random_8x8_d0,5000,0.009745375020429492,1.9490750040858984
broad,2026072601,random_8x8_d1,broad:2026072601:random_8x8_d1,5000,0.009561332990415394,1.9122665980830789
broad,2026072601,random_8x8_d2,broad:2026072601:random_8x8_d2,5000,0.009645540965721011,1.9291081931442022
broad,2026072601,random_8x8_d3,broad:2026072601:random_8x8_d3,5000,0.009936584043316543,1.9873168086633086
broad,2026072601,random_8x8_d4,broad:2026072601:random_8x8_d4,5000,0.009987291996367276,1.9974583992734551
broad,2026072601,random_8x8_d5,broad:2026072601:random_8x8_d5,5000,0.010282292030751705,2.056458406150341
broad,2026072601,random_8x12_d0,broad:2026072601:random_8x12_d0,5000,0.012304415926337242,2.4608831852674484
broad,2026072601,random_8x12_d1,broad:2026072601:random_8x12_d1,5000,0.012524958001449704,2.504991600289941
broad,2026072601,random_8x12_d2,broad:2026072601:random_8x12_d2,5000,0.013320917030796409,2.6641834061592817
broad,2026072601,random_8x12_d3,broad:2026072601:random_8x12_d3,5000,0.013383124954998493,2.6766249909996986
broad,2026072601,random_8x12_d4,broad:2026072601:random_8x12_d4,5000,0.013675083057023585,2.735016611404717
broad,2026072601,random_8x12_d5,broad:2026072601:random_8x12_d5,5000,0.013752583996392787,2.7505167992785573
broad,2026072601,random_10x10_d0,broad:2026072601:random_10x10_d0,5000,0.013348833075724542,2.6697666151449084
broad,2026072601,random_10x10_d1,broad:2026072601:random_10x10_d1,5000,0.013212042045779526,2.6424084091559052
broad,2026072601,random_10x10_d2,broad:2026072601:random_10x10_d2,5000,0.013183167087845504,2.636633417569101
broad,2026072601,random_10x10_d3,broad:2026072601:random_10x10_d3,5000,0.013479416957125068,2.6958833914250135
broad,2026072601,random_10x10_d4,broad:2026072601:random_10x10_d4,5000,0.013785582967102528,2.7571165934205055
broad,2026072601,random_10x10_d5,broad:2026072601:random_10x10_d5,5000,0.013605249929241836,2.721049985848367
broad,2026072601,random_10x15_d0,broad:2026072601:random_10x15_d0,5000,0.018111584009602666,3.622316801920533
broad,2026072601,random_10x15_d1,broad:2026072601:random_10x15_d1,5000,0.018179915961809456,3.6359831923618913
broad,2026072601,random_10x15_d2,broad:2026072601:random_10x15_d2,5000,0.01846129191108048,3.692258382216096
broad,2026072601,random_10x15_d3,broad:2026072601:random_10x15_d3,5000,0.018863749923184514,3.772749984636903
broad,2026072601,random_10x15_d4,broad:2026072601:random_10x15_d4,5000,0.018883457989431918,3.7766915978863835
broad,2026072601,random_10x15_d5,broad:2026072601:random_10x15_d5,5000,0.01926341699436307,3.852683398872614
broad,2026072601,random_20x20_d0,broad:2026072601:random_20x20_d0,5000,0.04229870799463242,8.459741598926485
broad,2026072601,random_20x20_d1,broad:2026072601:random_20x20_d1,5000,0.04309725004713982,8.619450009427965
broad,2026072601,random_20x20_d2,broad:2026072601:random_20x20_d2,5000,0.04410362499766052,8.820724999532104
broad,2026072601,random_20x20_d3,broad:2026072601:random_20x20_d3,5000,0.04499574995134026,8.999149990268052
broad,2026072601,random_20x20_d4,broad:2026072601:random_20x20_d4,5000,0.04460183309856802,8.920366619713604
broad,2026072601,random_20x20_d5,broad:2026072601:random_20x20_d5,5000,0.04626512492541224,9.253024985082448
hard,2026072501,random_2x2_d5,hard:2026072501:random_2x2_d5,20000,0.010595291969366372,0.5297645984683186
hard,2026072501,random_2x5_d5,hard:2026072501:random_2x5_d5,20000,0.013880415936000645,0.6940207968000323
hard,2026072501,random_3x7_d5,hard:2026072501:random_3x7_d5,20000,0.018814457929693162,0.9407228964846581
hard,2026072501,random_4x6_d5,hard:2026072501:random_4x6_d5,20000,0.020905042067170143,1.0452521033585072
hard,2026072501,random_5x5_d5,hard:2026072501:random_5x5_d5,20000,0.021822666050866246,1.0911333025433123
hard,2026072501,random_5x10_d5,hard:2026072501:random_5x10_d5,20000,0.03293016704265028,1.6465083521325141
hard,2026072601,random_2x2_d5,hard:2026072601:random_2x2_d5,20000,0.01085316704120487,0.5426583520602435
hard,2026072601,random_2x5_d5,hard:2026072601:random_2x5_d5,20000,0.014214833034202456,0.7107416517101228
hard,2026072601,random_3x7_d5,hard:2026072601:random_3x7_d5,20000,0.01892137504182756,0.946068752091378
hard,2026072601,random_4x6_d5,hard:2026072601:random_4x6_d5,20000,0.02093279198743403,1.0466395993717015
