scenario_seed,scenario_id,rows,columns,repetitions,median_normal_ms,median_welch_ms,welch_over_normal
2026072501,random_2x2_d5,2,2,200,0.11662498582154512,0.12754200724884868,1.0936079121502174
2026072501,random_2x5_d5,2,5,200,0.11764554074034095,0.12891704682260752,1.0958090379910297
2026072501,random_3x7_d5,3,7,200,0.11714547872543335,0.12783351121470332,1.0912372599058704
2026072501,random_4x6_d5,4,6,200,0.1170000177808106,0.12787501327693462,1.0929486653283882
2026072501,random_5x5_d5,5,5,200,0.11758349137380719,0.1280625001527369,1.0891197280884959
2026072501,random_5x10_d5,5,10,200,0.11783349327743053,0.12841698480769992,1.089817345101968
2026072601,random_2x2_d5,2,2,200,0.11854199692606926,0.12974953278899193,1.094544854596236
2026072601,random_2x5_d5,2,5,200,0.11643744073808193,0.1275205286219716,1.0951849148661754
2026072601,random_3x7_d5,3,7,200,0.11670851381495595,0.1278329873457551,1.0953184405075818
2026072601,random_4x6_d5,4,6,200,0.1170000177808106,0.12787501327693462,1.0929486653283882
2026072601,random_5x5_d5,5,5,200,0.11754146544262767,0.12841698480769992,1.0925249598013616
2026072601,random_5x10_d5,5,10,200,0.11822895612567663,0.12920855078846216,1.0928672215553885
