configuration,k,average_n,total_n,margin_pattern,z_pattern,replicates,mean_informative_strata,mean_lyapunov_ratio,mean_max_variance_share,zero_variance_fraction,method_seconds,method_seconds_per_table,conditional_mc_seconds_per_table,runtime_speedup_vs_conditional_mc,conditional_mc_anchor_count,conditional_mc_samples,normal_anchor_p_mae,edgeworth_anchor_p_mae,chi2_nominal_anchor_p_mae,chi2_informative_anchor_p_mae,alpha,normal_fpr,normal_size_distortion,edgeworth_fpr,edgeworth_size_distortion,cornish_fisher_fpr,cornish_fisher_size_distortion,chi2_nominal_fpr,chi2_nominal_size_distortion,chi2_informative_fpr,chi2_informative_size_distortion,conditional_mc_fpr,conditional_mc_size_distortion
k50_n5_balanced_random_uniform,50,5,250,balanced,random_uniform,5000,32.694,0.3668969031121063,0.06823533021220278,0.0,0.6118362910347059,0.0001223672582069412,0.0020099104091059416,16.42523039706328,100,1000,0.01458274317440792,0.009698467077395035,0.2819613915475482,0.5255271502136172,0.01,0.0152,0.0052,0.0096,0.00040000000000000105,0.0094,0.0005999999999999998,0.09,0.08,0.737,0.727,0.02,0.01
k50_n5_both_skew_fixed_equal,50,5,250,both_skew,fixed_equal,5000,8.3926,0.715234373012589,0.21530951702074327,0.0002,0.1280701250070706,2.561402500141412e-05,0.0015106758289039136,58.978463120127,100,1000,0.050808276401444044,0.05429967683538741,0.4571204677610431,0.29728607440347254,0.1,0.1232,0.0232,0.1098,0.00979999999999999,0.1138,0.013799999999999993,0.0,0.1,0.3542,0.2542,0.11,0.009999999999999995
k50_n5_both_skew_fixed_equal,50,5,250,both_skew,fixed_equal,5000,8.3926,0.715234373012589,0.21530951702074327,0.0002,0.1280701250070706,2.561402500141412e-05,0.0015106758289039136,58.978463120127,100,1000,0.050808276401444044,0.05429967683538741,0.4571204677610431,0.29728607440347254,0.05,0.0702,0.020199999999999996,0.0512,0.0011999999999999997,0.0538,0.003799999999999998,0.0,0.05,0.2134,0.1634,0.03,0.020000000000000004
k50_n5_both_skew_fixed_equal,50,5,250,both_skew,fixed_equal,5000,8.3926,0.715234373012589,0.21530951702074327,0.0002,0.1280701250070706,2.561402500141412e-05,0.0015106758289039136,58.978463120127,100,1000,0.050808276401444044,0.05429967683538741,0.4571204677610431,0.29728607440347254,0.01,0.0216,0.011600000000000001,0.0082,0.0017999999999999995,0.0062,0.0038000000000000004,0.0,0.01,0.0454,0.0354,0.01,0.0
k50_n5_both_skew_random_uniform,50,5,250,both_skew,random_uniform,5000,8.1692,0.8045778470777222,0.21530252511449863,0.0,0.31036341609433293,6.207268321886658e-05,0.0014813866699114441,23.865355790857553,100,1000,0.03426619224746059,0.03406860322569363,0.5143970219757162,0.26070587340711293,0.1,0.1112,0.011199999999999988,0.0972,0.002800000000000011,0.1008,0.0007999999999999952,0.0,0.1,0.3426,0.2426,0.05,0.05
k50_n5_both_skew_random_uniform,50,5,250,both_skew,random_uniform,5000,8.1692,0.8045778470777222,0.21530252511449863,0.0,0.31036341609433293,6.207268321886658e-05,0.0014813866699114441,23.865355790857553,100,1000,0.03426619224746059,0.03406860322569363,0.5143970219757162,0.26070587340711293,0.05,0.066,0.016,0.0422,0.007800000000000001,0.0458,0.004200000000000002,0.0,0.05,0.2078,0.1578,0.03,0.020000000000000004
k50_n5_both_skew_random_uniform,50,5,250,both_skew,random_uniform,5000,8.1692,0.8045778470777222,0.21530252511449863,0.0,0.31036341609433293,6.207268321886658e-05,0.0014813866699114441,23.865355790857553,100,1000,0.03426619224746059,0.03406860322569363,0.5143970219757162,0.26070587340711293,0.01,0.0214,0.011399999999999999,0.011,0.0009999999999999992,0.0094,0.0005999999999999998,0.0,0.01,0.0498,0.039799999999999995,0.01,0.0
k50_n5_asymmetric_fixed_equal,50,5,250,asymmetric,fixed_equal,5000,19.1926,0.549974610825065,0.154122164572881,0.0,0.14197437500115484,2.839487500023097e-05,0.001679485000204295,59.14746940039827,100,1000,0.015827089559332014,0.01777719774612901,0.4292798761793145,0.42313560578413645,0.1,0.1108,0.01079999999999999,0.1012,0.0011999999999999927,0.1032,0.0031999999999999945,0.0002,0.0998,0.6354,0.5354,0.07,0.03
k50_n5_asymmetric_fixed_equal,50,5,250,asymmetric,fixed_equal,5000,19.1926,0.549974610825065,0.154122164572881,0.0,0.14197437500115484,2.839487500023097e-05,0.001679485000204295,59.14746940039827,100,1000,0.015827089559332014,0.01777719774612901,0.4292798761793145,0.42313560578413645,0.05,0.0616,0.0116,0.0496,0.0004000000000000045,0.0516,0.0015999999999999973,0.0,0.05,0.424,0.374,0.02,0.030000000000000002
k50_n5_asymmetric_fixed_equal,50,5,250,asymmetric,fixed_equal,5000,19.1926,0.549974610825065,0.154122164572881,0.0,0.14197437500115484,2.839487500023097e-05,0.001679485000204295,59.14746940039827,100,1000,0.015827089559332014,0.01777719774612901,0.4292798761793145,0.42313560578413645,0.01,0.0178,0.0078,0.0078,0.0022000000000000006,0.0068,0.0032000000000000006,0.0,0.01,0.1218,0.11180000000000001,0.0,0.01
