scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,stage,scenario_seed,scenario_key,probability_p_json,probability_q_json,family,margin_p,margin_q,target_mi_p,target_mi_q,regular,pattern_p,pattern_q,min_expected_p,min_expected_q,different_distributions_l1
random_2x2_d0,0.0,0.0,2,2,400,400,0.03,50.0,50.0,0.2506186966480493,0.2492876155070392,1.0,0.030000000000000138,0.029999999999999916,2.220446049250313e-16,0.05529016967073272,0.05821320795934803,0.05819051352220911,0.030040402119395626,0.05827548412013007,0.16638626217677482,0.1759471774962478,66.55450487070993,70.37887099849912,0.0,0.0,0.0,0.0,True,broad,2026072501,broad:2026072501:random_2x2_d0,"[[0.27271548309752597, 0.16638626217677482], [0.2106613817112232, 0.3502368730144759]]","[[0.29079965261341945, 0.1759471774962478], [0.20198939900276, 0.33126377088757286]]",,,,,,,,,,,
random_2x2_d1,0.0,1.0,2,2,200,400,0.07,20.0,5.0,0.3924492188246169,0.5502406598796055,1.0,0.07000000000000006,0.06999999999999967,3.885780586188048e-16,1.0966634964773627,0.13063401602674596,0.1494327039298704,0.00928233202442763,0.018946582276596714,0.1478106938930265,0.05808567498258847,29.562138778605302,23.23426999303539,0.0,0.0,0.0,0.0,False,broad,2026072501,broad:2026072501:random_2x2_d1,"[[0.1478106938930265, 0.4064663523721402], [0.28349872126841363, 0.1622242324664197]]","[[0.09827725498065593, 0.05808567498258847], [0.13308108933165463, 0.7105559807051011]]",,,,,,,,,,,
random_2x2_d2,0.0,2.0,2,2,120,480,0.15,5.0,1.2,0.6034176765386606,1.1622274507854284,2.0,0.14999999999999147,0.14999999999998714,4.3298697960381105e-15,1.571299871797553,0.25247065506725563,0.359636630280866,0.05233942367777217,0.11557617434816941,0.0910816736666828,0.019651381328841408,10.929800840001935,9.432663037843875,0.0,0.0,0.0,0.25,True,broad,2026072501,broad:2026072501:random_2x2_d2,"[[0.0910816736666828, 0.33877409714022055], [0.42776649172168996, 0.1423777374714068]]","[[0.8767316095654594, 0.031007722922778442], [0.019651381328841408, 0.07260928618292081]]",,,,,,,,,,,
random_2x2_d3,0.0,3.0,2,2,800,800,0.03,1.0,0.5,0.3258778807073018,0.5927137774818058,1.0,0.030000000000000138,0.029999999999994226,5.9119376061289586e-15,1.638797621511276,0.05755461346651035,0.0826922428051992,0.03369405381858959,0.06496491449428876,0.055803465781333765,0.027809208266091408,44.64277262506701,22.247366612873126,0.0,0.0,0.0,0.25,False,broad,2026072501,broad:2026072501:random_2x2_d3,"[[0.5003206065870733, 0.31465026973307536], [0.055803465781333765, 0.1292256578985176]]","[[0.057350895038894845, 0.027809208266091408], [0.8752022765369718, 0.039637620158041946]]",,,,,,,,,,,
random_2x2_d4,0.0,4.0,2,2,120,240,0.07,10.0,0.8,0.4102416736861064,0.4248877258689105,2.0,0.0700000000000005,0.06999999999997397,2.653433028854124e-14,0.677975249245981,0.12646637538484873,0.12683494355663738,0.008155574098692053,0.0161516295502784,0.0860143961024708,0.07641544057117552,10.321727532296496,18.339705737082127,0.0,0.0,0.0,0.0,False,broad,2026072501,broad:2026072501:random_2x2_d4,"[[0.35456139327241537, 0.0860143961024708], [0.24843183973630883, 0.310992370888805]]","[[0.07641544057117552, 0.4250020207254612], [0.24725233128540497, 0.2513302074179583]]",,,,,,,,,,,
random_2x2_d5,0.0,5.0,2,2,120,480,0.15,2.0,20.0,0.6701449709713284,0.650901115069317,1.0,0.15000000000007163,0.15000000000003755,3.4083846855992306e-14,0.9522695532684252,0.230907870389228,0.23649161861282175,0.05114702770218038,0.09571474818382675,0.04111301307368648,0.04854954417723927,4.933561568842377,23.303781205074852,0.0,0.0,0.0,0.0,False,broad,2026072501,broad:2026072501:random_2x2_d5,"[[0.04111301307368648, 0.37142992669138286], [0.3628371397655114, 0.22461992046941928]]","[[0.38101990555269033, 0.20958274564544227], [0.04854954417723927, 0.360847804624628]]",,,,,,,,,,,
random_2x5_d0,1.0,0.0,2,5,1000,1000,0.03,50.0,50.0,0.2681282239423453,0.2584474028358949,1.0,0.03000000000000025,0.030000000000000027,2.220446049250313e-16,0.33635805910799943,0.05681067280592694,0.05543257639398968,0.016950984175815753,0.033158516437581165,0.040162642403579356,0.04644955972303864,40.162642403579355,46.44955972303864,0.0,0.0,0.0,0.0,False,broad,2026072501,broad:2026072501:random_2x5_d0,"[[0.076793765255158, 0.11544674400525592, 0.1317646908456489, 0.11580150768387754, 0.09044435682315621], [0.09883103197684741, 0.10639205690699739, 0.08322205901913934, 0.040162642403579356, 0.14114114508033987]]","[[0.08447391918421186, 0.04644955972303864, 0.08510840270284938, 0.1269253035697164, 0.08363683343487022], [0.07672524687897192, 0.16453760987816227, 0.1102640685980025, 0.10435015959265834, 0.11752889643751843]]",,,,,,,,,,,
random_2x5_d1,1.0,1.0,2,5,500,1000,0.07,20.0,5.0,0.43523826023831086,0.555239503305204,1.0,0.06999999999998985,0.06999999999998363,6.217248937900877e-15,0.7012100313026225,0.12706946945974942,0.12230214920659685,0.04492647723997534,0.08505264413889102,0.014799835610635172,0.004001738797317231,7.399917805317586,4.0017387973172305,0.0,0.0,0.0,0.0,True,broad,2026072501,broad:2026072501:random_2x5_d1,"[[0.09687360237151889, 0.10972943773027419, 0.14822261500010606, 0.08446153098724522, 0.17271319684004308], [0.014799835610635172, 0.11599057754986189, 0.04783641529320978, 0.14588565452747532, 0.0634871340896304]]","[[0.03144906271137988, 0.004001738797317231, 0.0836420078108851, 0.035824083863829195, 0.12802304224138478], [0.08752262310942445, 0.09444600940294196, 0.2285793539257609, 0.20504916327444672, 0.10146291486262987]]",,,,,,,,,,,
random_2x2_d5,0.0,5.0,2,2,120,480,0.15,2.0,20.0,0.6701449709713284,0.650901115069317,1.0,0.15000000000007163,0.15000000000003755,3.4083846855992306e-14,0.9522695532684252,0.230907870389228,0.23649161861282175,0.05114702770218038,0.09571474818382675,0.04111301307368648,0.04854954417723927,4.933561568842377,23.303781205074852,0.0,0.0,0.0,0.0,False,hard,2026072501,hard:2026072501:random_2x2_d5,"[[0.04111301307368648, 0.37142992669138286], [0.3628371397655114, 0.22461992046941928]]","[[0.38101990555269033, 0.20958274564544227], [0.04854954417723927, 0.360847804624628]]",,,,,,,,,,,
random_2x5_d5,1.0,5.0,2,5,120,480,0.15,2.0,20.0,0.7648329278824229,0.6272003426477855,2.0,0.1499999999999997,0.15000000000000058,-8.881784197001252e-16,1.0413567231324516,0.20149889049695047,0.24140989016700568,0.07913594124143009,0.1422852997924664,0.0020648624373573515,0.01740554946862388,0.24778349248288217,8.354663744939462,0.0,0.0,0.3,0.0,False,hard,2026072501,hard:2026072501:random_2x5_d5,"[[0.056468947954438624, 0.18323007528920604, 0.005866444793200955, 0.0020648624373573515, 0.021701436107842902], [0.15151915595107804, 0.1379155711817927, 0.3082383647325242, 0.048417337645543394, 0.08457780390701591]]","[[0.10873717206527628, 0.1491309222183808, 0.1302388344398647, 0.07230197933927984, 0.06633672039243094], [0.06541823129948958, 0.02827010260188079, 0.01740554946862388, 0.20403525635102648, 0.15812523182374671]]",,,,,,,,,,,
