regime,regime_label,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,mean_absolute_fpr_error_10,mean_fpr_05,mean_absolute_fpr_error_05,mean_fpr_01,mean_absolute_fpr_error_01
well_sampled,Well sampled,analytic_normal,Analytic correction + Normal Wald,12,1.0,0.10271666666666666,0.003916666666666662,0.051741666666666665,0.0031749999999999977,0.010799999999999999,0.001483333333333333
well_sampled,Well sampled,analytic_simple,Analytic correction + Simple Welch,12,1.0,0.10216666666666667,0.0034999999999999983,0.051116666666666664,0.002866666666666668,0.010358333333333332,0.0014083333333333333
well_sampled,Well sampled,analytic_expanded,Analytic correction + Expanded Welch,12,1.0,0.09989166666666667,0.004008333333333336,0.04913333333333333,0.003316666666666667,0.009308333333333333,0.0015916666666666666
well_sampled,Well sampled,jackknife_normal,Jackknife correction + Normal Wald,12,1.0,0.102175,0.00360833333333333,0.051175000000000005,0.0029583333333333323,0.010691666666666667,0.0016250000000000004
well_sampled,Well sampled,jackknife_simple,Jackknife correction + Simple Welch,12,1.0,0.10148333333333333,0.003283333333333334,0.05068333333333334,0.00285,0.010299999999999998,0.0016499999999999998
well_sampled,Well sampled,jackknife_expanded,Jackknife correction + Expanded Welch,12,1.0,0.09929999999999999,0.004133333333333335,0.048675,0.003675000000000001,0.0094,0.001766666666666667
moderate,Moderate,analytic_normal,Analytic correction + Normal Wald,12,1.0,0.11351666666666667,0.013516666666666663,0.06158333333333332,0.01158333333333333,0.015400000000000002,0.005399999999999999
moderate,Moderate,analytic_simple,Analytic correction + Simple Welch,12,1.0,0.112075,0.01220833333333333,0.06024999999999999,0.010249999999999997,0.014558333333333333,0.004641666666666666
moderate,Moderate,analytic_expanded,Analytic correction + Expanded Welch,12,1.0,0.10764166666666665,0.009474999999999996,0.05623333333333334,0.007199999999999997,0.012075,0.0024749999999999998
moderate,Moderate,jackknife_normal,Jackknife correction + Normal Wald,12,1.0,0.119775,0.01977499999999999,0.06575833333333335,0.015758333333333333,0.017641666666666663,0.0076416666666666655
moderate,Moderate,jackknife_simple,Jackknife correction + Simple Welch,12,1.0,0.11835833333333334,0.018474999999999995,0.06435833333333334,0.014358333333333329,0.016783333333333334,0.006866666666666668
moderate,Moderate,jackknife_expanded,Jackknife correction + Expanded Welch,12,1.0,0.113875,0.015374999999999993,0.06010833333333334,0.01100833333333333,0.014024999999999998,0.004391666666666666
highly_sparse,Highly skewed and sparse,analytic_normal,Analytic correction + Normal Wald,12,0.9999916666666667,0.10735089175584227,0.008567558422508914,0.05546711504483782,0.006450448378171147,0.012708434176751009,0.0028751008434176745
highly_sparse,Highly skewed and sparse,analytic_simple,Analytic correction + Simple Welch,12,0.9999916666666667,0.10617584841817516,0.00745918175150848,0.05445040754075408,0.005632925792579256,0.012108418341834183,0.0022750850085008502
highly_sparse,Highly skewed and sparse,analytic_expanded,Analytic correction + Expanded Welch,12,0.9999916666666667,0.10318408007467415,0.006599253258659197,0.05197535170183686,0.004557981631496481,0.010941739173917393,0.0013915941594159417
