scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,absolute_fpr_error_10,fpr_05,absolute_fpr_error_05,fpr_01,absolute_fpr_error_01
fixed_2x2_d3,moderate,Moderate,variant_2,2,2,100,200,0.15,0.942122134448951,2.0,2198623536,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1148,0.014799999999999994,0.0648,0.014799999999999994,0.0164,0.006400000000000001
stress_2x2_d4,highly_sparse,Highly skewed and sparse,variant_1,2,2,52,52,0.1,4.071566736129853,1.0,2768931447,10000,analytic_normal,Analytic correction + Normal Wald,9999,0.9999,0.10701070107010702,0.007010701070107012,0.0538053805380538,0.0038053805380538,0.0121012101210121,0.0021012101210121006
stress_2x2_d4,highly_sparse,Highly skewed and sparse,variant_1,2,2,52,52,0.1,4.071566736129853,1.0,2768931447,10000,analytic_simple,Analytic correction + Simple Welch,9999,0.9999,0.10181018101810181,0.0018101810181018058,0.048904890489048905,0.0010951095109510978,0.0102010201020102,0.0002010201020102003
stress_2x2_d4,highly_sparse,Highly skewed and sparse,variant_1,2,2,52,52,0.1,4.071566736129853,1.0,2768931447,10000,analytic_expanded,Analytic correction + Expanded Welch,9999,0.9999,0.0896089608960896,0.010391039103910399,0.04220422042204221,0.007795779577957795,0.0087008700870087,0.0012991299129913002
stress_2x2_d4,highly_sparse,Highly skewed and sparse,variant_1,2,2,52,52,0.1,4.071566736129853,1.0,2768931447,10000,jackknife_normal,Jackknife correction + Normal Wald,9999,0.9999,0.1042104210421042,0.004210421042104201,0.05130513051305131,0.0013051305130513044,0.0121012101210121,0.0021012101210121006
stress_2x2_d4,highly_sparse,Highly skewed and sparse,variant_1,2,2,52,52,0.1,4.071566736129853,1.0,2768931447,10000,jackknife_simple,Jackknife correction + Simple Welch,9999,0.9999,0.09900990099009901,0.000990099009900991,0.046704670467046704,0.003295329532953299,0.010301030103010301,0.0003010301030103007
stress_2x2_d4,highly_sparse,Highly skewed and sparse,variant_1,2,2,52,52,0.1,4.071566736129853,1.0,2768931447,10000,jackknife_expanded,Jackknife correction + Expanded Welch,9999,0.9999,0.08680868086808681,0.013191319131913196,0.04030403040304031,0.009695969596959696,0.008600860086008601,0.0013991399139913988
stress_2x2_d5,highly_sparse,Highly skewed and sparse,variant_2,2,2,54,108,0.15,4.20095477751052,2.0,880372142,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1163,0.016299999999999995,0.0665,0.0165,0.0188,0.0088
stress_2x2_d5,highly_sparse,Highly skewed and sparse,variant_2,2,2,54,108,0.15,4.20095477751052,2.0,880372142,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1128,0.012799999999999992,0.0638,0.013799999999999993,0.017,0.007000000000000001
stress_2x2_d5,highly_sparse,Highly skewed and sparse,variant_2,2,2,54,108,0.15,4.20095477751052,2.0,880372142,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1062,0.006199999999999997,0.0566,0.006599999999999995,0.0121,0.0020999999999999994
stress_2x2_d5,highly_sparse,Highly skewed and sparse,variant_2,2,2,54,108,0.15,4.20095477751052,2.0,880372142,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1133,0.013299999999999992,0.0658,0.015799999999999995,0.0182,0.0082
stress_2x2_d5,highly_sparse,Highly skewed and sparse,variant_2,2,2,54,108,0.15,4.20095477751052,2.0,880372142,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1109,0.010899999999999993,0.063,0.012999999999999998,0.0169,0.006899999999999998
