label,name,replicate,r,c,n,skewness,g_statistic,empirical_k1000_p,jidt_k1000_p,chi2_dynamic_p,gamma_k1000_p,empirical_k100000_p,gamma_k100000_p,jidt_k10000_p,empirical_k100000_time_s,jidt_k10000_time_s,speedup_vs_jidt_highk,jidt_g_abs_diff,empirical_error
large_N_strong_low_tail,100x50_N100000_strong,33,100,50,100000,strong,3582.5736553111674,0.0019980019980019,0.003,1.0,0.0025616096123121,0.0024099759002409976,0.0018746349106614933,0.0022,20.35286758397706,9.656965999980457,0.4744769237128518,7.73070496506989e-12,
near_alpha_05_strong,50x20_N10000_strong,12,50,20,10000,strong,509.3258885796161,0.0419580419580419,0.049,1.0,0.0430962890651178,0.04531954680453196,0.04451925261035186,0.0427,3.7610870840144344,0.8672919999808073,0.2305960964496186,3.694822225952521e-12,
near_alpha_05_zipf_mild,80x80_N10000_zipf_mild,25,80,80,10000,zipf_mild,4860.011107036807,0.0469530469530469,0.045,1.0,0.0473878499148625,0.045909540904590956,0.04567081770363377,0.0461,13.079061208001804,1.0431827919674106,0.0797597606875017,2.7284841053187847e-12,
large_N_extreme_tail,100x50_N100000_extreme,22,100,50,100000,extreme,488.300017958412,0.0229770229770229,0.018,1.0,0.0285207234262404,0.02183978160218398,0.02353331719390612,0.0181,13.574112541042268,7.979439041984733,0.5878424109022484,4.2803094402188435e-11,
balanced_small_expected_counts,20x20_N1000_balanced,12,20,20,1000,balanced,458.7660526561526,0.0319680319680319,0.045,0.0003649591353564,0.0382140569874987,0.043499565004349955,0.04396492858548632,0.0417,0.9752891670214012,0.12572862498927861,0.12891420231115897,5.684341886080801e-13,
