label,name,replicate,r,c,n,skewness,g_statistic,empirical_k1000_p,jidt_k1000_p,chi2_dynamic_p,gamma_k1000_p,empirical_k100000_p,gamma_k100000_p,jidt_k10000_p,empirical_k100000_time_s,jidt_k10000_time_s,speedup_vs_jidt_highk,jidt_g_abs_diff,empirical_error,empirical_seconds_per_sample,jidt_seconds_per_shuffle,per_null_draw_speedup_empirical_vs_jidt,abs_empirical_highk_vs_jidt_highk,abs_chi2_vs_jidt_highk
large_N_strong_low_tail,100x50_N100000_strong,33,100,50,100000,strong,3582.5736553111674,0.0019980019980019,0.003,1.0,0.0025616096123121,0.0024099759002409,0.0018746349106614,0.0022,20.35286758397706,9.656965999980455,0.4744769237128518,7.73070496506989e-12,,0.0002035286758397706,0.0009656965999980455,4.7447692371285175,0.0002099759002408999,0.9978
near_alpha_05_strong,50x20_N10000_strong,12,50,20,10000,strong,509.3258885796161,0.0419580419580419,0.049,1.0,0.0430962890651178,0.0453195468045319,0.0445192526103518,0.0427,3.7610870840144344,0.8672919999808073,0.2305960964496186,3.694822225952521e-12,,3.761087084014434e-05,8.672919999808073e-05,2.3059609644961863,0.0026195468045319,0.9573
near_alpha_05_zipf_mild,80x80_N10000_zipf_mild,25,80,80,10000,zipf_mild,4860.011107036807,0.0469530469530469,0.045,1.0,0.0473878499148625,0.0459095409045909,0.0456708177036337,0.0461,13.079061208001804,1.0431827919674106,0.0797597606875017,2.7284841053187847e-12,,0.00013079061208001803,0.00010431827919674106,0.7975976068750169,0.00019045909540910122,0.9539
large_N_extreme_tail,100x50_N100000_extreme,22,100,50,100000,extreme,488.300017958412,0.0229770229770229,0.018,1.0,0.0285207234262404,0.0218397816021839,0.0235333171939061,0.0181,13.574112541042268,7.979439041984733,0.5878424109022484,4.280309440218843e-11,,0.00013574112541042267,0.0007979439041984733,5.878424109022485,0.0037397816021838975,0.9819
balanced_small_expected_counts,20x20_N1000_balanced,12,20,20,1000,balanced,458.7660526561526,0.0319680319680319,0.045,0.0003649591353564,0.0382140569874987,0.0434995650043499,0.0439649285854863,0.0417,0.9752891670214012,0.1257286249892786,0.1289142023111589,5.684341886080801e-13,,9.752891670214013e-06,1.2572862498927858e-05,1.289142023111589,0.0017995650043498984,0.0413350408646436
