cohort,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
development,normal,Always Normal Wald,1404,0.9993031813865146,0.0,1.6276074166472603,0.0850955813992858,0.03818199323097541,0.006333333333333337,0.08056666666666666,0.9279999999999999,0.0338470534337312,0.02491574968675012,0.002666666666666667,0.045366666666666715,0.896
development,expanded_no_fallback,Always Expanded Welch,1404,0.9882611585944919,1.0,1.0101154689662977,0.06933320339792,0.02696348049777604,0.005333333333333336,0.036457330493432735,0.9263333333333333,0.022375792246060094,0.014809613279770751,0.002,0.011333333333333332,0.89
development,expanded_fallback,Expanded with Wald fallback,1404,0.9993031813865146,0.9885829766992292,1.2863252123495963,0.07596209308571604,0.0317691110094673,0.005333333333333336,0.04523333333333335,0.9263333333333333,0.02727785596777254,0.01937268204509847,0.002,0.018900000000000017,0.89
development,ratio_ge_2,Expanded if ratio >= 2,1404,0.9993031813865146,0.9128911431453621,1.2852155476429872,0.07620282175031544,0.031674798634236764,0.005333333333333336,0.04523333333333335,0.9263333333333333,0.02736475753709603,0.019369351226012396,0.002,0.018900000000000017,0.89
development,ratio_ge_3,Expanded if ratio >= 3,1404,0.9993031813865146,0.7609297433160532,1.3013972164829686,0.07694235944125213,0.031990309734480186,0.005333333333333336,0.052033333333333376,0.9263333333333333,0.02777106267295428,0.019629882382763333,0.002,0.02056666666666668,0.89
development,ratio_ge_4,Expanded if ratio >= 4,1404,0.9993031813865146,0.6088206918997507,1.3363225863071324,0.07798502481640204,0.03268587159585991,0.005333333333333336,0.054733333333333425,0.9263333333333333,0.028459612492983073,0.020189277406970664,0.002,0.023466666666666695,0.89
development,ratio_ge_6,Expanded if ratio >= 6,1404,0.9993031813865146,0.4566528226616994,1.385379820497915,0.07925561232359278,0.03366870981530136,0.005666666666666667,0.05990000000000001,0.9263333333333333,0.02935292647498072,0.02097385444689803,0.002333333333333333,0.029233333333333344,0.89
development,ratio_ge_10,Expanded if ratio >= 10,1404,0.9993031813865146,0.30443376068376066,1.4519402751467851,0.08086267541637983,0.034960008425657274,0.005999999999999998,0.06533333333333333,0.9263333333333333,0.03054363463031239,0.022046803817804245,0.002333333333333334,0.03290000000000001,0.89
development,ratio_ge_4_margin_ge_1,Ratio >= 4 and minimum margin >= 1,1404,0.9993031813865146,0.5104828476452399,1.4901141342653468,0.08118611693416082,0.03519703019035184,0.005333333333333336,0.07396666666666676,0.9279999999999999,0.03125733329070387,0.022762876647236568,0.002,0.03833333333333333,0.896
development,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,1404,0.9993031813865146,0.4700024418392537,1.5317138527495322,0.0822209914437439,0.03614026177495865,0.005592530657748052,0.07860000000000006,0.9279999999999999,0.03192204886483375,0.023406224699998913,0.002333333333333333,0.041999999999999996,0.896
