k,shape,nu0,N,lam_min,lam_tp,mu,sigma2,nu,a,H,H_norm,perp,perp_n,simpson,simpson_n,k_min_p,log_k_min_p
3,uniform,4,10,1.1111111111111112,0.12345679012345678,5.086160003618911,7.5608746480880455,6.842865352609527,0.7432792757904119,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
3,uniform,4,13,1.4444444444444444,0.16049382716049382,5.240813825982732,8.505205859923613,6.458663084930537,0.811439419747825,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
3,uniform,4,16,1.7777777777777777,0.19753086419753085,5.216432170625067,10.31759526743339,5.274710605604365,0.9889513493086471,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
3,uniform,4,19,2.111111111111111,0.2345679012345679,5.119611906080266,10.411589331939858,5.0348559155080235,1.016833846289659,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
3,uniform,4,24,2.6666666666666665,0.2962962962962963,4.851816479890426,11.050736871099264,4.260371670978841,1.1388246976057135,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
3,uniform,4,30,3.333333333333333,0.37037037037037035,4.657376408567138,10.538771067829627,4.116448658286463,1.1314064124647298,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
3,uniform,4,37,4.111111111111111,0.4567901234567901,4.39423410480099,9.95562379073811,3.879072526979159,1.1328053482472562,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
3,uniform,4,45,5.0,0.5555555555555556,4.280768942706892,8.730651889340765,4.197849822237631,1.019752760098755,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
3,uniform,4,82,9.11111111111111,1.0123456790123457,4.209627745529465,9.070015187471915,3.907593403020718,1.0772942093400155,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
3,uniform,4,149,16.555555555555554,1.8395061728395061,4.027625790407465,8.327939688625175,3.8957461542888145,1.0338522149276754,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
3,uniform,4,270,30.0,3.3333333333333335,4.063439418108737,8.166056446465978,4.043944592566603,1.004820744967171,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
3,one_rare_0.8,4,11,0.7822222222222223,0.12983386678859932,5.143589647483433,7.955657626666749,6.650993721252798,0.7733565634030659,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,13,0.9244444444444444,0.15344002438652646,5.115492206104259,8.43771437865551,6.202689338930466,0.8247216532347446,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,16,1.1377777777777778,0.18884926078341718,5.117639584114157,9.466410081468942,5.533298195936188,0.9248804967483403,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,20,1.4222222222222223,0.23606157597927147,4.956425928124827,10.40843081249647,4.720434506130101,1.0499935803977916,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,25,1.7777777777777777,0.29507696997408933,4.776350963187796,10.199260662973675,4.473565148965126,1.067683336252008,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,30,2.1333333333333333,0.3540923639689072,4.627909617203309,10.659624666692583,4.018443068061272,1.1516673345421014,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,38,2.7022222222222223,0.4485169943606158,4.450195627302845,10.454920234452546,3.7885016197452375,1.1746584993151208,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,46,3.2711111111111113,0.5429416247523243,4.436081966420547,9.865683973867508,3.989347979304301,1.111981704637897,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,57,4.053333333333334,0.6727754915409236,4.2783374966488275,9.18470767127455,3.985792992079259,1.073396813419795,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,70,4.977777777777778,0.8262155159274501,4.20823480532309,9.116235571841447,3.8852089850406233,1.0831424568218149,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,128,9.102222222222222,1.5107940862673375,4.078938481214195,8.49504531073971,3.917045412929345,1.041330403714615,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,232,16.497777777777777,2.738314281359549,4.116621962638318,7.912132918385391,4.283693552189313,0.9609982395996538,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.8,4,422,30.00888888888889,4.980899253162628,4.003845407547695,7.938067826707044,4.03896222544393,0.9913054849399157,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
3,one_rare_0.5,4,11,0.3055555555555555,0.09430727023319617,4.465592548758982,7.646502156718811,5.215853315102927,0.8561576177436772,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,18,0.5,0.154320987654321,4.816163014534649,8.618987773870836,5.382401458530965,0.8947981772896476,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,22,0.611111111111111,0.18861454046639234,4.728873235698305,8.748362714749726,5.112326227992595,0.9249944203101343,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,27,0.75,0.2314814814814815,4.630776643348614,8.296669057187946,5.16932570716549,0.8958183147426051,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,34,0.9444444444444444,0.29149519890260633,4.634860646221483,9.071369068633048,4.7362053174912235,0.9786021372647286,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,42,1.1666666666666665,0.360082304526749,4.622406967070675,9.571564452265228,4.46460895202285,1.0353441962652359,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,51,1.4166666666666665,0.4372427983539095,4.428082180636914,9.41924867718185,4.1633706616058195,1.0635810598062376,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,63,1.75,0.5401234567901235,4.39740255690911,9.48004491190945,4.079548024760557,1.0779141537786432,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,78,2.1666666666666665,0.6687242798353911,4.37803735597574,9.697934004817164,3.95284419976426,1.1075663837792642,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,96,2.6666666666666665,0.8230452674897121,4.185797842720896,8.707604925642999,4.024276188399327,1.0401368213213553,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,118,3.2777777777777777,1.0116598079561043,4.232981870344912,9.283018321128962,3.8604115374598513,1.0965105220699376,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,146,4.055555555555555,1.2517146776406036,4.118949318495353,8.553646398946874,3.966903165513636,1.0383286777210832,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,180,5.0,1.54320987654321,4.126051499598194,8.827853569425141,3.8569513740688635,1.0697701628645233,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,327,9.083333333333332,2.803497942386832,4.082784627746256,8.361445623126889,3.9871407572049633,1.023988084786939,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,594,16.5,5.0925925925925934,4.069598589047168,8.642875154393721,3.8324359383012436,1.0618830045861245,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.5,4,1080,30.0,9.25925925925926,4.010093044180471,8.13555036776594,3.9532288526413417,1.0143842397338407,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
3,one_rare_0.2,4,22,0.09777777777777778,0.05914951989026063,3.6451627319314275,6.402652987359747,4.150533027010423,0.8782396642093444,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
3,one_rare_0.2,4,38,0.1688888888888889,0.10216735253772291,4.1280260383017096,7.480319002248323,4.556115579502719,0.9060406757179472,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
3,one_rare_0.2,4,66,0.29333333333333333,0.17744855967078188,4.24079180473621,7.832160354405881,4.5924277127449145,0.9234313678944049,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
3,one_rare_0.2,4,112,0.49777777777777776,0.30112482853223593,4.325028998905744,8.619078163958381,4.340574591746086,0.9964185403310654,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
3,one_rare_0.2,4,139,0.6177777777777778,0.37371742112482853,4.280638106235948,8.07281638113803,4.539645578802612,0.9429454418697194,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
3,one_rare_0.2,4,171,0.76,0.45975308641975304,4.213448596254776,7.617983450817364,4.660852622717771,0.9040081155361418,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
3,one_rare_0.2,4,211,0.9377777777777778,0.5672976680384088,4.259517274601779,8.282509234321518,4.381157183006085,0.9722356666690414,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
3,one_rare_0.2,4,260,1.1555555555555554,0.6990397805212619,4.187674356159471,7.952690480654921,4.410234889914002,0.9495354466802854,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
3,one_rare_0.2,4,320,1.4222222222222223,0.8603566529492455,4.186512680771909,8.116467808787087,4.318846286136675,0.9693590379010358,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
3,one_rare_0.2,4,395,1.7555555555555555,1.062002743484225,4.161487019179622,8.088826910056236,4.2819495097046385,0.9718673725012404,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
3,one_rare_0.2,4,487,2.1644444444444444,1.309355281207133,4.182332007688069,8.534821772587307,4.098949336871622,1.0203424497264184,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
