configuration_id,rows,columns,condition,condition_label,n_p,n_q,method,method_label,population_pairs,mean_valid_rate,mean_delta_error,mean_empirical_delta_sd,mean_standard_error,mean_absolute_edgeworth_adjustment,mean_fpr_10,mean_absolute_fpr_error_10,population_sd_fpr_10,mean_fpr_05,mean_absolute_fpr_error_05,population_sd_fpr_05,mean_fpr_01,mean_absolute_fpr_error_01,population_sd_fpr_01
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,normal_wald,Normal Wald,10,1.0,-6.156239590531239e-05,0.06090370330443738,0.06000993455338912,0.040214493624962946,0.09775999999999999,0.004600000000000005,0.005593488277551954,0.04872,0.004000000000000002,0.004793699568762686,0.00814,0.00194,0.0015749426797329622
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,simple_welch,Simple Welch,10,1.0,-6.156239590531239e-05,0.06090370330443738,0.06000993455338912,0.040214493624962946,0.09566,0.006060000000000003,0.0058157258073835184,0.047259999999999996,0.004220000000000002,0.004539260830673744,0.007340000000000001,0.0026600000000000005,0.0015889898957793557
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,expanded_welch,Expanded Welch,10,1.0,-6.156239590531239e-05,0.06090370330443738,0.06000993455338912,0.040214493624962946,0.0885,0.011500000000000007,0.006065750846625116,0.041479999999999996,0.008520000000000003,0.0041011651460963585,0.0058200000000000005,0.00418,0.0013513778976371568
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,edgeworth_normal,Joint Edgeworth,10,0.9850399999999999,-6.156239590531239e-05,0.06090370330443738,0.06000993455338912,0.040214493624962946,0.11061658140580047,0.01061658140580045,0.00596257704499242,0.0605075892193199,0.010507589219319902,0.0035841495513295714,0.015269557947397153,0.0052695579473971505,0.0023419317486193694
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,joint_influence_welch,Joint-Influence Welch,10,0.99278,-6.156239590531239e-05,0.06090370330443738,0.06000993455338912,0.040214493624962946,0.10592673902391103,0.005979126692659775,0.005316026522808738,0.05973235677202092,0.00973235677202093,0.0044618332885713345,0.014868484448773155,0.004868484448773156,0.0019524815593567342
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,normal_wald,Normal Wald,10,1.0,0.000493106981627822,0.09126105032584114,0.08714328585214806,0.07236061722820201,0.09997999999999999,0.001900000000000003,0.002733252031311174,0.04886,0.0026600000000000013,0.0029605555034298695,0.0102,0.0007999999999999998,0.0009706813185707357
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,simple_welch,Simple Welch,10,1.0,0.000493106981627822,0.09126105032584114,0.08714328585214806,0.07236061722820201,0.09514000000000002,0.004900000000000003,0.0029620563427757043,0.04464,0.005360000000000003,0.002595380511601333,0.008459999999999999,0.0015400000000000004,0.0010751744044572489
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,expanded_welch,Expanded Welch,10,1.0,0.000493106981627822,0.09126105032584114,0.08714328585214806,0.07236061722820201,0.08347999999999998,0.016520000000000007,0.003457937728377034,0.039279999999999995,0.010720000000000002,0.002203431666993808,0.0077399999999999995,0.0022600000000000007,0.0011587349423689036
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,edgeworth_normal,Joint Edgeworth,10,0.96608,0.000493106981627822,0.09126105032584114,0.08714328585214806,0.07236061722820201,0.11914287905358109,0.019142879053581092,0.003985452105018917,0.06620274793383299,0.01620274793383298,0.0037754475726931567,0.017222264465794137,0.007222264465794137,0.0016266283204593932
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,joint_influence_welch,Joint-Influence Welch,10,0.9821199999999999,0.000493106981627822,0.09126105032584114,0.08714328585214806,0.07236061722820201,0.11304127811164552,0.013041278111645507,0.003749118286088891,0.06225165960985107,0.01225165960985108,0.0027301020477659517,0.015455236545669774,0.005455236545669774,0.0011714369802140598
