condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
balanced_control,Balanced control,normal_wald,Normal Wald,0.085,0.08264499999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.08600000000000001,0.08361
balanced_control,Balanced control,normal_wald,Normal Wald,0.08700000000000001,0.08460500000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.088,0.08549499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.089,0.08654999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.09,0.08759
balanced_control,Balanced control,normal_wald,Normal Wald,0.091,0.08850500000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.092,0.08936999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.093,0.09032499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.094,0.09119999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.095,0.09212999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.096,0.09311500000000004
balanced_control,Balanced control,normal_wald,Normal Wald,0.097,0.09408000000000004
balanced_control,Balanced control,normal_wald,Normal Wald,0.098,0.09504499999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.099,0.09606999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.1,0.09719500000000002
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.0,0.0
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.001,0.0012050000000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.002,0.0020650000000000004
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.003,0.0029850000000000002
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.004,0.0037749999999999997
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.005,0.004649999999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.006,0.00548
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.007,0.006339999999999998
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.008,0.007194999999999998
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.009000000000000001,0.00812
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.01,0.009059999999999997
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.011,0.009954999999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.012,0.010929999999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.013000000000000001,0.012034999999999995
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.014,0.012860000000000002
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.015,0.013565000000000002
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.016,0.014505
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.017,0.015460000000000002
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.018000000000000002,0.016444999999999994
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.019,0.017319999999999995
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.02,0.018194999999999996
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.021,0.01903
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.022,0.019925000000000005
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.023,0.020749999999999998
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.024,0.02163
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.025,0.022579999999999996
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.026000000000000002,0.023449999999999995
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.027,0.024579999999999998
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.028,0.025474999999999998
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.029,0.026585000000000004
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.03,0.027379999999999998
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.031,0.028410000000000008
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.032,0.029220000000000006
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.033,0.030099999999999995
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.034,0.03102
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.035,0.031955
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.036000000000000004,0.032895
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.037,0.03375000000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.038,0.03462
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.039,0.035664999999999995
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.04,0.036669999999999994
