method,method_label,configurations,mean_valid_rate,mean_fpr_10,configuration_mae_10,configurations_closer_than_normal_10,mean_fpr_05,configuration_mae_05,configurations_closer_than_normal_05,mean_fpr_01,configuration_mae_01,configurations_closer_than_normal_01
normal_wald,Normal Wald,16,0.99999125,0.13513113704103363,0.04210113704103366,0,0.0814893428996924,0.036221842899692394,0,0.032397637785160076,0.02384763778516007,0
simple_welch,Simple Welch,16,0.99999125,0.13266858727817993,0.040983587278179925,8,0.07917428788578845,0.034969287885788444,8,0.030817611028208042,0.022775111028208044,8
expanded_welch,Expanded Welch,16,0.99633375,0.11785869753444975,0.031611197534449756,8,0.06550047482993765,0.02535545863261783,7,0.02093567152306042,0.014218171523060421,7
edgeworth_normal,Joint Edgeworth,16,0.9797625000000001,0.1202666119948562,0.029398577696791304,10,0.06724706506168476,0.022494223535344967,10,0.019324509706550808,0.010461881072928648,8
joint_influence_welch,Joint-Influence Welch,16,0.9886575,0.11450525225486771,0.026547802200628433,9,0.06309243907069594,0.01870321430781076,9,0.018845788860916014,0.01041420769505689,7
