condition,condition_label,method,method_label,population_pairs,mean_valid_rate,mean_delta_error,mean_empirical_delta_sd,mean_standard_error,mean_absolute_edgeworth_adjustment,mean_fpr_10,mean_absolute_fpr_error_10,population_sd_fpr_10,mean_fpr_05,mean_absolute_fpr_error_05,population_sd_fpr_05,mean_fpr_01,mean_absolute_fpr_error_01,population_sd_fpr_01
balanced_control,Balanced control,normal_wald,Normal Wald,40,1.0,9.073257988260386e-05,0.04248022544560141,0.04223734828061907,0.019944007292963178,0.09719499999999999,0.004395000000000003,0.004896359191617108,0.047795000000000004,0.003455000000000002,0.0036403683949954918,0.00902,0.00142,0.0014999487170720717
balanced_control,Balanced control,simple_welch,Simple Welch,40,1.0,9.073257988260386e-05,0.04248022544560141,0.04223734828061907,0.019944007292963178,0.09618,0.004910000000000003,0.004783261412842679,0.04708,0.003700000000000002,0.00354047657229565,0.008625,0.0016650000000000002,0.001603961442084038
balanced_control,Balanced control,expanded_welch,Expanded Welch,40,1.0,9.073257988260386e-05,0.04248022544560141,0.04223734828061907,0.019944007292963178,0.092125,0.007925000000000005,0.005493807702943658,0.043925000000000006,0.006265000000000002,0.004079388465984854,0.007485,0.002585,0.001729910328193269
balanced_control,Balanced control,edgeworth_normal,Joint Edgeworth,40,0.9946400000000001,9.073257988260386e-05,0.04248022544560141,0.04223734828061907,0.019944007292963178,0.10442961937391053,0.006613895109986295,0.007004909402256454,0.05473078716872302,0.006035979675307582,0.005756022397886167,0.01296652765436821,0.003186431635164368,0.0027451121356335544
balanced_control,Balanced control,joint_influence_welch,Joint-Influence Welch,40,0.997655,9.073257988260386e-05,0.04248022544560141,0.04223734828061907,0.019944007292963178,0.10154890912664291,0.004916307704563441,0.006112796945659576,0.05311270023284957,0.005058775326097738,0.005744234509948802,0.012189553819532285,0.002639553819532284,0.0027415995140215527
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,40,1.0,-0.00011029316860354235,0.06367795661360845,0.06280731867895914,0.033461826518689765,0.094195,0.009585000000000002,0.010651157394675651,0.04592,0.006770000000000001,0.007347743417766664,0.00906,0.00234,0.0025645312462164527
moderate_sparse,Moderate sparsity,simple_welch,Simple Welch,40,1.0,-0.00011029316860354235,0.06367795661360845,0.06280731867895914,0.033461826518689765,0.092065,0.010285000000000004,0.009512031517491077,0.044000000000000004,0.007400000000000001,0.006416325332246703,0.008075,0.0023150000000000002,0.0019219047709805885
moderate_sparse,Moderate sparsity,expanded_welch,Expanded Welch,40,1.0,-0.00011029316860354235,0.06367795661360845,0.06280731867895914,0.033461826518689765,0.08533,0.014740000000000003,0.007016252195566724,0.03967,0.010330000000000002,0.00457541927460878,0.006834999999999999,0.003195000000000001,0.0014862705002791383
moderate_sparse,Moderate sparsity,edgeworth_normal,Joint Edgeworth,40,0.9883499999999998,-0.00011029316860354235,0.06367795661360845,0.06280731867895914,0.033461826518689765,0.10358259165354111,0.015032180984091037,0.016260249359508743,0.054290753603004484,0.010772784584230158,0.011859403143273198,0.012716710089365674,0.004395206757349577,0.0045087948537174995
moderate_sparse,Moderate sparsity,joint_influence_welch,Joint-Influence Welch,40,0.994605,-0.00011029316860354235,0.06367795661360845,0.06280731867895914,0.033461826518689765,0.09864772413692706,0.013153216506309295,0.014315587930201204,0.050822548544514755,0.009674869756650807,0.010889823093316504,0.010991996486134376,0.0037115843348765943,0.0041744422220751885
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,40,0.9999650000000001,-0.00016447390711560973,0.09612337995547193,0.09215738505804441,0.06319472390256926,0.11872454816413462,0.026174548164134625,0.02151049582824094,0.06373237159876953,0.018172371598769534,0.015056651724779851,0.016150551140640294,0.007120551140640292,0.005544897927864565
ultra_sparse,Ultra-sparsity,simple_welch,Simple Welch,40,0.9999650000000001,-0.00016447390711560973,0.09612337995547193,0.09215738505804441,0.06319472390256926,0.1150043491127197,0.0228543491127197,0.019840875331262938,0.059942151543153764,0.014652151543153769,0.013137885675089188,0.013535444112832171,0.00474544411283217,0.004512115857060114
ultra_sparse,Ultra-sparsity,expanded_welch,Expanded Welch,40,0.9903550000000001,-0.00016447390711560973,0.09612337995547193,0.09215738505804441,0.06319472390256926,0.10223075775946307,0.012807681967617885,0.015333534425936093,0.05153356343064454,0.008657413261145561,0.010375882701949462,0.011267759064289442,0.003233453692843815,0.003734412183580208
ultra_sparse,Ultra-sparsity,edgeworth_normal,Joint Edgeworth,40,0.97554,-0.00016447390711560973,0.09612337995547193,0.09215738505804441,0.06319472390256926,0.1247761412905725,0.031936957159617155,0.02692522960680702,0.0715563076824824,0.02599214500400368,0.02156342927886294,0.02152113077872222,0.012468358285458279,0.009025514147622092
ultra_sparse,Ultra-sparsity,joint_influence_welch,Joint-Influence Welch,40,0.9864899999999999,-0.00016447390711560973,0.09612337995547193,0.09215738505804441,0.06319472390256926,0.11716630149636553,0.026610469674538968,0.0235168665968188,0.06452911560386558,0.02069645076997843,0.01767226590209013,0.018765352998488954,0.010454850842035252,0.008550780460501143
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,40,1.0,-0.030094909874214325,0.0736978265556694,0.0704258952620219,0.29460125223434785,0.23041,0.13041,0.07432545134709051,0.16851,0.11850999999999998,0.05575550932879028,0.09536,0.08536,0.02915079099071954
ultra_imbalanced,Ultra-sparsity with imbalance,simple_welch,Simple Welch,40,1.0,-0.030094909874214325,0.0736978265556694,0.0704258952620219,0.29460125223434785,0.22742500000000004,0.12742499999999998,0.07474952619693764,0.165675,0.115675,0.05586747482739616,0.093035,0.083035,0.029042352362872243
ultra_imbalanced,Ultra-sparsity with imbalance,expanded_welch,Expanded Welch,40,0.99498,-0.030094909874214325,0.0736978265556694,0.0704258952620219,0.29460125223434785,0.19174903237833596,0.09189240879190624,0.09001583528692547,0.12687333588910604,0.07687333588910605,0.06471605439250969,0.05815492702795224,0.048154927027952245,0.02982096164289996
ultra_imbalanced,Ultra-sparsity with imbalance,edgeworth_normal,Joint Edgeworth,40,0.96052,-0.030094909874214325,0.0736978265556694,0.0704258952620219,0.29460125223434785,0.14827809566140077,0.06559445377460069,0.08243417281887504,0.08841041179252915,0.048343744745231385,0.05859182513604465,0.030093670303747128,0.022380257501031058,0.026644654021987874
ultra_imbalanced,Ultra-sparsity with imbalance,joint_influence_welch,Joint-Influence Welch,40,0.9758800000000001,-0.030094909874214325,0.0736978265556694,0.0704258952620219,0.29460125223434785,0.14065807425953541,0.062171638508188465,0.07745011404876578,0.08390539190155384,0.04287846265965882,0.05122082057140064,0.03343625213950845,0.02521084178378343,0.02123685107172641
