subset,pairs,median_wald_ms,median_profile_ms,median_permutation_ms,profile_over_permutation
easy,40,0.08556252578273416,60.36414601840079,2.788708487059921,22.39620787566807
hard,40,0.09406247409060597,82.59174996055663,3.341145464219153,27.95594566246289
all,80,0.08918752428144217,82.59174996055663,3.0891045462340117,26.833794292356416
