pair_id,shape,profile,n_p,n_q,baseline_mi,mi_difference,input_index,method,median_microseconds,valid
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,0,normal_wald,87.75,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,0,expanded_welch,150.292,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,1,normal_wald,85.458,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,1,expanded_welch,151.584,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,2,normal_wald,85.833,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,2,expanded_welch,148.0,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,3,normal_wald,85.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,3,expanded_welch,153.25,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,4,normal_wald,85.125,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,4,expanded_welch,148.0,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,5,normal_wald,85.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,5,expanded_welch,150.625,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,6,normal_wald,85.834,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,6,expanded_welch,149.792,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,7,normal_wald,84.417,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,7,expanded_welch,147.25,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,8,normal_wald,85.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,8,expanded_welch,140.917,False
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,9,normal_wald,84.458,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,9,expanded_welch,146.709,False
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,10,normal_wald,84.708,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,10,expanded_welch,146.833,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,11,normal_wald,85.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,11,expanded_welch,147.041,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,12,normal_wald,84.958,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,12,expanded_welch,150.583,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,13,normal_wald,85.792,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,13,expanded_welch,147.917,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,14,normal_wald,85.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,14,expanded_welch,146.625,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,15,normal_wald,85.125,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,15,expanded_welch,149.542,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,16,normal_wald,84.916,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,16,expanded_welch,151.042,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,17,normal_wald,84.958,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,17,expanded_welch,150.125,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,18,normal_wald,84.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,18,expanded_welch,147.208,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,19,normal_wald,84.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,19,expanded_welch,151.167,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,20,normal_wald,84.041,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,20,expanded_welch,151.792,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,21,normal_wald,84.333,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,21,expanded_welch,152.667,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,22,normal_wald,84.583,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,22,expanded_welch,148.916,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,23,normal_wald,84.75,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,23,expanded_welch,146.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,24,normal_wald,84.875,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,24,expanded_welch,151.208,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,25,normal_wald,84.709,False
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,25,expanded_welch,149.584,False
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,26,normal_wald,84.75,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,26,expanded_welch,146.875,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,27,normal_wald,85.542,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,27,expanded_welch,147.042,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,28,normal_wald,85.042,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,28,expanded_welch,146.042,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,29,normal_wald,84.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,29,expanded_welch,150.875,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,30,normal_wald,84.666,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,30,expanded_welch,151.875,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,31,normal_wald,84.0,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,31,expanded_welch,151.75,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,32,normal_wald,84.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,32,expanded_welch,148.125,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,33,normal_wald,84.209,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,33,expanded_welch,149.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,34,normal_wald,86.0,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,34,expanded_welch,147.709,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,35,normal_wald,83.917,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,35,expanded_welch,149.542,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,36,normal_wald,86.125,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,36,expanded_welch,147.334,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,37,normal_wald,85.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,37,expanded_welch,148.334,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,38,normal_wald,84.833,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,38,expanded_welch,151.584,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,39,normal_wald,84.625,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,39,expanded_welch,150.584,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,40,normal_wald,84.958,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,40,expanded_welch,154.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,41,normal_wald,84.167,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,41,expanded_welch,150.542,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,42,normal_wald,84.417,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,42,expanded_welch,151.833,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,43,normal_wald,84.25,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,43,expanded_welch,152.042,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,44,normal_wald,85.5,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,44,expanded_welch,149.458,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,45,normal_wald,84.167,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,45,expanded_welch,150.584,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,46,normal_wald,84.417,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,46,expanded_welch,148.667,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,47,normal_wald,84.916,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,47,expanded_welch,150.459,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,48,normal_wald,84.833,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,48,expanded_welch,148.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,49,normal_wald,83.625,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,49,expanded_welch,150.25,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,50,normal_wald,83.625,True
