absolute_mi_difference,achieved_mi_p,achieved_mi_q,both_reject,columns,configuration_id,constructor,dominant_p,dominant_q,method_a,method_b,n_p,n_q,neither_rejects,nominal_alpha,only_method_a_rejects,only_method_b_rejects,pair_id,paired_95_high,paired_95_low,paired_standard_error,pattern,profile,rejection_rate_difference_a_minus_b,replicates,rows,shape,signed_mi_difference_q_minus_p,simulation_seed,target_mi_p,target_mi_q
0.001999999999999915,0.020000000000000108,0.022000000000000023,759,8,config_01d649c2df988747,additive,,,expanded_welch,normal_wald,250,250,19005,0.05,0,236,pair_fe9fdec5f8aaeffd,-0.010303366853120373,-0.013296633146879627,0.000763588340244708,first,different_skew,-0.0118,20000,8,8x8,0.001999999999999915,12277320249676236221,0.02,0.022
0.002000000000000047,0.02199999999999992,0.019999999999999872,1418,5,config_022848e980f26046,additive,,,expanded_welch,normal_wald,50,500,14354,0.05,0,4228,pair_b69ebfe9dd4df920,-0.20574108971210162,-0.2170589102878984,0.0028871991264787745,first,same_skew,-0.2114,20000,5,5x5,-0.002000000000000047,2299283919561676997,0.022,0.02
0.0099999999999998,0.029999999999999794,0.019999999999999993,1355,5,config_022de4170f76fa37,additive,,,expanded_welch,normal_wald,50,500,17975,0.05,0,670,pair_9c38a7e51aa29797,-0.0310061216566441,-0.035993878343355906,0.0012723869098754598,first,uniform,-0.0335,20000,5,5x5,-0.0099999999999998,2649748171840633539,0.03,0.02
0.005000000000000213,0.0199999999999999,0.025000000000000112,1236,3,config_0234a55691cafecd,additive,,,expanded_welch,normal_wald,1000,1000,18598,0.05,0,166,pair_ec50ccfc431a6b99,-0.007042577770065593,-0.009557422229934408,0.0006415419540481669,first,different_skew,-0.0083,20000,2,2x3,0.005000000000000213,15670820392379456623,0.02,0.025
0.0009999999999993393,7.63833440942107e-16,0.0010000000000001032,0,8,config_02387422d28dc79e,additive,,,expanded_welch,normal_wald,2,2,20000,0.05,0,0,pair_16adfde43d086ba7,0.0,0.0,0.0,first,same_skew,0.0,20000,8,8x8,0.0009999999999993393,8983917729674220736,0.0,0.001
0.001999999999999988,0.019999999999999993,0.02199999999999998,388,5,config_0243fa0919e6d510,additive,,,expanded_welch,normal_wald,250,250,19521,0.05,0,91,pair_1d9f93247e70de8d,-0.0036172454956698054,-0.005482754504330195,0.0004758951552705076,first,uniform,-0.00455,20000,5,5x5,0.001999999999999988,6964848169899228260,0.02,0.022
0.00010000000000025497,9.99999999977034e-06,0.0001100000000000253,1598,8,config_025004d8b440d32e,additive,0.9,0.95,expanded_welch,normal_wald,1000,1000,15661,0.05,0,2741,pair_f49d321de18d8318,-0.13228366824489524,-0.14181633175510477,0.0024318019158697736,first,custom_extreme,-0.13705,20000,8,8x8,0.00010000000000025497,16258449244498063060,1e-05,0.00011
0.002000000000000033,0.00010000000000003344,0.0021000000000000662,82,3,config_025759b0977efaba,additive,,,expanded_welch,normal_wald,1000,1000,19770,0.05,0,148,pair_4dbde7c257146663,-0.006212168258374815,-0.008587831741625186,0.0006060366028699924,first,same_skew,-0.0074,20000,3,3x3,0.002000000000000033,5897113337977894791,0.0001,0.0021
0.005000000000000032,0.025000000000000022,0.01999999999999999,822,3,config_028d7b0de062fc71,additive,,,expanded_welch,normal_wald,500,500,19007,0.05,0,171,pair_edb64280f7f8e823,-0.007273942051474778,-0.009826057948525223,0.0006510499737373585,first,uniform,-0.00855,20000,3,3x3,-0.005000000000000032,4744249995049770314,0.025,0.02
0.0050000000000000565,0.019999999999999872,0.02499999999999993,1481,5,config_028ecc4fc05bc410,additive,,,expanded_welch,normal_wald,50,500,13833,0.05,0,4686,pair_d90b8b34373829e0,-0.22842960399306284,-0.24017039600693718,0.002995100003539374,first,same_skew,-0.2343,20000,5,5x5,0.0050000000000000565,14772195513878664397,0.02,0.025
