shape,profile,n_p,n_q,baseline_mi,mi_difference,method,median_microseconds,q1_microseconds,q3_microseconds,valid_rate,expanded_to_wald_ratio
3x5,different_skew,20,20,0.02,0.02,expanded_welch,151.125,150.07274999999998,151.916,0.97,1.753871864355637
3x5,different_skew,20,20,0.02,0.02,normal_wald,86.1665,85.75,88.209,1.0,1.753871864355637
3x5,different_skew,100,100,0.02,0.0,expanded_welch,150.125,149.541,150.8855,1.0,1.7618650830907896
3x5,different_skew,100,100,0.02,0.0,normal_wald,85.208,84.875,85.458,1.0,1.7618650830907896
3x5,different_skew,100,100,0.02,0.02,expanded_welch,150.02100000000002,149.083,151.292,1.0,1.7623612334801764
3x5,different_skew,100,100,0.02,0.02,normal_wald,85.125,84.833,85.416,1.0,1.7623612334801764
3x5,different_skew,1000,1000,0.02,0.0,expanded_welch,148.333,147.792,149.29125,1.0,1.7641259231949384
3x5,different_skew,1000,1000,0.02,0.0,normal_wald,84.083,83.75,84.458,1.0,1.7641259231949384
3x5,different_skew,1000,1000,0.02,0.02,expanded_welch,151.14600000000002,149.9065,153.125,1.0,1.7729736070381232
3x5,different_skew,1000,1000,0.02,0.02,normal_wald,85.25,84.917,85.75,1.0,1.7729736070381232
3x5,uniform,20,20,0.02,0.0,expanded_welch,150.1045,149.583,151.28125,1.0,1.7513475988239138
3x5,uniform,20,20,0.02,0.0,normal_wald,85.708,85.5,86.16624999999999,1.0,1.7513475988239138
3x5,uniform,20,20,0.02,0.02,expanded_welch,149.458,148.875,150.20825,1.0,1.750606149341142
3x5,uniform,20,20,0.02,0.02,normal_wald,85.375,85.08375000000001,85.67725,1.0,1.750606149341142
3x5,uniform,100,100,0.02,0.0,expanded_welch,150.16649999999998,149.57274999999998,151.0515,1.0,1.7580399686245125
3x5,uniform,100,100,0.02,0.0,normal_wald,85.417,85.167,85.791,1.0,1.7580399686245125
3x5,uniform,100,100,0.02,0.02,expanded_welch,149.5205,148.7815,150.34425,1.0,1.751338213762811
3x5,uniform,100,100,0.02,0.02,normal_wald,85.375,85.083,85.75,1.0,1.751338213762811
3x5,uniform,1000,1000,0.02,0.0,expanded_welch,150.75,150.19774999999998,151.33325,1.0,1.7575973090981165
3x5,uniform,1000,1000,0.02,0.0,normal_wald,85.7705,85.54175000000001,86.25,1.0,1.7575973090981165
3x5,uniform,1000,1000,0.02,0.02,expanded_welch,148.292,147.83375,149.083,1.0,1.740353018495916
3x5,uniform,1000,1000,0.02,0.02,normal_wald,85.208,84.916,85.625,1.0,1.740353018495916
5x5,different_skew,20,20,0.02,0.0,expanded_welch,148.833,148.44774999999998,149.29125,0.96,1.7424283222309376
5x5,different_skew,20,20,0.02,0.0,normal_wald,85.417,85.125,85.709,1.0,1.7424283222309376
5x5,different_skew,20,20,0.02,0.02,expanded_welch,148.875,148.5,149.208,0.95,1.7471950990517322
5x5,different_skew,20,20,0.02,0.02,normal_wald,85.208,85.083,85.375,1.0,1.7471950990517322
5x5,different_skew,100,100,0.02,0.0,expanded_welch,149.208,148.48975000000002,150.0935,1.0,1.7493786052619238
5x5,different_skew,100,100,0.02,0.0,normal_wald,85.292,85.083,85.66624999999999,1.0,1.7493786052619238
5x5,different_skew,100,100,0.02,0.02,expanded_welch,149.167,148.54175,150.07325,1.0,1.7395568513119535
5x5,different_skew,100,100,0.02,0.02,normal_wald,85.75,85.5,86.041,1.0,1.7395568513119535
5x5,different_skew,1000,1000,0.02,0.0,expanded_welch,149.3545,148.5,151.03125,1.0,1.7657744464017593
5x5,different_skew,1000,1000,0.02,0.0,normal_wald,84.583,84.375,84.92725,1.0,1.7657744464017593
5x5,different_skew,1000,1000,0.02,0.02,expanded_welch,152.6455,150.5735,154.7185,1.0,1.7272475247524752
5x5,different_skew,1000,1000,0.02,0.02,normal_wald,88.375,87.7815,89.791,1.0,1.7272475247524752
5x5,uniform,20,20,0.02,0.0,expanded_welch,149.16649999999998,148.7815,149.75,1.0,1.7531880634204247
5x5,uniform,20,20,0.02,0.0,normal_wald,85.083,84.875,85.375,1.0,1.7531880634204247
5x5,uniform,20,20,0.02,0.02,expanded_welch,149.8545,149.292,151.0515,1.0,1.7535456013480306
5x5,uniform,20,20,0.02,0.02,normal_wald,85.458,84.94775,85.834,1.0,1.7535456013480306
5x5,uniform,100,100,0.02,0.0,expanded_welch,148.125,147.65575,148.6355,1.0,1.7375366568914956
5x5,uniform,100,100,0.02,0.0,normal_wald,85.25,85.083,85.417,1.0,1.7375366568914956
5x5,uniform,100,100,0.02,0.02,expanded_welch,151.02100000000002,149.9895,152.26024999999998,1.0,1.761177842565598
5x5,uniform,100,100,0.02,0.02,normal_wald,85.75,85.292,86.25,1.0,1.761177842565598
5x5,uniform,1000,1000,0.02,0.0,expanded_welch,149.75,148.70875,150.67725000000002,1.0,1.7514619883040936
5x5,uniform,1000,1000,0.02,0.0,normal_wald,85.5,85.0,86.125,1.0,1.7514619883040936
5x5,uniform,1000,1000,0.02,0.02,expanded_welch,147.375,146.583,148.417,1.0,1.7346602478842734
5x5,uniform,1000,1000,0.02,0.02,normal_wald,84.959,84.667,85.167,1.0,1.7346602478842734
8x8,different_skew,20,20,0.02,0.0,expanded_welch,151.083,150.292,151.834,0.98,1.7687696828500181
8x8,different_skew,20,20,0.02,0.0,normal_wald,85.417,85.07275,85.88525,1.0,1.7687696828500181
8x8,different_skew,20,20,0.02,0.02,expanded_welch,150.25,149.7395,150.8855,0.965,1.7303130110325449
8x8,different_skew,20,20,0.02,0.02,normal_wald,86.834,86.32275,87.125,1.0,1.7303130110325449
8x8,different_skew,100,100,0.02,0.0,expanded_welch,153.4375,152.375,154.8435,1.0,1.7427959700594042
8x8,different_skew,100,100,0.02,0.0,normal_wald,88.041,87.08375000000001,88.93775,1.0,1.7427959700594042
8x8,different_skew,100,100,0.02,0.02,expanded_welch,153.75,152.917,155.01024999999998,1.0,1.7655569973473584
8x8,different_skew,100,100,0.02,0.02,normal_wald,87.083,86.583,87.67725,1.0,1.7655569973473584
8x8,different_skew,1000,1000,0.02,0.0,expanded_welch,152.125,151.48975000000002,154.03125,1.0,1.747729531315522
8x8,different_skew,1000,1000,0.02,0.0,normal_wald,87.0415,86.75,87.51050000000001,1.0,1.747729531315522
8x8,different_skew,1000,1000,0.02,0.02,expanded_welch,152.041,151.375,153.573,1.0,1.7526340057636887
8x8,different_skew,1000,1000,0.02,0.02,normal_wald,86.75,86.458,87.042,1.0,1.7526340057636887
8x8,uniform,20,20,0.02,0.0,expanded_welch,155.792,153.8645,159.1145,1.0,1.7787825332397085
8x8,uniform,20,20,0.02,0.0,normal_wald,87.5835,87.0,88.667,1.0,1.7787825332397085
8x8,uniform,20,20,0.02,0.02,expanded_welch,159.14600000000002,157.5725,160.8015,1.0,1.7802362521813058
8x8,uniform,20,20,0.02,0.02,normal_wald,89.396,88.625,90.709,1.0,1.7802362521813058
8x8,uniform,100,100,0.02,0.0,expanded_welch,154.875,153.44774999999998,157.16625,1.0,1.7373185560765485
8x8,uniform,100,100,0.02,0.0,normal_wald,89.146,88.208,90.91624999999999,1.0,1.7373185560765485
8x8,uniform,100,100,0.02,0.02,expanded_welch,157.47899999999998,156.875,158.25,1.0,1.7579018457640077
8x8,uniform,100,100,0.02,0.02,normal_wald,89.5835,89.333,90.01050000000001,1.0,1.7579018457640077
8x8,uniform,1000,1000,0.02,0.0,expanded_welch,153.22899999999998,152.209,154.75,1.0,1.763787050359712
8x8,uniform,1000,1000,0.02,0.0,normal_wald,86.875,85.86449999999999,88.2185,1.0,1.763787050359712
8x8,uniform,1000,1000,0.02,0.02,expanded_welch,152.125,150.917,152.83325,1.0,1.7646274127691166
8x8,uniform,1000,1000,0.02,0.02,normal_wald,86.208,85.834,86.917,1.0,1.7646274127691166
