absolute_mi_difference,achieved_mi_p,achieved_mi_q,columns,common_valid_rate,common_valid_rejection_rate,common_valid_rejections,common_valid_replicates,conditional_rejection_rate,configuration_id,constructor,dominant_p,dominant_q,empty_column_p,empty_column_q,empty_row_p,empty_row_q,expanded_df_median,expanded_df_p05,expanded_df_p95,invalid_reason_counts_json,method,method_label,minimum_true_expected_p,minimum_true_expected_q,monte_carlo_standard_error,n_p,n_q,nominal_alpha,observed_zero_fraction_p,observed_zero_fraction_q,pair_id,pattern,profile,rejections,replicates,rows,shape,signed_mi_difference_q_minus_p,simulation_seed,standard_error_median,standard_error_p05,standard_error_p95,statistic_median,statistic_p05,statistic_p95,target_mi_p,target_mi_q,true_expected_below_1_p,true_expected_below_1_q,true_expected_below_5_p,true_expected_below_5_q,unconditional_rejection_rate,valid_rate,valid_replicates,wilson_95_high,wilson_95_low
0.005000000000000469,0.019999999999999858,0.025000000000000328,3,1.0,0.00885,177,20000,0.00885,config_0003558e2ef57471,additive,,,0.00945,5e-05,0.01025,5e-05,4.101823463852087,1.2458387272140032,13.468215320031627,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",expanded_welch,Expanded Welch,0.4999999999999998,0.9999999999999996,0.0006622566534207112,50,100,0.05,0.2382833333333334,0.1265888888888889,pair_bb0d270c06c57be5,first,same_skew,177,20000,3,3x3,0.005000000000000469,4377233141809755131,0.05226976322719104,0.027409767217581444,0.08041834463057172,-0.21142677540559107,-1.6758214554756508,1.1700029966121948,0.02,0.025,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.4444444444444444,0.00885,1.0,20000,0.010245615682415148,0.007643021335496426
0.005000000000000469,0.019999999999999858,0.025000000000000328,3,1.0,0.0252,504,20000,0.0252,config_0003558e2ef57471,additive,,,0.00945,5e-05,0.01025,5e-05,,,,"{""invalid_base"": 0}",normal_wald,Normal Wald,0.4999999999999998,0.9999999999999996,0.0011082635065723313,50,100,0.05,0.2382833333333334,0.1265888888888889,pair_bb0d270c06c57be5,first,same_skew,504,20000,3,3x3,0.005000000000000469,4377233141809755131,0.05226976322719104,0.027409767217581444,0.08041834463057172,-0.21142677540559107,-1.6758214554756508,1.1700029966121948,0.02,0.025,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.4444444444444444,0.0252,1.0,20000,0.027465039707553013,0.023117317731323937
0.010000000000000252,0.03000000000000011,0.019999999999999858,3,1.0,0.01465,293,20000,0.01465,config_0007e6d799a5d588,additive,,,0.0,0.01105,0.0,0.01045,4.511096777674583,1.5122237962403524,13.954037651611708,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",expanded_welch,Expanded Welch,2.2500000000000004,0.4999999999999998,0.0008495698176135967,100,50,0.05,0.03440000000000001,0.2383388888888889,pair_fc844d27f7ad1eda,first,different_skew,293,20000,3,3x3,-0.010000000000000252,11160991276479422689,0.05299027460297663,0.028976409321509775,0.08071232337464775,0.27531910419838646,-1.1053416916735777,1.799637781542335,0.03,0.02,0.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.01465,1.0,20000,0.01641077781053705,0.013075631589123709
0.010000000000000252,0.03000000000000011,0.019999999999999858,3,1.0,0.03655,731,20000,0.03655,config_0007e6d799a5d588,additive,,,0.0,0.01105,0.0,0.01045,,,,"{""invalid_base"": 0}",normal_wald,Normal Wald,2.2500000000000004,0.4999999999999998,0.0013269155493097517,100,50,0.05,0.03440000000000001,0.2383388888888889,pair_fc844d27f7ad1eda,first,different_skew,731,20000,3,3x3,-0.010000000000000252,11160991276479422689,0.05299027460297663,0.028976409321509775,0.08071232337464775,0.27531910419838646,-1.1053416916735777,1.799637781542335,0.03,0.02,0.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.03655,1.0,20000,0.039240978596054805,0.03403701962434857
5.000000000015783e-05,9.999999999872636e-06,6.000000000003047e-05,3,1.0,0.14685,2937,20000,0.14685,config_000cd4accbe31faf,additive,0.99,0.995,0.0,0.0,0.0,0.0,1.0760923341759718,0.3156376788271932,56.05276453576314,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",expanded_welch,Expanded Welch,0.25000000000000044,0.06250000000000011,0.0025028491514671835,10000,10000,0.05,0.3280944444444444,0.3807444444444445,pair_0781fad02073b5c0,first,custom_extreme,2937,20000,3,3x3,5.000000000015783e-05,1854494313619354327,0.0002788904957955741,1.4236784109880207e-05,0.000537097676244625,0.6793575730865724,-0.7974348649731884,5.235065918092642,1e-05,6e-05,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.14685,1.0,20000,0.15182330949525685,0.14201232557116983
5.000000000015783e-05,9.999999999872636e-06,6.000000000003047e-05,3,1.0,0.14685,2937,20000,0.14685,config_000cd4accbe31faf,additive,0.99,0.995,0.0,0.0,0.0,0.0,,,,"{""invalid_base"": 0}",normal_wald,Normal Wald,0.25000000000000044,0.06250000000000011,0.0025028491514671835,10000,10000,0.05,0.3280944444444444,0.3807444444444445,pair_0781fad02073b5c0,first,custom_extreme,2937,20000,3,3x3,5.000000000015783e-05,1854494313619354327,0.0002788904957955741,1.4236784109880207e-05,0.000537097676244625,0.6793575730865724,-0.7974348649731884,5.235065918092642,1e-05,6e-05,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.14685,1.0,20000,0.15182330949525685,0.14201232557116983
1.0018028073766061e-16,0.0001000000000000523,9.999999999995212e-05,3,1.0,0.001,20,20000,0.001,config_001f81d34c1b821e,additive,,,0.0,0.0,0.0,0.0,4.007987153572239,1.4770053835844918,9.00866982696243,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",expanded_welch,Expanded Welch,21.439536294084625,9.293188006442218,0.0002234949663862701,1000,1000,0.05,0.0,5.555555555555555e-06,pair_f7bc22e75aacc70b,rare,different_skew,20,20000,3,3x3,-1.0018028073766061e-16,15357168278137260510,0.0027590726093152107,0.0016992032820757957,0.003961921844738309,-0.013160712743452072,-1.0850985792770536,1.0686540534279505,0.0001,0.0001,0.0,0.0,0.0,0.0,0.001,1.0,20000,0.0015441859375651431,0.0006474660464272732
1.0018028073766061e-16,0.0001000000000000523,9.999999999995212e-05,3,1.0,0.003,60,20000,0.003,config_001f81d34c1b821e,additive,,,0.0,0.0,0.0,0.0,,,,"{""invalid_base"": 0}",normal_wald,Normal Wald,21.439536294084625,9.293188006442218,0.0003867169507533902,1000,1000,0.05,0.0,5.555555555555555e-06,pair_f7bc22e75aacc70b,rare,different_skew,60,20000,3,3x3,-1.0018028073766061e-16,15357168278137260510,0.0027590726093152107,0.0016992032820757957,0.003961921844738309,-0.013160712743452072,-1.0850985792770536,1.0686540534279505,0.0001,0.0001,0.0,0.0,0.0,0.0,0.003,1.0,20000,0.003859306439206685,0.0023315774005613125
0.00099999999999998,0.019999999999999872,0.020999999999999852,5,1.0,0.01035,207,20000,0.01035,config_00359013490aeb20,additive,,,0.0,0.0,0.0,0.0,13.716061373731405,7.1111554471509555,25.56473436483488,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",expanded_welch,Expanded Welch,0.6249999999999997,0.6249999999999997,0.000715642281450726,250,250,0.05,0.321396,0.32208200000000003,pair_ba448d12d6824f36,first,same_skew,207,20000,5,5x5,0.00099999999999998,13080142096733581624,0.02800234126210193,0.02009235946709652,0.035869681771998195,-0.024640334971641677,-1.4238834004485805,1.381797201639538,0.02,0.021,0.6,0.6,0.64,0.64,0.01035,1.0,20000,0.011849677467711685,0.009038383442031575
0.00099999999999998,0.019999999999999872,0.020999999999999852,5,1.0,0.01665,333,20000,0.01665,config_00359013490aeb20,additive,,,0.0,0.0,0.0,0.0,,,,"{""invalid_base"": 0}",normal_wald,Normal Wald,0.6249999999999997,0.6249999999999997,0.0009047866461216147,250,250,0.05,0.321396,0.32208200000000003,pair_ba448d12d6824f36,first,same_skew,333,20000,5,5x5,0.00099999999999998,13080142096733581624,0.02800234126210193,0.02009235946709652,0.035869681771998195,-0.024640334971641677,-1.4238834004485805,1.381797201639538,0.02,0.021,0.6,0.6,0.64,0.64,0.01665,1.0,20000,0.01851842736557105,0.014967213889865291
0.0099999999999998,0.019999999999999993,0.029999999999999794,5,1.0,0.1266,2532,20000,0.1266,config_00d2cc8ab3b820a8,additive,,,0.0,0.0,0.0,0.0,79.88255707143425,57.935330721318806,107.47178485505088,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",expanded_welch,Expanded Welch,20.428779506082734,16.305276987876844,0.0023513021924031798,1000,1000,0.05,0.0,0.0,pair_4d27465cf0425ea3,first,uniform,2532,20000,5,5x5,0.0099999999999998,8933061012307928862,0.010887178560287245,0.009587302043809778,0.012193621964546117,-0.9247075196829919,-2.4443837608908474,0.6550636743958025,0.02,0.03,0.0,0.0,0.0,0.0,0.1266,1.0,20000,0.13128028924292884,0.12206312328377006
0.0099999999999998,0.019999999999999993,0.029999999999999794,5,1.0,0.1332,2664,20000,0.1332,config_00d2cc8ab3b820a8,additive,,,0.0,0.0,0.0,0.0,,,,"{""invalid_base"": 0}",normal_wald,Normal Wald,20.428779506082734,16.305276987876844,0.002402683499756054,1000,1000,0.05,0.0,0.0,pair_4d27465cf0425ea3,first,uniform,2664,20000,5,5x5,0.0099999999999998,8933061012307928862,0.010887178560287245,0.009587302043809778,0.012193621964546117,-0.9247075196829919,-2.4443837608908474,0.6550636743958025,0.02,0.03,0.0,0.0,0.0,0.0,0.1332,1.0,20000,0.13797968658963997,0.12856119106111838
0.00500000000000007,0.01999999999999993,0.025,5,1.0,0.00965,193,20000,0.00965,config_00d6ac2fbc68a31f,additive,,,0.0248,0.02315,5e-05,0.0,8.05045608246161,2.9806925944178464,19.343165087874656,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",expanded_welch,Expanded Welch,0.4999999999999998,0.4999999999999998,0.0006912625224905514,100,100,0.05,0.3002866666666667,0.29935666666666666,pair_c67ddcfe92c8546c,first,same_skew,193,20000,3,3x5,0.00500000000000007,12262455350870053506,0.04631319080915819,0.029599655490806516,0.062331163420039554,-0.10871947934839793,-1.448067804087799,1.2722486054745408,0.02,0.025,0.4666666666666667,0.4666666666666667,0.8,0.8,0.00965,1.0,20000,0.011102153130583393,0.008386176629638415
