population_seed,scenario_id,rows,columns,repetitions,median_wald_normal_ms,median_welch_n_minus_1_ms,median_if_satterthwaite_ms,if_over_normal
73105913,random_2x2_d5,2,2,200,0.11768750846385956,0.1265000319108367,0.160687486641109,1.3653741908424735
73105913,random_2x5_d5,2,5,200,0.1194169744849205,0.12787547893822193,0.16241701086983085,1.3600831169135024
73105913,random_3x7_d5,3,7,200,0.12135400902479887,0.12960453750565648,0.1651665079407394,1.3610305029724017
73105913,random_4x6_d5,4,6,200,0.11791649740189314,0.12679147766903043,0.16070849960669875,1.3629008929849589
73105913,random_5x5_d5,5,5,200,0.119145552162081,0.12677046470344067,0.1605625730007887,1.3476170120254727
73105913,random_5x10_d5,5,10,200,0.11958298273384571,0.1284165191464126,0.162479467689991,1.358717302206949
84207631,random_2x2_d5,2,2,200,0.11943693971261382,0.12845854507759213,0.16318750567734241,1.3663068232491564
84207631,random_2x5_d5,2,5,200,0.1181670231744647,0.1277504488825798,0.1619370304979384,1.3704079712565034
84207631,random_3x7_d5,3,7,200,0.11758349137380719,0.1259585260413587,0.16033300198614597,1.3635672840878208
84207631,random_4x6_d5,4,6,200,0.11827104026451707,0.12706202687695622,0.16179151134565473,1.3679723369626469
84207631,random_5x5_d5,5,5,200,0.11777045438066125,0.1262709847651422,0.16060401685535908,1.363703805848026
84207631,random_5x10_d5,5,10,200,0.11858349898830056,0.12712494935840368,0.1620205002836883,1.366298866756101
