scenario_id,regime,table_index,true_delta,paired_wald_normal_p,paired_wald_t_p,paired_jackknife_t_p,bootstrap_t_p,analytic_seconds,bootstrap_seconds,bootstrap_valid_replicates,bootstrap_requested_replicates
regular_2x2_bal_n50_positive,regular,0,0.0,0.6487475011458653,0.6507596367744071,0.6482649702834573,0.579454253611557,0.00047025003004819155,0.0012907088967040181,622,999
regular_2x2_bal_n50_positive,regular,1,0.0,0.20021079819271104,0.20624045728710794,0.23576652939089537,0.2292929292929293,0.00016899988986551762,0.0013570840237662196,989,999
regular_2x2_bal_n50_positive,regular,2,0.0,0.8866763565563252,0.8872607447942195,0.8925146584469963,0.8967935871743486,0.00019333406817167997,0.0013660829281434417,997,999
regular_2x2_bal_n50_positive,regular,3,0.0,0.34902526654634725,0.3536180978603383,0.380337598817381,0.4291457286432161,0.00016483303625136614,0.0013911670539528131,994,999
regular_2x2_bal_n50_positive,regular,4,0.0,0.3659549557810772,0.37037848966942083,0.3967839220238914,0.379,0.00020283402409404516,0.00135704199783504,999,999
regular_2x2_bal_n50_positive,regular,5,0.0,0.4861899845422175,0.4894803402724783,0.5118318892772005,0.507,0.00015566602814942598,0.0013607079163193703,999,999
regular_2x2_bal_n50_positive,regular,6,0.0,0.22565068677719446,0.23146142780124696,0.28534762973645994,0.25625625625625625,0.00015291606541723013,0.0013301250291988254,998,999
regular_2x2_bal_n50_positive,regular,7,0.0,0.2730095740092715,0.27836787934304197,0.29677065063160696,0.285,0.0001527080312371254,0.0013428329257294536,999,999
regular_2x2_weak_n100_negative,regular,0,-4.440892098500626e-16,0.6465732550911535,0.6475782630174283,0.6777428190589387,0.683,0.0003023749450221658,0.0014571669744327664,999,999
regular_2x2_weak_n100_negative,regular,1,-4.440892098500626e-16,0.36510735998705324,0.3673062837110382,0.38310152409199777,0.386,0.0001581249525770545,0.001381583046168089,999,999
regular_2x2_weak_n100_negative,regular,2,-4.440892098500626e-16,0.07370831164835082,0.07676719920025858,0.05459707395239032,0.099,0.00016649998724460602,0.0013852089177817106,999,999
regular_2x2_weak_n100_negative,regular,3,-4.440892098500626e-16,0.9778367844308324,0.9778927093052527,0.9631634338420354,0.968,0.00015308300498872995,0.0013616658980026841,999,999
regular_2x2_weak_n100_negative,regular,4,-4.440892098500626e-16,0.17201726469607304,0.17511212319657699,0.24447589141589132,0.274,0.0001611249754205346,0.0015012499643489718,999,999
