configuration_id,shape,alphabet_size,cells,regime,regime_label,sample_size_p,sample_size_q,observations_per_cell,true_mi_p,true_mi_q_null,true_mi_q_alternative,minimum_expected_count_null,fraction_expected_below_1_null,fraction_expected_below_5_null,probability_p_json,probability_q_null_json,probability_q_alternative_json,association_p,association_q_null,association_q_alternative
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,0.050000000000000044,0.05000000000000049,0.09999999999995035,1.518053090138711,0.0,1.0,"[[0.16446349053727824, 0.10814771919050628, 0.06072212360554874], [0.10814771919050634, 0.11703789495232075, 0.10814771919050634], [0.06072212360554874, 0.10814771919050628, 0.16446349053727824]]","[[0.06072212360554844, 0.10814771919050625, 0.1644634905372786], [0.10814771919050631, 0.11703789495232084, 0.10814771919050631], [0.1644634905372786, 0.10814771919050625, 0.06072212360554844]]","[[0.04214046013549633, 0.10475923014402584, 0.18643364305381083], [0.1047592301440262, 0.12381487304528166, 0.1047592301440262], [0.1864336430538108, 0.10475923014402583, 0.04214046013549632]]",0.4981902486666488,0.49819024866665246,0.7435335234626973
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,0.050000000000000044,0.05000000000000049,0.09999999999995035,3.036106180277422,0.0,0.2222222222222222,"[[0.16446349053727824, 0.10814771919050628, 0.06072212360554874], [0.10814771919050634, 0.11703789495232075, 0.10814771919050634], [0.06072212360554874, 0.10814771919050628, 0.16446349053727824]]","[[0.06072212360554844, 0.10814771919050625, 0.1644634905372786], [0.10814771919050631, 0.11703789495232084, 0.10814771919050631], [0.1644634905372786, 0.10814771919050625, 0.06072212360554844]]","[[0.04214046013549633, 0.10475923014402584, 0.18643364305381083], [0.1047592301440262, 0.12381487304528166, 0.1047592301440262], [0.1864336430538108, 0.10475923014402583, 0.04214046013549632]]",0.4981902486666488,0.49819024866665246,0.7435335234626973
3x3_balanced_n75,3x3,3,9,balanced,Balanced margins,75,75,8.333333333333334,0.050000000000000044,0.05000000000000049,0.09999999999995035,4.554159270416133,0.0,0.2222222222222222,"[[0.16446349053727824, 0.10814771919050628, 0.06072212360554874], [0.10814771919050634, 0.11703789495232075, 0.10814771919050634], [0.06072212360554874, 0.10814771919050628, 0.16446349053727824]]","[[0.06072212360554844, 0.10814771919050625, 0.1644634905372786], [0.10814771919050631, 0.11703789495232084, 0.10814771919050631], [0.1644634905372786, 0.10814771919050625, 0.06072212360554844]]","[[0.04214046013549633, 0.10475923014402584, 0.18643364305381083], [0.1047592301440262, 0.12381487304528166, 0.1047592301440262], [0.1864336430538108, 0.10475923014402583, 0.04214046013549632]]",0.4981902486666488,0.49819024866665246,0.7435335234626973
3x3_balanced_n100,3x3,3,9,balanced,Balanced margins,100,100,11.11111111111111,0.050000000000000044,0.05000000000000049,0.09999999999995035,6.072212360554844,0.0,0.0,"[[0.16446349053727824, 0.10814771919050628, 0.06072212360554874], [0.10814771919050634, 0.11703789495232075, 0.10814771919050634], [0.06072212360554874, 0.10814771919050628, 0.16446349053727824]]","[[0.06072212360554844, 0.10814771919050625, 0.1644634905372786], [0.10814771919050631, 0.11703789495232084, 0.10814771919050631], [0.1644634905372786, 0.10814771919050625, 0.06072212360554844]]","[[0.04214046013549633, 0.10475923014402584, 0.18643364305381083], [0.1047592301440262, 0.12381487304528166, 0.1047592301440262], [0.1864336430538108, 0.10475923014402583, 0.04214046013549632]]",0.4981902486666488,0.49819024866665246,0.7435335234626973
3x3_balanced_n150,3x3,3,9,balanced,Balanced margins,150,150,16.666666666666668,0.050000000000000044,0.05000000000000049,0.09999999999995035,9.108318540832267,0.0,0.0,"[[0.16446349053727824, 0.10814771919050628, 0.06072212360554874], [0.10814771919050634, 0.11703789495232075, 0.10814771919050634], [0.06072212360554874, 0.10814771919050628, 0.16446349053727824]]","[[0.06072212360554844, 0.10814771919050625, 0.1644634905372786], [0.10814771919050631, 0.11703789495232084, 0.10814771919050631], [0.1644634905372786, 0.10814771919050625, 0.06072212360554844]]","[[0.04214046013549633, 0.10475923014402584, 0.18643364305381083], [0.1047592301440262, 0.12381487304528166, 0.1047592301440262], [0.1864336430538108, 0.10475923014402583, 0.04214046013549632]]",0.4981902486666488,0.49819024866665246,0.7435335234626973
3x3_balanced_n250,3x3,3,9,balanced,Balanced margins,250,250,27.77777777777778,0.050000000000000044,0.05000000000000049,0.09999999999995035,15.18053090138711,0.0,0.0,"[[0.16446349053727824, 0.10814771919050628, 0.06072212360554874], [0.10814771919050634, 0.11703789495232075, 0.10814771919050634], [0.06072212360554874, 0.10814771919050628, 0.16446349053727824]]","[[0.06072212360554844, 0.10814771919050625, 0.1644634905372786], [0.10814771919050631, 0.11703789495232084, 0.10814771919050631], [0.1644634905372786, 0.10814771919050625, 0.06072212360554844]]","[[0.04214046013549633, 0.10475923014402584, 0.18643364305381083], [0.1047592301440262, 0.12381487304528166, 0.1047592301440262], [0.1864336430538108, 0.10475923014402583, 0.04214046013549632]]",0.4981902486666488,0.49819024866665246,0.7435335234626973
3x3_balanced_n500,3x3,3,9,balanced,Balanced margins,500,500,55.55555555555556,0.050000000000000044,0.05000000000000049,0.09999999999995035,30.36106180277422,0.0,0.0,"[[0.16446349053727824, 0.10814771919050628, 0.06072212360554874], [0.10814771919050634, 0.11703789495232075, 0.10814771919050634], [0.06072212360554874, 0.10814771919050628, 0.16446349053727824]]","[[0.06072212360554844, 0.10814771919050625, 0.1644634905372786], [0.10814771919050631, 0.11703789495232084, 0.10814771919050631], [0.1644634905372786, 0.10814771919050625, 0.06072212360554844]]","[[0.04214046013549633, 0.10475923014402584, 0.18643364305381083], [0.1047592301440262, 0.12381487304528166, 0.1047592301440262], [0.1864336430538108, 0.10475923014402583, 0.04214046013549632]]",0.4981902486666488,0.49819024866665246,0.7435335234626973
3x3_balanced_n1000,3x3,3,9,balanced,Balanced margins,1000,1000,111.11111111111111,0.050000000000000044,0.05000000000000049,0.09999999999995035,60.72212360554844,0.0,0.0,"[[0.16446349053727824, 0.10814771919050628, 0.06072212360554874], [0.10814771919050634, 0.11703789495232075, 0.10814771919050634], [0.06072212360554874, 0.10814771919050628, 0.16446349053727824]]","[[0.06072212360554844, 0.10814771919050625, 0.1644634905372786], [0.10814771919050631, 0.11703789495232084, 0.10814771919050631], [0.1644634905372786, 0.10814771919050625, 0.06072212360554844]]","[[0.04214046013549633, 0.10475923014402584, 0.18643364305381083], [0.1047592301440262, 0.12381487304528166, 0.1047592301440262], [0.1864336430538108, 0.10475923014402583, 0.04214046013549632]]",0.4981902486666488,0.49819024866665246,0.7435335234626973
3x3_mild_n25,3x3,3,9,mild,Mildly skewed margins,25,25,2.7777777777777777,0.05000000000000071,0.05000000000002003,0.09999999999999998,0.1082401572407485,0.3333333333333333,0.8888888888888888,"[[0.5467105548276301, 0.09261342056455679, 0.06067602460783641], [0.09261342056454791, 0.026982815949568174, 0.030403763485879358], [0.060676024607821975, 0.030403763485875042, 0.05892021190628428]]","[[0.0043296062896299396, 0.01224471905116551, 0.13342567465921185], [0.08790834095090021, 0.10731704659899735, 0.5047746124501077], [0.05776205275946988, 0.030438234349837175, 0.061799712890680564]]","[[0.001518821911190146, 0.008265839146596397, 0.14021533894225555], [0.07248594380494577, 0.10973265379774592, 0.5177814023973567], [0.0759952342838641, 0.03200150705565769, 0.04200325866038758]]",0.5422516059160972,0.8401253204309178,1.2795419573445608
3x3_mild_n50,3x3,3,9,mild,Mildly skewed margins,50,50,5.555555555555555,0.05000000000000071,0.05000000000002003,0.09999999999999998,0.216480314481497,0.1111111111111111,0.7777777777777778,"[[0.5467105548276301, 0.09261342056455679, 0.06067602460783641], [0.09261342056454791, 0.026982815949568174, 0.030403763485879358], [0.060676024607821975, 0.030403763485875042, 0.05892021190628428]]","[[0.0043296062896299396, 0.01224471905116551, 0.13342567465921185], [0.08790834095090021, 0.10731704659899735, 0.5047746124501077], [0.05776205275946988, 0.030438234349837175, 0.061799712890680564]]","[[0.001518821911190146, 0.008265839146596397, 0.14021533894225555], [0.07248594380494577, 0.10973265379774592, 0.5177814023973567], [0.0759952342838641, 0.03200150705565769, 0.04200325866038758]]",0.5422516059160972,0.8401253204309178,1.2795419573445608
