scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,3539429236,200,1.0,0.0,43.0,6.686719233872651e-11,0.012093449603999034,10,1.1172407994308742e-05,1.117305777142974e-06
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,3443095830,200,1.0,0.0,31.0,2.6497623539789572e-11,0.010442578491056337,10,1.984972186619416e-10,3.041122909053229e-11
config_3x3_d1_p02,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,2,0.1,857867422,200,1.0,0.0,30.0,2.1808527206346184e-11,0.009888071634341031,10,4.825437827093992e-10,7.140670277294703e-11
config_3x3_d1_p03,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,3,0.1,2620080462,200,1.0,0.0,37.0,4.8309772848753596e-11,0.011107261456781998,10,1.7548911159792624e-06,1.7549489825796626e-07
config_3x3_d1_p04,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,4,0.1,3256796944,200,1.0,0.0,40.0,7.847021643581087e-11,0.011584730026079341,10,0.0019458473003055587,0.0001946698096048749
config_3x3_d1_p05,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,5,0.1,1780852127,200,1.0,0.0,31.0,2.234587515026476e-11,0.010025795632973313,10,5.880451681150589e-10,6.486402526206802e-11
config_3x3_d1_p06,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,6,0.1,3903328556,200,1.0,0.0,31.5,7.980760496906214e-11,0.010452046871650965,10,1.0811618267325684e-10,1.6063950170064346e-11
config_3x3_d1_p07,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,7,0.1,3860016290,200,1.0,0.0,29.0,9.64638091627279e-11,0.01013693151762709,10,2.0804691303055733e-11,6.9746874942211436e-12
config_3x3_d1_p08,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,8,0.1,2161844049,200,1.0,0.0,43.0,3.9931447037844237e-11,0.010111863353522495,10,1.4587545820177183e-06,1.458762028505589e-07
config_3x3_d1_p09,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,9,0.1,2875952689,200,1.0,0.0,40.5,4.4347692185198184e-11,0.00991654016310349,10,4.679870016843779e-06,4.696748362675862e-07
