method,method_label,configurations,mean_valid_rate,mean_fpr_10,configuration_mae_10,wins_vs_normal_10,mean_fpr_05,configuration_mae_05,wins_vs_normal_05,mean_fpr_01,configuration_mae_01,wins_vs_normal_01
normal_wald,Normal Wald,1,1.0,0.11599999999999999,0.015999999999999986,0,0.06050000000000002,0.010500000000000016,0,0.0195,0.0095,0
simple_welch,Simple Welch,1,1.0,0.11300000000000002,0.013000000000000012,1,0.05500000000000001,0.0050000000000000044,1,0.0185,0.008499999999999999,1
expanded_welch,Expanded Welch,1,1.0,0.10350000000000001,0.003500000000000003,1,0.05,0.0,1,0.0115,0.0014999999999999996,1
constrained_lrt,Constrained LRT,1,1.0,0.11600000000000002,0.016000000000000014,0,0.0605,0.010499999999999995,1,0.016500000000000004,0.006500000000000004,1
