configuration_id,experiment,block,stream,method,method_label,replicates,valid_count,valid_rate,reject_count_05,rejection_rate_valid_05,unconditional_rejection_rate_05
C2_N5_np200_nq100,C2,0,null_simulation,simple_welch,Simple Welch,500,492,0.984,142,0.2886178861788618,0.284
C2_N5_np200_nq100,C2,0,null_simulation,expanded_welch,Expanded Welch,500,310,0.62,13,0.041935483870967745,0.026
C2_N5_np100_nq500,C2,0,null_simulation,normal_wald,Normal Wald,500,499,0.998,63,0.12625250501002003,0.126
C2_N5_np100_nq500,C2,0,null_simulation,simple_welch,Simple Welch,500,499,0.998,63,0.12625250501002003,0.126
C2_N5_np100_nq500,C2,0,null_simulation,expanded_welch,Expanded Welch,500,382,0.764,16,0.041884816753926704,0.032
C2_N5_np500_nq100,C2,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,96,0.192,0.192
C2_N5_np500_nq100,C2,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,96,0.192,0.192
C2_N5_np500_nq100,C2,0,null_simulation,expanded_welch,Expanded Welch,500,300,0.6,2,0.006666666666666667,0.004
C2_N5_np100_nq1000,C2,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,349,0.698,0.698
C2_N5_np100_nq1000,C2,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,349,0.698,0.698
C2_N5_np100_nq1000,C2,0,null_simulation,expanded_welch,Expanded Welch,500,392,0.784,45,0.11479591836734694,0.09
C2_N5_np1000_nq100,C2,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,308,0.616,0.616
C2_N5_np1000_nq100,C2,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,308,0.616,0.616
C2_N5_np1000_nq100,C2,0,null_simulation,expanded_welch,Expanded Welch,500,322,0.644,12,0.037267080745341616,0.024
C2_N5_np200_nq400,C2,0,null_simulation,normal_wald,Normal Wald,500,499,0.998,54,0.10821643286573146,0.108
C2_N5_np200_nq400,C2,0,null_simulation,simple_welch,Simple Welch,500,499,0.998,54,0.10821643286573146,0.108
C2_N5_np200_nq400,C2,0,null_simulation,expanded_welch,Expanded Welch,500,469,0.938,42,0.08955223880597014,0.084
C2_N5_np400_nq200,C2,0,null_simulation,normal_wald,Normal Wald,500,499,0.998,53,0.1062124248496994,0.106
C2_N5_np400_nq200,C2,0,null_simulation,simple_welch,Simple Welch,500,499,0.998,53,0.1062124248496994,0.106
C2_N5_np400_nq200,C2,0,null_simulation,expanded_welch,Expanded Welch,500,436,0.872,10,0.022935779816513763,0.02
C2_N5_np200_nq1000,C2,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,59,0.118,0.118
C2_N5_np200_nq1000,C2,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,59,0.118,0.118
C2_N5_np200_nq1000,C2,0,null_simulation,expanded_welch,Expanded Welch,500,482,0.964,24,0.04979253112033195,0.048
C2_N5_np1000_nq200,C2,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,47,0.094,0.094
C2_N5_np1000_nq200,C2,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,47,0.094,0.094
C2_N5_np1000_nq200,C2,0,null_simulation,expanded_welch,Expanded Welch,500,427,0.854,7,0.01639344262295082,0.014
C2_N5_np200_nq2000,C2,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,243,0.486,0.486
C2_N5_np200_nq2000,C2,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,243,0.486,0.486
