method,method_label,valid_count,valid_rate,p_value_threshold_for_five_percent,calibration_key,configuration_id,power_family,n_p,n_q,replicates
normal_wald,Normal Wald,500,1.0,0.06393210501075017,balanced_mild_np50_nq100,PCAL_PCAL_balanced_mild_np50_nq100_balanced_mild_np50_nq100,balanced_mild,50,100,500
simple_welch,Simple Welch,500,1.0,0.06637576752742293,balanced_mild_np50_nq100,PCAL_PCAL_balanced_mild_np50_nq100_balanced_mild_np50_nq100,balanced_mild,50,100,500
expanded_welch,Expanded Welch,500,1.0,0.10078289427664566,balanced_mild_np50_nq100,PCAL_PCAL_balanced_mild_np50_nq100_balanced_mild_np50_nq100,balanced_mild,50,100,500
normal_wald,Normal Wald,500,1.0,0.01054227883074812,balanced_mild_np50_nq250,PCAL_PCAL_balanced_mild_np50_nq250_balanced_mild_np50_nq250,balanced_mild,50,250,500
simple_welch,Simple Welch,500,1.0,0.011206503316828995,balanced_mild_np50_nq250,PCAL_PCAL_balanced_mild_np50_nq250_balanced_mild_np50_nq250,balanced_mild,50,250,500
expanded_welch,Expanded Welch,499,0.998,0.0726111819141184,balanced_mild_np50_nq250,PCAL_PCAL_balanced_mild_np50_nq250_balanced_mild_np50_nq250,balanced_mild,50,250,500
normal_wald,Normal Wald,500,1.0,0.0025915550105793236,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,500
simple_welch,Simple Welch,500,1.0,0.0029516682478637054,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,500
expanded_welch,Expanded Welch,500,1.0,0.10475578258519566,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,500
normal_wald,Normal Wald,500,1.0,0.06811264465026148,balanced_mild_np100_nq200,PCAL_PCAL_balanced_mild_np100_nq200_balanced_mild_np100_nq200,balanced_mild,100,200,500
