configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,method,method_label,truth,replicates,valid_count,invalid_count,valid_rate,invalid_shared_statistic_count,invalid_reference_count,invalid_component_p_count,invalid_component_q_count,invalid_combined_df_count,reject_count_05,nonreject_count_05,false_positive_count_05,true_negative_count_05,true_positive_count_05,false_negative_count_05,false_positive_rate_05,true_negative_rate_05,true_positive_rate_05,false_negative_rate_05,nominal_rejection_rate_05,rejection_wilson_low_05,rejection_wilson_high_05,unconditional_rejection_rate_05,size_adjustment_p_threshold,size_adjusted_reject_count,size_adjusted_rejection_rate,size_adjusted_power,size_adjusted_fpr
P1_balanced_mild_dim0p04_n50,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np50_nq50,50,50,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,8.580460040875849,7.40420221963897,7.40420221963897,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[16.41953995912415, 8.580460040875849], [8.580460040875849, 16.41953995912415]]","[[22.59579778036103, 12.404202219638968], [7.40420221963897, 7.59579778036103]]",0.09494241304247028,0.02004819181517319,simple_welch,Simple Welch,alternative,500,500,0,1.0,0,0,0,0,0,16,484,,,16.0,484.0,,,0.032,0.968,0.032,0.019791513626571118,0.051344869045441784,0.032,0.06352287408437757,21,0.042,0.042,
P1_balanced_mild_dim0p04_n50,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np50_nq50,50,50,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,8.580460040875849,7.40420221963897,7.40420221963897,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[16.41953995912415, 8.580460040875849], [8.580460040875849, 16.41953995912415]]","[[22.59579778036103, 12.404202219638968], [7.40420221963897, 7.59579778036103]]",0.09494241304247028,0.02004819181517319,expanded_welch,Expanded Welch,alternative,500,500,0,1.0,0,0,0,0,0,13,487,,,13.0,487.0,,,0.026,0.974,0.026,0.015256383923327248,0.04397149083422428,0.026,0.08161018997283842,21,0.042,0.042,
P1_balanced_mild_dim0p04_n100,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np100_nq100,100,100,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,17.160920081751698,14.80840443927794,14.80840443927794,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[32.8390799182483, 17.160920081751698], [17.160920081751698, 32.8390799182483]]","[[45.19159556072206, 24.808404439277936], [14.80840443927794, 15.19159556072206]]",0.09494241304247028,0.02004819181517319,normal_wald,Normal Wald,alternative,500,500,0,1.0,0,0,0,0,0,70,430,,,70.0,430.0,,,0.14,0.86,0.14,0.11232266018786358,0.17316686494445405,0.14,0.07055144505548254,92,0.184,0.184,
P1_balanced_mild_dim0p04_n100,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np100_nq100,100,100,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,17.160920081751698,14.80840443927794,14.80840443927794,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[32.8390799182483, 17.160920081751698], [17.160920081751698, 32.8390799182483]]","[[45.19159556072206, 24.808404439277936], [14.80840443927794, 15.19159556072206]]",0.09494241304247028,0.02004819181517319,simple_welch,Simple Welch,alternative,500,500,0,1.0,0,0,0,0,0,65,435,,,65.0,435.0,,,0.13,0.87,0.13,0.10332065036463456,0.16232136157691412,0.13,0.07287863567529972,92,0.184,0.184,
P1_balanced_mild_dim0p04_n100,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np100_nq100,100,100,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,17.160920081751698,14.80840443927794,14.80840443927794,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[32.8390799182483, 17.160920081751698], [17.160920081751698, 32.8390799182483]]","[[45.19159556072206, 24.808404439277936], [14.80840443927794, 15.19159556072206]]",0.09494241304247028,0.02004819181517319,expanded_welch,Expanded Welch,alternative,500,500,0,1.0,0,0,0,0,0,45,455,,,45.0,455.0,,,0.09,0.91,0.09,0.0679425478891394,0.11830941128933344,0.09,0.09008712511054633,84,0.168,0.168,
P1_balanced_mild_dim0p04_n200,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np200_nq200,200,200,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,34.321840163503396,29.61680887855588,29.61680887855588,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[65.6781598364966, 34.321840163503396], [34.321840163503396, 65.6781598364966]]","[[90.38319112144411, 49.61680887855587], [29.61680887855588, 30.38319112144412]]",0.09494241304247028,0.02004819181517319,normal_wald,Normal Wald,alternative,500,500,0,1.0,0,0,0,0,0,168,332,,,168.0,332.0,,,0.336,0.6639999999999999,0.336,0.29598800782704915,0.37851277584434007,0.336,0.0645096703554834,190,0.38,0.38,
P1_balanced_mild_dim0p04_n200,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np200_nq200,200,200,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,34.321840163503396,29.61680887855588,29.61680887855588,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[65.6781598364966, 34.321840163503396], [34.321840163503396, 65.6781598364966]]","[[90.38319112144411, 49.61680887855587], [29.61680887855588, 30.38319112144412]]",0.09494241304247028,0.02004819181517319,simple_welch,Simple Welch,alternative,500,500,0,1.0,0,0,0,0,0,168,332,,,168.0,332.0,,,0.336,0.6639999999999999,0.336,0.29598800782704915,0.37851277584434007,0.336,0.0654920581510868,190,0.38,0.38,
P1_balanced_mild_dim0p04_n200,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np200_nq200,200,200,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,34.321840163503396,29.61680887855588,29.61680887855588,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[65.6781598364966, 34.321840163503396], [34.321840163503396, 65.6781598364966]]","[[90.38319112144411, 49.61680887855587], [29.61680887855588, 30.38319112144412]]",0.09494241304247028,0.02004819181517319,expanded_welch,Expanded Welch,alternative,500,500,0,1.0,0,0,0,0,0,128,372,,,128.0,372.0,,,0.256,0.744,0.256,0.21970770819171886,0.2960129699535187,0.256,0.07656799669298858,177,0.354,0.354,
P1_balanced_mild_dim0p04_n500,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np500_nq500,500,500,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,85.80460040875847,74.0420221963897,74.0420221963897,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[164.1953995912415, 85.80460040875847], [85.80460040875847, 164.1953995912415]]","[[225.9579778036103, 124.04202219638968], [74.0420221963897, 75.9579778036103]]",0.09494241304247028,0.02004819181517319,normal_wald,Normal Wald,alternative,500,500,0,1.0,0,0,0,0,0,395,105,,,395.0,105.0,,,0.79,0.20999999999999996,0.79,0.7521551530407024,0.8234227294915976,0.79,0.061103342168430226,409,0.818,0.818,
P1_balanced_mild_dim0p04_n500,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np500_nq500,500,500,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,85.80460040875847,74.0420221963897,74.0420221963897,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[164.1953995912415, 85.80460040875847], [85.80460040875847, 164.1953995912415]]","[[225.9579778036103, 124.04202219638968], [74.0420221963897, 75.9579778036103]]",0.09494241304247028,0.02004819181517319,simple_welch,Simple Welch,alternative,500,500,0,1.0,0,0,0,0,0,395,105,,,395.0,105.0,,,0.79,0.20999999999999996,0.79,0.7521551530407024,0.8234227294915976,0.79,0.061422669720715056,409,0.818,0.818,
