scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,fpr_05,fpr_01
config_3x3_d2_p00,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,0,0.1,213122510,200,normal_wald,Normal Wald,200,1.0,0.145,0.06,0.01
config_3x3_d2_p00,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,0,0.1,213122510,200,simple_welch,Simple Welch,200,1.0,0.13,0.05,0.005
config_3x3_d2_p00,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,0,0.1,213122510,200,expanded_welch,Expanded Welch,197,0.985,0.08629441624365482,0.04060913705583756,0.005076142131979695
config_3x3_d2_p00,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,0,0.1,213122510,200,constrained_lrt,Constrained LRT,200,1.0,0.12,0.03,0.015
config_3x3_d2_p01,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,1,0.1,987803893,200,normal_wald,Normal Wald,200,1.0,0.135,0.06,0.015
config_3x3_d2_p01,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,1,0.1,987803893,200,simple_welch,Simple Welch,200,1.0,0.125,0.055,0.015
config_3x3_d2_p01,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,1,0.1,987803893,200,expanded_welch,Expanded Welch,198,0.99,0.10606060606060606,0.045454545454545456,0.015151515151515152
config_3x3_d2_p01,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,1,0.1,987803893,200,constrained_lrt,Constrained LRT,200,1.0,0.125,0.065,0.01
config_3x3_d2_p02,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,2,0.1,1859956424,200,normal_wald,Normal Wald,200,1.0,0.115,0.08,0.01
config_3x3_d2_p02,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,2,0.1,1859956424,200,simple_welch,Simple Welch,200,1.0,0.115,0.075,0.01
config_3x3_d2_p02,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,2,0.1,1859956424,200,expanded_welch,Expanded Welch,198,0.99,0.1111111111111111,0.06565656565656566,0.005050505050505051
config_3x3_d2_p02,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,2,0.1,1859956424,200,constrained_lrt,Constrained LRT,200,1.0,0.115,0.08,0.01
config_3x3_d2_p03,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,3,0.1,3636084341,200,normal_wald,Normal Wald,200,1.0,0.125,0.07,0.015
config_3x3_d2_p03,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,3,0.1,3636084341,200,simple_welch,Simple Welch,200,1.0,0.12,0.055,0.005
config_3x3_d2_p03,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,3,0.1,3636084341,200,expanded_welch,Expanded Welch,195,0.975,0.10256410256410256,0.041025641025641026,0.005128205128205128
config_3x3_d2_p03,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,3,0.1,3636084341,200,constrained_lrt,Constrained LRT,200,1.0,0.12,0.055,0.005
config_3x3_d2_p04,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,4,0.1,3143832062,200,normal_wald,Normal Wald,200,1.0,0.15,0.095,0.015
config_3x3_d2_p04,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,4,0.1,3143832062,200,simple_welch,Simple Welch,200,1.0,0.145,0.095,0.01
config_3x3_d2_p04,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,4,0.1,3143832062,200,expanded_welch,Expanded Welch,196,0.98,0.12755102040816327,0.08673469387755102,0.00510204081632653
config_3x3_d2_p04,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,4,0.1,3143832062,200,constrained_lrt,Constrained LRT,200,1.0,0.14,0.075,0.005
config_3x3_d2_p05,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,5,0.1,2695658763,200,normal_wald,Normal Wald,200,1.0,0.155,0.125,0.025
config_3x3_d2_p05,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,5,0.1,2695658763,200,simple_welch,Simple Welch,200,1.0,0.15,0.12,0.025
config_3x3_d2_p05,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,5,0.1,2695658763,200,expanded_welch,Expanded Welch,193,0.965,0.13471502590673576,0.08808290155440414,0.025906735751295335
config_3x3_d2_p05,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,5,0.1,2695658763,200,constrained_lrt,Constrained LRT,200,1.0,0.155,0.095,0.01
config_3x3_d2_p06,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,6,0.1,1557391183,200,normal_wald,Normal Wald,200,1.0,0.13,0.065,0.005
config_3x3_d2_p06,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,6,0.1,1557391183,200,simple_welch,Simple Welch,200,1.0,0.13,0.055,0.005
config_3x3_d2_p06,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,6,0.1,1557391183,200,expanded_welch,Expanded Welch,197,0.985,0.1218274111675127,0.050761421319796954,0.005076142131979695
config_3x3_d2_p06,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,6,0.1,1557391183,200,constrained_lrt,Constrained LRT,200,1.0,0.14,0.05,0.005
config_3x3_d2_p07,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,7,0.1,187206401,200,normal_wald,Normal Wald,200,1.0,0.115,0.06,0.015
config_3x3_d2_p07,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,7,0.1,187206401,200,simple_welch,Simple Welch,200,1.0,0.105,0.05,0.0
config_3x3_d2_p07,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,7,0.1,187206401,200,expanded_welch,Expanded Welch,196,0.98,0.07653061224489796,0.04081632653061224,0.0
config_3x3_d2_p07,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,7,0.1,187206401,200,constrained_lrt,Constrained LRT,200,1.0,0.115,0.055,0.015
config_3x3_d2_p08,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,8,0.1,3633303702,200,normal_wald,Normal Wald,200,1.0,0.17,0.095,0.005
config_3x3_d2_p08,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,8,0.1,3633303702,200,simple_welch,Simple Welch,200,1.0,0.16,0.095,0.005
config_3x3_d2_p08,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,8,0.1,3633303702,200,expanded_welch,Expanded Welch,199,0.995,0.1457286432160804,0.08040201005025126,0.005025125628140704
config_3x3_d2_p08,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,8,0.1,3633303702,200,constrained_lrt,Constrained LRT,200,1.0,0.155,0.095,0.005
config_3x3_d2_p09,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,9,0.1,4049904546,200,normal_wald,Normal Wald,200,1.0,0.155,0.12,0.025
config_3x3_d2_p09,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,9,0.1,4049904546,200,simple_welch,Simple Welch,200,1.0,0.15,0.115,0.015
config_3x3_d2_p09,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,9,0.1,4049904546,200,expanded_welch,Expanded Welch,191,0.955,0.13612565445026178,0.09947643979057591,0.010471204188481676
config_3x3_d2_p09,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,9,0.1,4049904546,200,constrained_lrt,Constrained LRT,200,1.0,0.17,0.105,0.005
