method,method_label,configurations,mean_valid_rate,mean_fpr_10,configuration_mae_10,wins_vs_normal_10,mean_fpr_05,configuration_mae_05,wins_vs_normal_05,mean_fpr_01,configuration_mae_01,wins_vs_normal_01
normal_wald,Normal Wald,1,1.0,0.16999999999999998,0.06999999999999998,0,0.12,0.06999999999999999,0,0.07300000000000001,0.06300000000000001,0
simple_welch,Simple Welch,1,1.0,0.16499999999999998,0.06499999999999997,1,0.11499999999999999,0.06499999999999999,1,0.07300000000000001,0.06300000000000001,0
expanded_welch,Expanded Welch,1,0.991,0.11418359798578515,0.01418359798578514,1,0.07986348087687999,0.029863480876879983,1,0.057604282158747744,0.04760428215874774,1
constrained_lrt,Constrained LRT,1,1.0,0.125,0.024999999999999994,1,0.072,0.021999999999999992,1,0.012,0.002,1
