configuration_id,shape,alphabet_size,cells,regime,regime_label,sample_size_p,sample_size_q,observations_per_cell,stage,true_mi_p,true_mi_q,true_mi_difference,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,absolute_calibration_error
8x8_ultra_n75,8x8,8,64,ultra,Ultra-skewed margins,75,75,1.171875,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,250,247,0.988,25,0.10121457489878542,0.06950052391214398,0.14514285710558858,
8x8_ultra_n75,8x8,8,64,ultra,Ultra-skewed margins,75,75,1.171875,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,250,250,1.0,17,0.068,0.04288591857836033,0.10618925218570377,0.018000000000000002
8x8_ultra_n75,8x8,8,64,ultra,Ultra-skewed margins,75,75,1.171875,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,250,243,0.972,21,0.08641975308641975,0.05721756567899235,0.12849458753751167,0.036419753086419746
8x8_ultra_n75,8x8,8,64,ultra,Ultra-skewed margins,75,75,1.171875,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,250,249,0.996,25,0.10040160642570281,0.06893449756720388,0.1440110338809298,0.05040160642570281
8x8_ultra_n100,8x8,8,64,ultra,Ultra-skewed margins,100,100,1.5625,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,250,250,1.0,21,0.084,0.05559603876664466,0.12499486641356522,
8x8_ultra_n100,8x8,8,64,ultra,Ultra-skewed margins,100,100,1.5625,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,250,244,0.976,20,0.08196721311475409,0.053685827895506286,0.12320733206774305,
8x8_ultra_n100,8x8,8,64,ultra,Ultra-skewed margins,100,100,1.5625,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,250,249,0.996,28,0.11244979919678715,0.07895491715176695,0.15772089978034262,
8x8_ultra_n100,8x8,8,64,ultra,Ultra-skewed margins,100,100,1.5625,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,250,250,1.0,11,0.044,0.02474379816749356,0.07705777097235189,0.006000000000000005
8x8_ultra_n100,8x8,8,64,ultra,Ultra-skewed margins,100,100,1.5625,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,250,242,0.968,11,0.045454545454545456,0.025567827011840787,0.07954649725492882,0.004545454545454547
8x8_ultra_n100,8x8,8,64,ultra,Ultra-skewed margins,100,100,1.5625,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,250,250,1.0,25,0.1,0.06865492898829106,0.14345171060806458,0.05
8x8_ultra_n150,8x8,8,64,ultra,Ultra-skewed margins,150,150,2.34375,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,250,250,1.0,35,0.14,0.1024162573102742,0.1884797183264459,
8x8_ultra_n150,8x8,8,64,ultra,Ultra-skewed margins,150,150,2.34375,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,250,249,0.996,29,0.11646586345381527,0.08232604241002012,0.16225986968341474,
8x8_ultra_n150,8x8,8,64,ultra,Ultra-skewed margins,150,150,2.34375,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,250,250,1.0,39,0.156,0.11626576522540502,0.20614594482746082,
8x8_ultra_n150,8x8,8,64,ultra,Ultra-skewed margins,150,150,2.34375,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,250,249,0.996,17,0.06827309236947791,0.04305992425225368,0.10660484590527769,0.01827309236947791
