configuration_id,experiment,block,stream,method,method_label,replicates,valid_count,valid_rate,reject_count_05,rejection_rate_valid_05,unconditional_rejection_rate_05
C1_N3_n50,C1,2,null_simulation,expanded_welch,Expanded Welch,10000,9938,0.9938,191,0.019219158784463675,0.0191
C1_N3_n50,C1,3,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,280,0.028,0.028
C1_N3_n50,C1,3,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,259,0.0259,0.0259
C1_N3_n50,C1,3,null_simulation,expanded_welch,Expanded Welch,10000,9957,0.9957,157,0.015767801546650598,0.0157
C1_N3_n50,C1,4,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,309,0.0309,0.0309
C1_N3_n50,C1,4,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,281,0.0281,0.0281
C1_N3_n50,C1,4,null_simulation,expanded_welch,Expanded Welch,10000,9948,0.9948,189,0.018998793727382387,0.0189
C1_N6_n100,C1,0,null_simulation,normal_wald,Normal Wald,10000,9999,0.9999,621,0.062106210621062106,0.0621
C1_N6_n100,C1,0,null_simulation,simple_welch,Simple Welch,10000,9999,0.9999,592,0.05920592059205921,0.0592
C1_N6_n100,C1,0,null_simulation,expanded_welch,Expanded Welch,10000,9939,0.9939,64,0.006439279605594124,0.0064
C1_N6_n100,C1,1,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,654,0.0654,0.0654
C1_N6_n100,C1,1,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,625,0.0625,0.0625
C1_N6_n100,C1,1,null_simulation,expanded_welch,Expanded Welch,10000,9954,0.9954,65,0.006530038175607796,0.0065
C1_N6_n100,C1,2,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,679,0.0679,0.0679
C1_N6_n100,C1,2,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,658,0.0658,0.0658
C1_N6_n100,C1,2,null_simulation,expanded_welch,Expanded Welch,10000,9944,0.9944,54,0.005430410297666935,0.0054
C1_N6_n100,C1,3,null_simulation,normal_wald,Normal Wald,10000,9999,0.9999,623,0.06230623062306231,0.0623
C1_N6_n100,C1,3,null_simulation,simple_welch,Simple Welch,10000,9999,0.9999,594,0.0594059405940594,0.0594
C1_N6_n100,C1,3,null_simulation,expanded_welch,Expanded Welch,10000,9948,0.9948,56,0.0056292722155207075,0.0056
C1_N6_n100,C1,4,null_simulation,normal_wald,Normal Wald,10000,9998,0.9998,670,0.06701340268053611,0.067
C1_N6_n100,C1,4,null_simulation,simple_welch,Simple Welch,10000,9998,0.9998,651,0.0651130226045209,0.0651
C1_N6_n100,C1,4,null_simulation,expanded_welch,Expanded Welch,10000,9940,0.994,86,0.008651911468812877,0.0086
