scenario_id,regime,regime_label,rows,columns,n_p,n_q,target_mi,method,replicates,valid_replicates,valid_rate,fpr_05,fpr_05_low,fpr_05_high,absolute_fpr_error_05,median_runtime_ms,p95_runtime_ms
strong_null_2x2_d-2,strong_null,Strong null (P = Q),2,2,200,200,0.1,normal_wald,300,300,1.0,0.07666666666666666,0.05162761178660749,0.11241010385017483,0.026666666666666658,0.18027052283287048,0.19369163783267143
strong_null_2x2_d-2,strong_null,Strong null (P = Q),2,2,200,200,0.1,expanded_welch,300,300,1.0,0.07333333333333333,0.04892399383922861,0.10853134160571737,0.02333333333333333,0.18027052283287048,0.19369163783267143
strong_null_2x2_d-2,strong_null,Strong null (P = Q),2,2,200,200,0.1,constrained_lr,300,300,1.0,0.08,0.054346855395144764,0.11627324043347391,0.03,4.256937536410987,4.543060262221843
strong_null_2x2_d-2,strong_null,Strong null (P = Q),2,2,200,200,0.1,student_permutation,300,300,1.0,0.06666666666666667,0.04356751554515827,0.10072305951611497,0.016666666666666663,0.5608960054814816,0.5928882281295956
strong_null_2x2_d-1,strong_null,Strong null (P = Q),2,2,100,200,0.15,normal_wald,300,300,1.0,0.06666666666666667,0.04356751554515827,0.10072305951611497,0.016666666666666663,0.17987494356930256,0.18979418091475964
strong_null_2x2_d-1,strong_null,Strong null (P = Q),2,2,100,200,0.15,expanded_welch,300,300,1.0,0.06,0.03828636952469206,0.09283944515290846,0.009999999999999995,0.17987494356930256,0.18979418091475964
strong_null_2x2_d-1,strong_null,Strong null (P = Q),2,2,100,200,0.15,constrained_lr,300,300,1.0,0.056666666666666664,0.035677476463289524,0.08886595802247463,0.006666666666666661,4.016083083115518,4.3123912531882524
strong_null_2x2_d-1,strong_null,Strong null (P = Q),2,2,100,200,0.15,student_permutation,300,300,1.0,0.05,0.030531640629347285,0.08084703347274416,0.0,0.5603540921583772,0.5828017950989306
fixed_2x2_d0,well_sampled,Well sampled,2,2,200,200,0.1,normal_wald,300,300,1.0,0.043333333333333335,0.025496448084407243,0.07271746563401146,0.006666666666666668,0.18174992874264717,0.22313555236905813
fixed_2x2_d0,well_sampled,Well sampled,2,2,200,200,0.1,expanded_welch,300,300,1.0,0.03666666666666667,0.02059530516285303,0.06445384817189297,0.013333333333333336,0.18174992874264717,0.22313555236905813
fixed_2x2_d0,well_sampled,Well sampled,2,2,200,200,0.1,constrained_lr,300,300,1.0,0.043333333333333335,0.025496448084407243,0.07271746563401146,0.006666666666666668,5.417208536528051,10.514741356018932
fixed_2x2_d0,well_sampled,Well sampled,2,2,200,200,0.1,student_permutation,300,300,1.0,0.61,0.553748567961591,0.6634699783690088,0.5599999999999999,0.5636455025523901,0.7381066330708564
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,normal_wald,300,300,1.0,0.07333333333333333,0.04892399383922861,0.10853134160571737,0.02333333333333333,0.18077052664011717,0.20566030871123075
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,expanded_welch,300,300,1.0,0.06666666666666667,0.04356751554515827,0.10072305951611497,0.016666666666666663,0.18077052664011717,0.20566030871123075
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,constrained_lr,300,300,1.0,0.07333333333333333,0.04892399383922861,0.10853134160571737,0.02333333333333333,4.299500025808811,4.778968240134418
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,student_permutation,300,300,1.0,0.07333333333333333,0.04892399383922861,0.10853134160571737,0.02333333333333333,0.5626664496958256,0.6427045562304556
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,normal_wald,300,300,1.0,0.07333333333333333,0.04892399383922861,0.10853134160571737,0.02333333333333333,0.18458301201462746,0.2347098430618644
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,expanded_welch,300,300,1.0,0.06666666666666667,0.04356751554515827,0.10072305951611497,0.016666666666666663,0.18458301201462746,0.2347098430618644
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,constrained_lr,300,300,1.0,0.08,0.054346855395144764,0.11627324043347391,0.03,5.38258405867964,9.479540213942528
