scenario_id,family,rows,columns,n_p,n_q,margin_p,margin_q,target_mi_p,target_mi_q,regular,pattern_p,pattern_q,true_mi_p,true_mi_q,true_delta_x,association_p,association_q,min_probability_p,min_probability_q,min_expected_p,min_expected_q,different_distributions_l1,scenario_seconds,replicates_x,probability_p_json,probability_q_json,scenario_seed,replicates_y,true_delta_y,mean_zero_cells_p,mean_zero_cells_q,studentization_valid_rate,mean_deterministic_ms,mean_permutation_ms,wald_jackknife_95_coverage,mean_delta_plugin_bias,mean_delta_jackknife_bias,naive_perm_plugin_fpr_10,naive_perm_plugin_fpr_10_low,naive_perm_plugin_fpr_10_high,naive_perm_plugin_valid_n,naive_perm_plugin_fpr_05,naive_perm_plugin_fpr_05_low,naive_perm_plugin_fpr_05_high,student_perm_plugin_fpr_10,student_perm_plugin_fpr_10_low,student_perm_plugin_fpr_10_high,student_perm_plugin_valid_n,student_perm_plugin_fpr_05,student_perm_plugin_fpr_05_low,student_perm_plugin_fpr_05_high,student_perm_jackknife_fpr_10,student_perm_jackknife_fpr_10_low,student_perm_jackknife_fpr_10_high,student_perm_jackknife_valid_n,student_perm_jackknife_fpr_05,student_perm_jackknife_fpr_05_low,student_perm_jackknife_fpr_05_high,wald_plugin_fpr_10,wald_plugin_fpr_10_low,wald_plugin_fpr_10_high,wald_plugin_valid_n,wald_plugin_fpr_05,wald_plugin_fpr_05_low,wald_plugin_fpr_05_high,wald_jackknife_fpr_10,wald_jackknife_fpr_10_low,wald_jackknife_fpr_10_high,wald_jackknife_valid_n,wald_jackknife_fpr_05,wald_jackknife_fpr_05_low,wald_jackknife_fpr_05_high
adv_strong_3x5_cyclic_400,strong_null,3,5,400,400,mild,mild,0.08,0.08,True,cyclic,cyclic,0.08000000000000074,0.08000000000000074,0.0,0.7431125430062024,0.7431125430062024,0.006700187957584974,0.006700187957584974,2.6800751830339897,2.6800751830339897,0.0,3.8906923331087455,2000,"[[0.5593883914717586, 0.04551147944303205, 0.024794324821128994, 0.024794324821128994, 0.04551147944303204], [0.07030580426412077, 0.022788332599383003, 0.03417012412379402, 0.016035551055077018, 0.006700187957584974], [0.07030580426412075, 0.006700187957584974, 0.01603555105507703, 0.03417012412379403, 0.022788332599383006]]","[[0.5593883914717586, 0.04551147944303205, 0.024794324821128994, 0.024794324821128994, 0.04551147944303204], [0.07030580426412077, 0.022788332599383003, 0.03417012412379402, 0.016035551055077018, 0.006700187957584974], [0.07030580426412075, 0.006700187957584974, 0.01603555105507703, 0.03417012412379403, 0.022788332599383006]]",439674977,2000,0.0,0.138,0.16,1.0,0.11614737444324419,1.8127447541919537,0.956,0.000499906848498227,0.00045832427795761534,0.094,0.08197718067883394,0.10757946171354346,2000,0.0445,0.03630266512840683,0.0544437649448146,0.096,0.08385284395816954,0.10969613024508283,2000,0.046,0.037657023359311106,0.05608365557206657,0.0945,0.0824459344854886,0.10810879085960755,2000,0.0465,0.03810906851120825,0.05662969337288816,0.0925,0.08057157812198121,0.10599081541223995,2000,0.044,0.035851820416416526,0.05389652670408616,0.0935,0.08150853615947415,0.10705002328018451,2000,0.044,0.035851820416416526,0.05389652670408616
adv_weak_2x3_bal_strong_150_300,weak_null,2,3,150,300,balanced,strong,0.05,0.05,True,ordinal,cyclic,0.05000000000001137,0.050000000000000044,1.1324274851176597e-14,0.4028385448080917,0.8496110174486414,0.10293748197177086,0.022646337749061402,15.440622295765628,6.793901324718421,1.229793648273204,2.2704287921078503,2000,"[[0.2303958513615625, 0.16666666666666669, 0.10293748197177086], [0.10293748197177086, 0.16666666666666669, 0.2303958513615625]]","[[0.8452926754981643, 0.027353662250938573, 0.027353662250938566], [0.05470732450183553, 0.022646337749061402, 0.022646337749061413]]",4185501219,2000,1.1324274851176597e-14,0.0,0.003,1.0,0.11525096377590671,1.0051565720350482,0.9575,0.0033045133940324636,7.896341648494776e-05,0.0165,0.011772823607253374,0.02308096111371822,2000,0.0055,0.0030738970095438183,0.009822062751615335,0.0905,0.0786990086182521,0.10387105310509406,2000,0.038,0.0304675999287419,0.047303751759135815,0.083,0.07169373071300193,0.09590508671956303,2000,0.042,0.0340516147420547,0.051704400567572986,0.0925,0.08057157812198121,0.10599081541223995,2000,0.0385,0.030914327616604755,0.047855107023991705,0.0875,0.07589362184323718,0.10068794216379649,2000,0.0425,0.03450117971009799,0.05225291855224845
adv_weak_3x5_bal_mild_300_600,weak_null,3,5,300,600,balanced,mild,0.08,0.08,True,cyclic,checkerboard,0.07999999999999408,0.07999999999999963,-5.551115123125783e-15,0.583753420383024,0.6474061006019919,0.03486281800290941,0.006082411430241828,10.458845400872823,3.6494468581450965,1.037178749312374,3.8588724590372294,2000,"[[0.10912097275022012, 0.07393989377264236, 0.03816628651890781, 0.03816628651890781, 0.07393989377264236], [0.045439513624889946, 0.09119728822444818, 0.10427789365849084, 0.05755581982260131, 0.03486281800290942], [0.045439513624889925, 0.03486281800290941, 0.05755581982260132, 0.10427789365849084, 0.0911972882244482]]","[[0.5297195043008862, 0.028384586674471877, 0.05675566117509496, 0.028384586674471877, 0.05675566117509496], [0.05676917334892371, 0.04053300189528414, 0.006082411430241828, 0.04053300189528414, 0.006082411430241828], [0.11351132235018992, 0.006082411430243975, 0.012161927394663208, 0.006082411430243975, 0.012161927394663208]]",248006712,2000,-5.551115123125783e-15,0.0,0.097,1.0,0.11738411482656375,1.7955823732190765,0.95,0.006461848080970409,5.6785339204461495e-05,0.091,0.0791669806173058,0.10440116405875911,2000,0.0445,0.03630266512840683,0.0544437649448146,0.099,0.08666951249362448,0.11286795942594038,2000,0.0535,0.04446618753651598,0.0642457356856429,0.0935,0.08150853615947415,0.10705002328018451,2000,0.0505,0.041735473261678015,0.060987952244168385,0.0995,0.08713931829845581,0.1133962365738278,2000,0.054,0.044922154875820214,0.06478785129905741,0.0925,0.08057157812198121,0.10599081541223995,2000,0.05,0.04128123361873175,0.060444108934395904
adv_weak_5x10_mild_strong_1000_2000,weak_null,5,10,1000,2000,mild,strong,0.1,0.1,False,checkerboard,cyclic,0.10000000000000075,0.10000000000000614,-5.384581669432009e-15,0.7095964378697475,1.5653230564207947,0.0011428721019417153,8.22578340801815e-05,1.1428721019417154,0.164515668160363,0.6510478863517755,10.75457362504676,2000,"[[0.5369406590622512, 0.012156985937574452, 0.02556860281248816, 0.012156985937574452, 0.02556860281248816, 0.012156985937574452, 0.02556860281248816, 0.012156985937574452, 0.02556860281248816, 0.012156985937574452], [0.024000314140776014, 0.00928563949028218, 0.0011428721019417153, 0.00928563949028218, 0.0011428721019417153, 0.00928563949028218, 0.0011428721019417153, 0.00928563949028218, 0.0011428721019417153, 0.00928563949028218], [0.05752935632809835, 0.001302534207597263, 0.0027394931584808747, 0.001302534207597263, 0.0027394931584808747, 0.001302534207597263, 0.0027394931584808747, 0.001302534207597263, 0.0027394931584808747, 0.001302534207597263], [0.024000314140776014, 0.00928563949028218, 0.0011428721019417153, 0.00928563949028218, 0.0011428721019417153, 0.00928563949028218, 0.0011428721019417153, 0.00928563949028218, 0.0011428721019417153, 0.00928563949028218], [0.05752935632809835, 0.001302534207597263, 0.0027394931584808747, 0.001302534207597263, 0.0027394931584808747, 0.001302534207597263, 0.0027394931584808747, 0.001302534207597263, 0.0027394931584808747, 0.001302534207597263]]","[[0.8477205027131454, 0.010003175934598811, 0.008097707973246994, 0.004729491504351385, 0.0024033797439566513, 0.0018119869746249472, 0.002403379743956651, 0.004729491504351383, 0.008097707973246993, 0.010003175934598811], [0.019168797326120222, 0.0006671416402072989, 0.0015928695660933838, 0.0018152923612138223, 0.0009224748339829976, 0.0003564291174210348, 0.00016028856384285356, 0.00010694405032362008, 9.384048909969965e-05, 0.0001159220516909674], [0.006970951317307069, 0.00024261365053384682, 0.0011302940084978645, 0.003799231467317177, 0.005694317297316234, 0.004293132950822045, 0.0019306506720123723, 0.0006601517279051017, 0.00019639907417316505, 8.22578340801815e-05], [0.006970951317307069, 8.22578340801815e-05, 0.00019639907417316502, 0.0006601517279051016, 0.0019306506720123725, 0.004293132950822045, 0.005694317297316233, 0.0037992314673171777, 0.0011302940084978645, 0.00024261365053384682], [0.01916879732612022, 0.00011592205169096743, 9.384048909969965e-05, 0.00010694405032362009, 0.0001602885638428536, 0.0003564291174210349, 0.0009224748339829976, 0.0018152923612138232, 0.0015928695660933844, 0.0006671416402072991]]",3196348044,2000,-5.384581669432009e-15,5.773,13.423,1.0,0.12391077494248748,5.232313270505983,0.942,0.011340090586267032,-0.0011782323956131377,0.1485,0.1335898638544925,0.16475782038422832,2000,0.069,0.05869826979779586,0.08095422495864418,0.124,0.11027238735125347,0.13916923220424876,2000,0.058,0.04857807145401383,0.06911659834261377,0.1125,0.0993880002011944,0.12709771144177665,2000,0.0665,0.05639044543582205,0.07827163455702424,0.1535,0.13836748355495532,0.169961030210953,2000,0.07,0.059622576070820776,0.08202608459105676,0.104,0.09137205082544922,0.11814625062130313,2000,0.058,0.04857807145401383,0.06911659834261377
adv_weak_10x10_bal_mild_2000_4000,weak_null,10,10,2000,4000,balanced,mild,0.15,0.15,True,cyclic,checkerboard,0.15000000000000124,0.150000000000027,-2.5757174171303632e-14,0.8222886478916974,0.8664409578788781,0.003735592708273007,0.00042176947242802455,7.471185416546014,1.6870778897120982,1.40224974165515,18.36761241708882,2000,"[[0.01934596348094851, 0.016534359912435934, 0.010960482570079415, 0.006593563709615344, 0.004370815713258544, 0.0037355927082730078, 0.004370815713258545, 0.006593563709615344, 0.010960482570079418, 0.01653435991243594], [0.016534359912435934, 0.01934596348094851, 0.016534359912435934, 0.010960482570079415, 0.006593563709615345, 0.004370815713258544, 0.003735592708273008, 0.004370815713258545, 0.006593563709615346, 0.010960482570079418], [0.010960482570079417, 0.016534359912435938, 0.019345963480948514, 0.016534359912435938, 0.010960482570079417, 0.006593563709615346, 0.004370815713258545, 0.003735592708273009, 0.004370815713258546, 0.006593563709615347], [0.006593563709615346, 0.010960482570079417, 0.016534359912435938, 0.019345963480948514, 0.016534359912435938, 0.010960482570079417, 0.006593563709615347, 0.004370815713258545, 0.00373559270827301, 0.004370815713258546], [0.0043708157132585435, 0.006593563709615343, 0.010960482570079413, 0.01653435991243593, 0.019345963480948507, 0.01653435991243593, 0.010960482570079415, 0.006593563709615345, 0.004370815713258545, 0.003735592708273008], [0.003735592708273007, 0.0043708157132585435, 0.006593563709615343, 0.010960482570079413, 0.01653435991243593, 0.019345963480948507, 0.016534359912435934, 0.010960482570079415, 0.006593563709615347, 0.004370815713258545], [0.004370815713258544, 0.0037355927082730073, 0.004370815713258544, 0.006593563709615344, 0.010960482570079415, 0.016534359912435934, 0.019345963480948514, 0.016534359912435938, 0.010960482570079418, 0.006593563709615348], [0.006593563709615343, 0.004370815713258544, 0.0037355927082730073, 0.004370815713258544, 0.006593563709615345, 0.010960482570079415, 0.016534359912435938, 0.019345963480948514, 0.01653435991243594, 0.010960482570079418], [0.010960482570079415, 0.006593563709615342, 0.004370815713258544, 0.0037355927082730073, 0.004370815713258544, 0.006593563709615345, 0.010960482570079417, 0.016534359912435938, 0.019345963480948518, 0.01653435991243594], [0.016534359912435934, 0.010960482570079415, 0.006593563709615342, 0.004370815713258544, 0.0037355927082730078, 0.004370815713258544, 0.006593563709615346, 0.010960482570079417, 0.01653435991243594, 0.019345963480948518]]","[[0.5507999325318483, 0.008857158920996604, 0.026228568215802307, 0.008857158920996604, 0.026228568215802307, 0.008857158920996604, 0.026228568215802307, 0.008857158920996604, 0.026228568215802307, 0.008857158920996604], [0.008857158920988512, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622], [0.026228568215802307, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098], [0.008857158920988512, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622], [0.026228568215802307, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098], [0.008857158920988512, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622], [0.026228568215802307, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098], [0.008857158920988512, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622], [0.026228568215802307, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098, 0.0012489794388477293, 0.0004217694724284098], [0.008857158920988512, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622, 0.00042176947242802455, 0.004557819304524622]]",3534115336,2000,-2.5757174171303632e-14,0.01,7.454,1.0,0.13225558784324676,9.020505780470558,0.955,0.009213753686507804,-0.0001991509823375779,0.065,0.055007837621403224,0.07665999351328683,2000,0.0255,0.019447915824308687,0.03337136204560035,0.094,0.08197718067883394,0.10757946171354346,2000,0.0465,0.03810906851120825,0.05662969337288816,0.101,0.08854934092540727,0.11498046280503259,2000,0.047,0.03856140236516857,0.05717544247164659,0.158,0.14267232159440152,0.17463893874597552,2000,0.089,0.07729578599356496,0.10228002687162496,0.098,0.0857302075571977,0.11181109845692967,2000,0.045,0.036753817044713276,0.054990695981226904
adv_weak_5x5_same_margin_structure,weak_null,5,5,600,600,mild,mild,0.1,0.1,True,ordinal,cyclic,0.10000000000000009,0.09999999999999987,2.220446049250313e-16,0.999479546084054,0.8666909994683085,0.004268374171104369,0.0026526326970480294,2.561024502662621,1.5915796182288175,0.21120812257526056,5.981456500012428,2000,"[[0.5605974799588306, 0.05238142223642898, 0.04153423299269965, 0.02867298701198395, 0.016813877800156116], [0.05238142223641679, 0.006283773809266327, 0.006396855868849423, 0.0056695739143585114, 0.00426837417111067], [0.04153423299267407, 0.006396855868846972, 0.008360450889577415, 0.00951328853818371, 0.009195171710704879], [0.0286729870119512, 0.005669573914353355, 0.009513288538178701, 0.013897886192866185, 0.017246264342617425], [0.016813877800127386, 0.004268374171104369, 0.00919517171069483, 0.01724626434260765, 0.027476311975410925]]","[[0.5588650355309751, 0.04633005714417135, 0.02423742509037492, 0.02423742509037492, 0.04633005714417134], [0.04633005714415927, 0.01272299981127224, 0.009637286684934632, 0.0036570236625821906, 0.00265263269704803], [0.024237425090353218, 0.009637286684928515, 0.02418192247294803, 0.013286342089160233, 0.0036570236625798704], [0.024237425090353218, 0.0036570236625798696, 0.013286342089160233, 0.02418192247294803, 0.009637286684928517], [0.04633005714415926, 0.0026526326970480294, 0.0036570236625821906, 0.009637286684934632, 0.012722999811272243]]",2899310836,2000,2.220446049250313e-16,0.301,0.8885,1.0,0.12163370120106265,2.8509720197762363,0.952,0.0004562880823223492,0.0004165552189217632,0.137,0.12262476751977998,0.1527670088064097,2000,0.071,0.060547534781726836,0.0830972917855882,0.106,0.09325577694146078,0.12025485631616653,2000,0.0545,0.0453783561535632,0.06532973297403318,0.11,0.09702766640529695,0.12446763047408035,2000,0.0535,0.04446618753651598,0.0642457356856429,0.0945,0.0824459344854886,0.10810879085960755,2000,0.05,0.04128123361873175,0.060444108934395904,0.0995,0.08713931829845581,0.1133962365738278,2000,0.048,0.03946691899074103,0.05826609175151163
adv_weak_10x10_same_margin_structure,weak_null,10,10,2000,2000,strong,strong,0.1,0.1,False,ordinal,cyclic,0.10000000000000031,0.10000000000000142,-1.1102230246251565e-15,2.100846412768192,1.6124074431164297,2.4582041065116324e-05,3.1158891318469405e-05,0.04916408213023265,0.06231778263693881,0.11892682081288891,21.531301041017286,2000,"[[0.8470417503164663, 0.010171099867056152, 0.00971495693127441, 0.008990632522393856, 0.007886716905134412, 0.006359685632142391, 0.004566123116452141, 0.0028701040804358395, 0.0015942010816684838, 0.0008047295470547441], [0.010171099867055125, 0.00013548372199397423, 0.00014355429116357513, 0.00014737426270554046, 0.00014341142443908433, 0.00012828599436626157, 0.00010217562727271153, 7.124484410436376e-05, 4.3899036945818e-05, 2.4582041065286255e-05], [0.009714956931271588, 0.00014355429116354794, 0.00016873350894626928, 0.0001921599616570097, 0.00020743455617306685, 0.00020584138758306494, 0.00018186824148627077, 0.0001406757030982147, 9.615607903307138e-05, 5.973045069899832e-05], [0.008990632522388103, 0.00014737426270546104, 0.00019215996165694257, 0.0002427619222474176, 0.0002907065852239782, 0.0003200092729050037, 0.00031364822114536805, 0.0002691294071087634, 0.00020406799849917407, 0.0001406209572297103], [0.007886716905124557, 0.00014341142443891964, 0.0002074345561728679, 0.00029070658522380096, 0.00038617599193777513, 0.0004715731428268644, 0.000512726102695863, 0.00048804498294067116, 0.0004105156345061655, 0.0003138057852403819], [0.006359685632128356, 0.00012828599436599144, 0.0002058413875826705, 0.00032000927290450233, 0.000471573142826413, 0.0006388059525462926, 0.0007704800854934221, 0.0008135644101651525, 0.0007591330336144981, 0.000643732199477337], [0.004566123116436243, 0.00010217562727236608, 0.00018186824148569032, 0.00031364822114447657, 0.0005127261026947183, 0.0007704800854924394, 0.0010308844310186617, 0.001207526314029197, 0.0012499097354840179, 0.0011757692360425292], [0.0028701040804218806, 7.124484410402444e-05, 0.0001406757030975714, 0.0002691294071076267, 0.0004880449829389073, 0.000813564410162991, 0.0012075263140275286, 0.0015690591843516124, 0.0018016792282495651, 0.0018800829566339714], [0.0015942010816587832, 4.389903694555531e-05, 9.615607903251421e-05, 0.00020406799849806287, 0.0004105156345041805, 0.000759133033611554, 0.0012499097354807644, 0.0018016792282473646, 0.0022949420139930813, 0.0026566072691196997], [0.0008047295470490997, 2.4582041065116324e-05, 5.973045069859672e-05, 0.00014062095722881397, 0.000313805785238573, 0.0006437321994742425, 0.0011757692360383765, 0.0018800829566299289, 0.002656607269117232, 0.003411450668548447]]","[[0.8461460443646142, 0.01004521506396586, 0.008284493635472586, 0.004984892017364096, 0.0026246299823472776, 0.001975494237150367, 0.0026246299823472776, 0.004984892017364094, 0.008284493635472585, 0.01004521506396586], [0.010045215063964868, 0.00022077431060516648, 0.0002996728516724917, 0.00021811806049397162, 9.494006344906349e-05, 4.341752521315994e-05, 3.115889131858629e-05, 3.595651001314598e-05, 4.94007230186597e-05, 7.245711136240083e-05], [0.008284493635467037, 0.0002996728516723206, 0.0007530462517635967, 0.0009021069148415248, 0.00047497455265397214, 0.0001795690353719257, 7.82990056844197e-05, 4.88063573261211e-05, 4.074178330971648e-05, 4.94007230186315e-05], [0.004984892017353091, 0.00021811806049351165, 0.0009021069148401375, 0.0020006437407479464, 0.001733701097864726, 0.0007928477019505013, 0.0002857986209119904, 0.00010824008960220111, 4.880635732604603e-05, 3.595651001307016e-05], [0.0026246299823371724, 9.494006344870736e-05, 0.0004749745526524616, 0.0017337010978618784, 0.0027813399637575532, 0.00209344597406647, 0.0009128229590583572, 0.000285798620911521, 7.829900568417068e-05, 3.115889131846941e-05], [0.0019754942371415247, 4.341752521296989e-05, 0.00017956903537124223, 0.0007928477019487029, 0.0020934459740651595, 0.0029170564007566266, 0.00209344597406516, 0.0007928477019487029, 0.00017956903537124223, 4.3417525212969905e-05], [0.0026246299823371724, 3.1158891318469405e-05, 7.829900568417068e-05, 0.000285798620911521, 0.0009128229590583571, 0.00209344597406647, 0.0027813399637575532, 0.0017337010978618784, 0.0004749745526524616, 9.494006344870738e-05], [0.00498489201735309, 3.595651001307016e-05, 4.8806357326046044e-05, 0.00010824008960220114, 0.0002857986209119904, 0.0007928477019505015, 0.0017337010978647261, 0.0020006437407479464, 0.0009021069148401375, 0.00021811806049351176], [0.008284493635467037, 4.9400723018631505e-05, 4.0741783309716496e-05, 4.880635732612111e-05, 7.829900568441971e-05, 0.0001795690353719258, 0.00047497455265397236, 0.0009021069148415251, 0.000753046251763597, 0.0002996728516723208], [0.010045215063964864, 7.245711136240082e-05, 4.94007230186597e-05, 3.595651001314598e-05, 3.115889131858628e-05, 4.341752521315994e-05, 9.49400634490635e-05, 0.00021811806049397162, 0.0002996728516724917, 0.00022077431060516653]]",2379929875,2000,-1.1102230246251565e-15,40.6645,45.3975,1.0,0.1364748040214181,10.601797526062,0.9555,0.0019082214277885523,-0.0006296412066893975,0.1395,0.1250055929377354,0.15537659815204802,2000,0.0775,0.06657483756091465,0.09004506739174409,0.1135,0.10033274067558608,0.12814913687282248,2000,0.0595,0.049952606838412246,0.0707363118163716,0.111,0.09797153726075744,0.12551992552405736,2000,0.0585,0.04903604156620872,0.06965671118313763,0.087,0.0754264732166807,0.10015700783763423,2000,0.042,0.0340516147420547,0.051704400567572986,0.0865,0.07495944584682307,0.09962595225477311,2000,0.0445,0.03630266512840683,0.0544437649448146
