scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,association_p,association_q,generation_attempts,configuration_id,population_replication,population_seed,margin_profile,dominant_margin_mass,planned_density,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,regime,regime_label,variant,cells,observations_per_cell_p,observations_per_cell_q,sample_size_ratio_q_to_p,minimum_joint_expected_pair,joint_expected_below_1_p,joint_expected_below_1_q,joint_expected_below_5_p,joint_expected_below_5_q,minimum_row_expected_p,minimum_row_expected_q,minimum_column_expected_p,minimum_column_expected_q,maximum_row_margin_p,maximum_column_margin_p,maximum_row_margin_q,maximum_column_margin_q,probability_p_json,probability_q_json,simulation_seed,replicates,estimator_valid_replicates,estimator_valid_rate,mean_delta_error,empirical_delta_sd,mean_standard_error,mean_sample_zero_fraction_p,mean_sample_zero_fraction_q,mean_sample_expected_below_1_p,mean_sample_expected_below_1_q,mean_sample_expected_below_5_p,mean_sample_expected_below_5_q,mean_sample_minimum_expected_p,mean_sample_minimum_expected_q,mean_sample_empty_row_fraction_p,mean_sample_empty_row_fraction_q,mean_sample_empty_column_fraction_p,mean_sample_empty_column_fraction_q,mean_sample_has_empty_margin_p,mean_sample_has_empty_margin_q,method,method_label,valid_replicates,valid_rate,coverage_95,median_effective_df,p05_effective_df,fpr_10,fpr_10_low,fpr_10_high,absolute_fpr_error_10,fpr_05,fpr_05_low,fpr_05_high,absolute_fpr_error_05,fpr_01,fpr_01_low,fpr_01_high,absolute_fpr_error_01
config_2x2_d0_p00,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,2,2x2_balanced_control,0,893535722,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_00,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]","[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]",2477831945,5000,5000,1.0,0.00017787434093900415,0.06232078144302753,0.06008898878944222,0.0,0.0,0.0,0.0,0.0,0.0,21.19789,21.164692000000002,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,5000,1.0,0.9446,,,0.1062,0.09796049076292289,0.11504415128900407,0.006199999999999997,0.0554,0.049393802093284464,0.06208883847626033,0.005399999999999995,0.008,0.0058806817250996474,0.010874736988836562,0.002
config_2x2_d0_p00,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,2,2x2_balanced_control,0,893535722,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_00,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]","[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]",2477831945,5000,5000,1.0,0.00017787434093900415,0.06232078144302753,0.06008898878944222,0.0,0.0,0.0,0.0,0.0,0.0,21.19789,21.164692000000002,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,5000,1.0,0.946,191.64257424810106,153.9934254957646,0.1044,0.09622591670218933,0.11318148907673983,0.004400000000000001,0.054,0.04807067117820129,0.06061411895678966,0.003999999999999997,0.0078,0.005711256209150136,0.010644469585564097,0.0022000000000000006
config_2x2_d0_p00,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,2,2x2_balanced_control,0,893535722,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_00,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]","[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]",2477831945,5000,5000,1.0,0.00017787434093900415,0.06232078144302753,0.06008898878944222,0.0,0.0,0.0,0.0,0.0,0.0,21.19789,21.164692000000002,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,5000,1.0,0.9534,31.26622277975993,14.671659234182652,0.0974,0.08948796411595085,0.10593018949020915,0.002600000000000005,0.0466,0.04109752422905178,0.05279862789472602,0.0034000000000000002,0.0054,0.0037139414817381105,0.007845469282312396,0.0046
config_2x2_d0_p01,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,2,2x2_balanced_control,1,3477733802,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_01,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]","[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]",2764902787,5000,5000,1.0,0.000316113141674984,0.05979147730752179,0.060108367677434306,0.0,0.0,0.0,0.0,0.0,0.0,21.184354,21.218591999999997,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,5000,1.0,0.9586,,,0.0894,0.08180344452007886,0.09762699231720202,0.010600000000000012,0.0414,0.03622115480088501,0.04728298142312138,0.008600000000000003,0.0054,0.0037139414817381105,0.007845469282312396,0.0046
config_2x2_d0_p01,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,2,2x2_balanced_control,1,3477733802,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_01,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]","[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]",2764902787,5000,5000,1.0,0.000316113141674984,0.05979147730752179,0.060108367677434306,0.0,0.0,0.0,0.0,0.0,0.0,21.184354,21.218591999999997,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,5000,1.0,0.9602,192.3652428166409,158.5929297653661,0.0864,0.07892653932325945,0.09450850372569179,0.013600000000000001,0.0398,0.03472528711352322,0.04558130575670736,0.0102,0.0044,0.0029075647529992195,0.006653381414941402,0.0056
config_2x2_d0_p01,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,2,2x2_balanced_control,1,3477733802,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_01,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]","[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]",2764902787,5000,5000,1.0,0.000316113141674984,0.05979147730752179,0.060108367677434306,0.0,0.0,0.0,0.0,0.0,0.0,21.184354,21.218591999999997,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,5000,1.0,0.9662,31.347441075526024,14.345333820798992,0.0792,0.0720336673776816,0.08701243057927849,0.0208,0.0338,0.029138005572402932,0.03917779972116831,0.016200000000000006,0.0034,0.0021239367958294426,0.0054385447760012945,0.0066
config_2x2_d0_p02,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,1,2x2_balanced_control,2,559238336,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_02,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]","[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]",3881087075,5000,5000,1.0,0.0005882060862087043,0.06112420100137729,0.05989608004960934,0.0,0.0,0.0,0.0,0.0,0.0,21.159728,21.242062,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,5000,1.0,0.9488,,,0.0998,0.0917967165871111,0.10841775204971262,0.00020000000000000573,0.0512,0.04542796339795725,0.057661125867926016,0.0011999999999999997,0.0104,0.007939964636342375,0.013611769108257562,0.0003999999999999993
config_2x2_d0_p02,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,1,2x2_balanced_control,2,559238336,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_02,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]","[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]",3881087075,5000,5000,1.0,0.0005882060862087043,0.06112420100137729,0.05989608004960934,0.0,0.0,0.0,0.0,0.0,0.0,21.159728,21.242062,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,5000,1.0,0.9502,192.10753265953997,154.89829863083747,0.0976,0.08968030254353887,0.10613754398184314,0.0023999999999999994,0.0498,0.04410847786419271,0.056182760967136716,0.00020000000000000573,0.0096,0.007248675096817012,0.012704286970895012,0.00040000000000000105
config_2x2_d0_p02,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,1,2x2_balanced_control,2,559238336,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_02,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]","[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]",3881087075,5000,5000,1.0,0.0005882060862087043,0.06112420100137729,0.05989608004960934,0.0,0.0,0.0,0.0,0.0,0.0,21.159728,21.242062,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,5000,1.0,0.9556,30.746107613221994,14.418727452633957,0.0904,0.08276301361645519,0.09866588781693558,0.009600000000000011,0.0444,0.039031820881426316,0.05046770913090974,0.005600000000000001,0.0078,0.005711256209150136,0.010644469585564097,0.0022000000000000006
config_2x2_d0_p03,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,1,2x2_balanced_control,3,4239057338,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_03,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]","[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]",2198623536,5000,5000,1.0,-0.001504727123760227,0.05988157723780227,0.05994935344232861,0.0,0.0,0.0,0.0,0.0,0.0,21.155866,21.209016000000002,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,5000,1.0,0.9564,,,0.094,0.08621985671290236,0.10240351726648403,0.006000000000000005,0.0436,0.03828158743789399,0.049619170897554146,0.006400000000000003,0.0064,0.004537188108410645,0.009020687251749749,0.0036
