scenario_id,family,rows,columns,n_p,n_q,margin_p,margin_q,target_mi_p,target_mi_q,regular,pattern_p,pattern_q,true_mi_p,true_mi_q,true_delta,association_p,association_q,min_probability_p,min_probability_q,min_expected_p,min_expected_q,different_distributions_l1,simulation_seed,replicates,valid_rate,method,method_label,power_05,coverage_95,median_effective_df
curve_effect_d02_n300,power,3,3,300,300,balanced,strong,0.05,0.07,True,ordinal,ordinal,0.050000000000000044,0.0699999999999999,-0.01999999999999985,0.4981902486666496,1.0967621487016028,0.06072212360554866,0.005143909260806264,18.216637081664597,1.5431727782418792,1.3614578564715452,1761072649,10000,1.0,normal_wald,Normal Wald,0.0768,0.9555,
curve_effect_d02_n300,power,3,3,300,300,balanced,strong,0.05,0.07,True,ordinal,ordinal,0.050000000000000044,0.0699999999999999,-0.01999999999999985,0.4981902486666496,1.0967621487016028,0.06072212360554866,0.005143909260806264,18.216637081664597,1.5431727782418792,1.3614578564715452,1761072649,10000,1.0,simple_welch,Simple Welch,0.0759,0.956,534.9053376857661
curve_effect_d02_n300,power,3,3,300,300,balanced,strong,0.05,0.07,True,ordinal,ordinal,0.050000000000000044,0.0699999999999999,-0.01999999999999985,0.4981902486666496,1.0967621487016028,0.06072212360554866,0.005143909260806264,18.216637081664597,1.5431727782418792,1.3614578564715452,1761072649,10000,1.0,expanded_welch,Expanded Welch,0.0689,0.9614,38.94900430643505
curve_effect_d05_n300,power,3,3,300,300,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,18.216637081664597,1.852558993123296,1.3759996378121608,2179072786,10000,1.0,normal_wald,Normal Wald,0.2775,0.9531,
curve_effect_d05_n300,power,3,3,300,300,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,18.216637081664597,1.852558993123296,1.3759996378121608,2179072786,10000,1.0,simple_welch,Simple Welch,0.2761,0.9536,493.6940662206987
curve_effect_d05_n300,power,3,3,300,300,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,18.216637081664597,1.852558993123296,1.3759996378121608,2179072786,10000,1.0,expanded_welch,Expanded Welch,0.2652,0.9578,60.82169496387398
curve_effect_d10_n300,power,3,3,300,300,balanced,strong,0.05,0.15,True,ordinal,ordinal,0.050000000000000044,0.14999999999999997,-0.09999999999999992,0.4981902486666496,1.9369508745436932,0.06072212360554866,0.003811628013332327,18.216637081664597,1.1434884039996982,1.3960533277975058,2007249495,10000,1.0,normal_wald,Normal Wald,0.7449,0.948,
curve_effect_d10_n300,power,3,3,300,300,balanced,strong,0.05,0.15,True,ordinal,ordinal,0.050000000000000044,0.14999999999999997,-0.09999999999999992,0.4981902486666496,1.9369508745436932,0.06072212360554866,0.003811628013332327,18.216637081664597,1.1434884039996982,1.3960533277975058,2007249495,10000,1.0,simple_welch,Simple Welch,0.7437,0.9484,458.4092117382121
curve_effect_d10_n300,power,3,3,300,300,balanced,strong,0.05,0.15,True,ordinal,ordinal,0.050000000000000044,0.14999999999999997,-0.09999999999999992,0.4981902486666496,1.9369508745436932,0.06072212360554866,0.003811628013332327,18.216637081664597,1.1434884039996982,1.3960533277975058,2007249495,10000,1.0,expanded_welch,Expanded Welch,0.7362,0.9507,121.3444163546671
curve_sample_d05_n150,power,3,3,150,150,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,9.108318540832299,0.926279496561648,1.3759996378121608,2949475846,10000,1.0,normal_wald,Normal Wald,0.1523,0.9453,
