scenario_id,configuration_id,population_replication,shape_index,design_index,rows,columns,n_p,n_q,target_mi,regime,regime_label,margin_profile,method,method_label,valid_replicates,valid_rate,nominal_alpha,rejections,rejection_rate,rejection_rate_low,rejection_rate_high,absolute_calibration_error
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.0,0,0.0,0.0,0.0007677019450571244,0.0
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.001,2,0.0004,0.00010970128207763504,0.0014573865014234437,0.0006000000000000001
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.002,6,0.0012,0.0005500831677591556,0.002615776292629832,0.0008000000000000001
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.003,10,0.002,0.0010867468609438852,0.0036778842763330113,0.001
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.004,13,0.0026,0.0015201269998326155,0.004443582895110212,0.0014000000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.005,17,0.0034,0.0021239367958294426,0.0054385447760012945,0.0016000000000000003
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.006,22,0.0044,0.002907564752999219,0.006653381414941403,0.0015999999999999999
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.007,27,0.0054,0.003713941481738111,0.007845469282312398,0.0015999999999999999
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.008,31,0.0062,0.0043713883985244135,0.008786794042414002,0.0018000000000000004
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.009,39,0.0078,0.005711256209150136,0.010644469585564097,0.0011999999999999997
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.01,40,0.008,0.005880681725099648,0.010874736988836564,0.002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.011,48,0.0096,0.007248675096817013,0.012704286970895016,0.0014000000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.012,55,0.011,0.008461172335733187,0.014289640166532683,0.0010000000000000009
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.013,61,0.0122,0.009509858115682888,0.015639111901914846,0.0007999999999999986
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.014,65,0.013,0.010213148925363891,0.01653459276912175,0.0010000000000000009
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.015,70,0.014,0.011096433554600585,0.017649772735994947,0.0009999999999999992
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.016,75,0.015,0.011983909566843724,0.01876076131986169,0.0010000000000000009
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.017,81,0.0162,0.013053851931465627,0.020088976470571653,0.0008000000000000021
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.018,92,0.0184,0.01502773389063461,0.022511716622844416,0.00040000000000000105
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.019,98,0.0196,0.016110299881331586,0.023827308147479305,0.0005999999999999998
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.02,101,0.0202,0.01665298861444311,0.02448369817203371,0.0001999999999999988
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.021,108,0.0216,0.01792263398844897,0.026011903232581693,0.0005999999999999998
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.022,118,0.0236,0.01974389149873783,0.028187574914512604,0.0016000000000000007
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.023,126,0.0252,0.021206588938665706,0.029922420828360545,0.0022000000000000006
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.024,128,0.0256,0.02157299196762935,0.03035540363784086,0.0016000000000000007
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.025,134,0.0268,0.022673845890277048,0.03165270723052502,0.0017999999999999995
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.026,142,0.0284,0.024145272686653944,0.03337882378792394,0.002400000000000003
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.027,148,0.0296,0.025251375351397144,0.03467087863851261,0.0026000000000000016
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.028,156,0.0312,0.0267293173446752,0.03639047999901036,0.003199999999999998
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.029,161,0.0322,0.02765474583007988,0.037463516109715565,0.003199999999999998
