scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,association_p,association_q,generation_attempts,configuration_id,population_replication,population_seed,margin_profile,dominant_margin_mass,planned_density,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,regime,regime_label,variant,cells,observations_per_cell_p,observations_per_cell_q,sample_size_ratio_q_to_p,minimum_joint_expected_pair,joint_expected_below_1_p,joint_expected_below_1_q,joint_expected_below_5_p,joint_expected_below_5_q,minimum_row_expected_p,minimum_row_expected_q,minimum_column_expected_p,minimum_column_expected_q,maximum_row_margin_p,maximum_column_margin_p,maximum_row_margin_q,maximum_column_margin_q,probability_p_json,probability_q_json
config_2x2_d0_p00,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,2,2x2_balanced_control,0,893535722,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_00,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]","[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]"
config_2x2_d0_p01,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,2,2x2_balanced_control,1,3477733802,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_01,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]","[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]"
config_2x2_d0_p02,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,1,2x2_balanced_control,2,559238336,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_02,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]","[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]"
config_2x2_d0_p03,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,1,2x2_balanced_control,3,4239057338,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_03,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]","[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]"
config_2x2_d0_p04,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,4,2x2_balanced_control,4,3643953625,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_04,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]","[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]"
config_2x2_d0_p05,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,1,2x2_balanced_control,5,4155136299,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_05,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]","[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]"
config_2x2_d0_p06,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,1,2x2_balanced_control,6,3985929634,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_06,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]","[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]"
config_2x2_d0_p07,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,1,2x2_balanced_control,7,1591441934,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_07,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]","[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]"
config_2x2_d0_p08,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,1,2x2_balanced_control,8,1590768644,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_08,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]","[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]"
config_2x2_d0_p09,0,0,2,2,100,100,0.1,0.47172155878892175,0.47172155878892175,1,2x2_balanced_control,9,3798152808,uniform,0.5,15,0.09999999999999987,0.09999999999999987,0.0,0.8791785046456385,0.17952151361299082,0.17952151361299082,0.0,0.0,0.1401026869192952,0.1401026869192952,14.01026869192952,14.01026869192952,0.0,0.0,0.0,0.0,True,balanced_control,Balanced control,population_09,4,25.0,25.0,1.0,14.01026869192952,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,"[[0.35989731308070483, 0.1401026869192952], [0.1401026869192952, 0.35989731308070483]]","[[0.1401026869192952, 0.35989731308070483], [0.35989731308070483, 0.1401026869192952]]"
