method,method_label,mean_absolute_fpr_error,median_absolute_fpr_error,maximum_absolute_fpr_error,configurations_within_0.01,configurations_within_0.02,mean_valid_rate
normal_wald,Normal Wald,0.07561410142342585,0.0358,0.6486369863698637,8,14,0.9980076923076923
simple_welch,Simple Welch,0.0717307952417315,0.03610000000000001,0.6484469844698446,9,12,0.9980076923076923
expanded_welch,Expanded Welch,0.03323438205338893,0.032375504265590896,0.16902646010968336,9,16,0.9610715384615386
plugin_joint_cf,Plug-in joint CF,0.35994871677787554,0.31574,0.8774592745927459,3,3,0.9980076923076923
population_joint_cf,Population-moment joint CF,0.12793674640180838,0.048267019273149823,0.5941248010570253,7,12,0.9980076923076923
split_location_scale,Split-sample location-scale,0.01608373799886256,0.0087,0.04991,20,27,0.9980076923076923
split_cf_skew,Split-sample CF (skew),0.10500256795049329,0.014408932267968043,0.95,17,25,0.9980076923076923
split_cf_four_moment,Split-sample CF (four moments),0.06822206596491469,0.0126,0.95,19,24,0.9980076923076923
split_empirical,Split-sample empirical threshold,0.0010930926043665361,0.0007600000000000037,0.009846029173419778,39,39,0.9980076923076923
