scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_2x2_d2_p07,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,7,0.1,3915028103,200,1.0,0.0,12.0,5.623473908755727e-11,0.0035937214689329266,10,4.8046899792097975e-11,7.349854058702477e-12
config_2x2_d2_p08,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,8,0.1,1035720000,200,1.0,0.0,17.0,3.6397718172764826e-11,0.005087246896000579,10,2.90754087473033e-10,4.034674816466577e-11
config_2x2_d2_p09,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,9,0.1,127500412,200,1.0,0.0,15.0,8.502301640511689e-11,0.004119528310839087,10,6.090772330935579e-11,9.198686257150256e-12
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,2766434811,200,1.0,0.0,12.0,7.167266780072623e-11,0.006184731677640229,10,0.0,0.0
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,3202765758,200,1.0,0.0,13.0,9.394465760870219e-11,0.005188905965769664,10,3.126388037344441e-12,3.126388037344441e-13
config_2x2_d3_p02,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,2,0.1,2867895330,200,1.0,0.0,12.0,3.5331654268944135e-11,0.008138613707851619,10,7.810285751475021e-11,1.3295675671542995e-11
config_2x2_d3_p03,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,3,0.1,4085902826,200,1.0,0.0,11.0,5.442302164482271e-11,0.0029267499945126473,10,8.361666914424859e-11,1.6200374375330284e-11
config_2x2_d3_p04,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,4,0.1,3741159399,200,1.0,0.0,12.0,2.550859523609006e-11,0.0046756133215967565,10,8.162714948412031e-11,1.6399326341343112e-11
config_2x2_d3_p05,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,5,0.1,2377483062,200,1.0,0.0,12.0,3.7887637471811786e-11,0.003386967333499342,10,5.212541509536095e-11,7.827338777133263e-12
config_2x2_d3_p06,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,6,0.1,980052219,200,1.0,0.005,12.0,5.265243796515051e-11,0.012787447727750987,10,2.9558577807620168e-12,2.955857780762017e-13
config_2x2_d3_p07,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,7,0.1,1246660382,200,1.0,0.0,13.0,6.485004200307287e-11,0.007989087288733572,10,8.611777957412414e-11,1.0112444215337746e-11
config_2x2_d3_p08,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,8,0.1,3343794369,200,1.0,0.0,13.0,3.734576536906786e-11,0.011054454796249048,10,0.0,0.0
config_2x2_d3_p09,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,9,0.1,318345911,200,1.0,0.0,12.0,4.157404975835277e-11,0.006403362535638735,10,9.36211108637508e-11,9.36211108637508e-12
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,2198185237,200,1.0,0.0,24.0,5.928425805823423e-11,0.005843903981149197,10,3.0240698833949864e-11,3.456079866737127e-12
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,731714546,200,1.0,0.0,23.0,5.2194665256521944e-11,0.007464234747458249,10,5.184119800105691e-11,6.3209881773218514e-12
config_3x3_d0_p02,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,2,0.1,30925125,200,1.0,0.0,23.0,9.842321402331322e-12,0.005598542718216777,10,3.1604940886609256e-11,3.797140379901975e-12
config_3x3_d0_p03,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,3,0.1,3324953407,200,1.0,0.0,23.0,1.815340933131182e-11,0.00594115587300621,10,4.729372449219227e-11,1.0754774848464876e-11
config_3x3_d0_p04,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,4,0.1,224210588,200,1.0,0.0,23.0,7.875763929909851e-11,0.005835897680372,10,4.3655745685100555e-11,1.1300471669528634e-11
config_3x3_d0_p05,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,5,0.1,4175141723,200,1.0,0.0,24.0,9.522466148936815e-11,0.00612822434748523,10,1.0118128557223827e-10,1.8167156667914243e-11
config_3x3_d0_p06,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,6,0.1,2032883690,200,1.0,0.0,23.0,3.3037655944312405e-11,0.0054712452203966675,10,4.956746124662459e-11,8.890310709830374e-12
config_3x3_d0_p07,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,7,0.1,1604980699,200,1.0,0.0,24.0,7.309605698502253e-11,0.005580261880531907,10,9.163159120362252e-11,2.2305357560981064e-11
config_3x3_d0_p08,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,8,0.1,3929233077,200,1.0,0.0,23.0,4.013588073004115e-11,0.005499442722648382,10,8.549250196665525e-11,1.575699570821598e-11
config_3x3_d0_p09,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,9,0.1,3930232604,200,1.0,0.0,23.0,6.42484121460285e-11,0.005814497282262892,10,8.981260180007666e-11,1.0231815394945443e-11
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,3539429236,200,1.0,0.0,43.0,6.686719233872651e-11,0.008694499998819083,10,1.1172407994308742e-05,1.117305777142974e-06
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,3443095830,200,1.0,0.0,31.0,2.6497623539789572e-11,0.007951170215383172,10,1.984972186619416e-10,3.041122909053229e-11
config_3x3_d1_p02,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,2,0.1,857867422,200,1.0,0.0,30.0,2.1808527206346184e-11,0.0071391043590847405,10,4.825437827093992e-10,7.140670277294703e-11
config_3x3_d1_p03,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,3,0.1,2620080462,200,1.0,0.0,37.0,4.8309772848753596e-11,0.008332638135179878,10,1.7548911159792624e-06,1.7549489825796626e-07
config_3x3_d1_p04,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,4,0.1,3256796944,200,1.0,0.0,40.0,7.847021643581087e-11,0.008022421288769692,10,0.0019458473003055587,0.0001946698096048749
config_3x3_d1_p05,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,5,0.1,1780852127,200,1.0,0.0,31.0,2.234587515026476e-11,0.007461497058393433,10,5.880451681150589e-10,6.486402526206802e-11
config_3x3_d1_p06,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,6,0.1,3903328556,200,1.0,0.0,31.5,7.980760496906214e-11,0.007710571045754478,10,1.0811618267325684e-10,1.6063950170064346e-11
config_3x3_d1_p07,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,7,0.1,3860016290,200,1.0,0.0,29.0,9.64638091627279e-11,0.007557114332448691,10,2.0804691303055733e-11,6.9746874942211436e-12
config_3x3_d1_p08,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,8,0.1,2161844049,200,1.0,0.0,43.0,3.9931447037844237e-11,0.008457909763092176,10,1.4587545820177183e-06,1.458762028505589e-07
config_3x3_d1_p09,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,9,0.1,2875952689,200,1.0,0.0,40.5,4.4347692185198184e-11,0.008529376041842625,10,4.679870016843779e-06,4.696748362675862e-07
config_3x3_d2_p00,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,0,0.1,213122510,200,1.0,0.015,47.0,3.163824757734801e-11,0.025508744865655898,10,2.14903366213548e-08,3.216341326606198e-09
config_3x3_d2_p01,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,1,0.1,987803893,200,1.0,0.0,42.0,9.791042976381448e-11,0.017251160797895862,10,0.000495872507428885,4.95872507428885e-05
config_3x3_d2_p02,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,2,0.1,1859956424,200,1.0,0.0,36.0,9.917441867735022e-11,0.013710636681644246,10,0.0030391326344556546,0.0003040425989311757
config_3x3_d2_p03,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,3,0.1,3636084341,200,1.0,0.015,41.0,6.93747559399327e-11,0.01730190753820352,10,0.0003469543488492377,6.143399771545433e-05
config_3x3_d2_p04,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,4,0.1,3143832062,200,1.0,0.015,38.0,5.4706711383190054e-11,0.020312256222823635,10,4.911020170084157e-06,5.182469038800263e-07
config_3x3_d2_p05,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,5,0.1,2695658763,200,1.0,0.015,42.0,7.118344802492516e-11,0.01900964057771489,10,0.002476679192056963,0.0003632612948777592
