method,method_label,configurations,mean_valid_rate,mean_fpr_10,configuration_mae_10,wins_vs_normal_10,mean_fpr_05,configuration_mae_05,wins_vs_normal_05,mean_fpr_01,configuration_mae_01,wins_vs_normal_01
normal_wald,Normal Wald,16,1.0,0.1339375,0.04175,0,0.0811875,0.036937500000000005,0,0.0315,0.0233125,0
simple_welch,Simple Welch,16,1.0,0.13178125,0.04021875,10,0.0786875,0.035187500000000003,9,0.02971875,0.022031250000000002,9
expanded_welch,Expanded Welch,16,0.996,0.11657523282184483,0.031039514910711063,9,0.06464810584712757,0.02421060584712757,10,0.020070256033320515,0.013857910833590156,9
constrained_lrt,Constrained LRT,16,0.99934375,0.11629783508646575,0.02372685518696826,10,0.06062360205749025,0.01662077542432442,8,0.012421891045163658,0.0047343910451636585,9
