method,method_label,configurations,mean_valid_rate,mean_fpr_10,configuration_mae_10,wins_vs_normal_10,mean_fpr_05,configuration_mae_05,wins_vs_normal_05,mean_fpr_01,configuration_mae_01,wins_vs_normal_01
normal_wald,Normal Wald,16,1.0,0.1375,0.0625,0,0.0953125,0.0515625,0,0.028125,0.025625,0
simple_welch,Simple Welch,16,1.0,0.1359375,0.0609375,1,0.09375,0.05,1,0.028125,0.025625,0
expanded_welch,Expanded Welch,16,0.990625,0.12744291795665635,0.05227844427244582,6,0.07856520897832817,0.03794020897832817,6,0.01902573529411765,0.019025735294117645,5
constrained_lrt,Constrained LRT,16,1.0,0.1296875,0.04531249999999999,4,0.084375,0.037500000000000006,5,0.026562500000000003,0.021562500000000002,4
