configuration_id,constrained_lr,expanded_welch,normal_wald,simple_welch,configuration_label,sample_scale,mi_difference
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale2,0.1024,0.0634,0.2156,0.2052,"Balanced, unequal samples",2.0,0.05
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,0.0332,0.0363007778738115,0.1924,0.1872,"Skewed, unequal samples",0.5,0.005
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale1,0.0488,0.0391881028938906,0.1508,0.1462,"Skewed, unequal samples",1.0,0.005
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale2,0.064,0.0282,0.1022,0.1004,"Skewed, unequal samples",2.0,0.005
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale0p5,0.1068,0.042216930071444,0.1524,0.1412,"Skewed, unequal samples",0.5,0.05
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale1,0.2082,0.0907995178786661,0.138,0.1282,"Skewed, unequal samples",1.0,0.05
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale2,0.3588,0.1974394878975795,0.2276,0.2212,"Skewed, unequal samples",2.0,0.05
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale0p5,0.0124,0.2855266614131862,0.7084,0.7084,Rare and highly unequal,0.5,0.005
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale1,0.0212,0.4209873992976657,0.4968,0.4968,Rare and highly unequal,1.0,0.005
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale2,0.1458,0.2473979183346677,0.3086,0.3086,Rare and highly unequal,2.0,0.005
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale0p5,0.0964,0.0264,0.0502,0.0492,Near independence,0.5,0.005
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale1,0.1482,0.079,0.1112,0.111,Near independence,1.0,0.005
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale2,0.2652,0.2162,0.2438,0.2438,Near independence,2.0,0.005
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p05_scale0p5,0.9592,0.941,0.9522,0.9516,Near independence,0.5,0.05
