method,anchors,mean_absolute_fpr_error_05,median_absolute_fpr_error_05,within_035_065,minimum_fpr_05,maximum_fpr_05
naive_perm_plugin,12,0.04125,0.027999999999999997,0.25,0.004,0.213
student_perm_plugin,12,0.010000000000000002,0.006500000000000002,0.6666666666666666,0.024,0.067
student_perm_analytic,12,0.009166666666666665,0.008999999999999994,0.9166666666666666,0.035,0.067
student_perm_jackknife,12,0.010583333333333333,0.013500000000000002,0.8333333333333334,0.035,0.067
wald_plugin,12,0.09899999999999999,0.013500000000000002,0.6666666666666666,0.035,0.592
wald_analytic,12,0.010749999999999997,0.011,0.9166666666666666,0.033,0.064
wald_jackknife,12,0.012583333333333335,0.012000000000000004,0.6666666666666666,0.033,0.073
